pretty_comp,p_powerfact
La2ZnAg,1.41650974
LiSiPCO7,140.53342849999999
Na4CO4,936.9539662000001
SrCa2I6,525.7071973000002
Cr(CoO3)2,3017.972885
LiEr2Os,712.9143978999997
LiLu2Ga,94.27024232
PuH3,323.1717385
Ca2PrO4,1202.139859
AlH2PbO2F3,931.9494136
LiTiRh2,1577.325236
LiSbRh2,829.6718271000003
GaP,3528.282634
DyPbAu,225.8396438
TmZnPd2,227.61256469999998
Fe2TeO6,577.1764177
Nd3InC,91.1079121
LiSbAu,409.49504260000003
N2O,1117.860623
SrS3,992.6757107999999
SrCuSO,403.8225638
K2PaF7,182.4957424
BaZn(NiO2)4,852.5996458999997
MnAlIr2,13.17683881
Tm2Sn2O7,1567.66426
DyCo3B2,73.21846831
TiTl2F6,1967.664618
Be2IrPd,612.2282175
Na2Sn2O3,268.7097475
Ca(MnSb)2,98.11603435
LiAsO3,801.935975
ScIO,2785.9734829999998
Zn3Ni7,94.91150825
Cu3Se2(ClO3)2,482.8276278
KF,1222.996391
Ce(AlGa)2,3160.292063
CrSn(PO4)2,42.16668389
Mg2Bi3O8,251.4044293
NbPt2,50.59732429
BPb3O4F,973.6127669
PaPd3,1199.901643
Li4VFe3O8,114.7586162
Na2LiBe2F7,441.40486880000003
Sm3Cr,1980.6649940000002
ZnCu2SnSe4,427.0606444
SrAg5,15.63593816
TlCoBi,574.8449059
TmCdHg2,206.48282969999997
LiCoGeO4,274.7763248
Sr(BeN)2,1897.3957269999999
PmCl3,1249.91467
Na3Nd,708.474868
BaY2O4,552.8289307
Ba6HfO8,1860.2907670000002
LuBRh3,2836.905655
NaTeH6O6F,181.6393
Co3S4,489.8322552
SrAs,890.2182798
PmYMg2,9.881545127
K2MoCl6,36.67876414
Sr6In2NF,16.38973091
Na2ZrSe3,1907.325648
PrHoMg2,42.77886655
ErSb,156.93828359999995
YPO4,1389.6028210000006
CaNi5,516.4904144999998
Rb3Ru,709.51996
BaIn2Ir,451.6687906
Cu2Se,2240.122275
Sr2Mn3(SbO)2,654.7534226
CaPuRh2,138.25887780000002
GaBr2,322.94588139999996
KBeO3,686.1470317000002
Na3Tl,464.66977810000003
SrNb6O6,855.9776521
TbSiPt,68.8495537
Ho2CdIn,39.22117379
Li2CuSbO5,182.57712519999998
HPbIO,1182.136348
SbRh3,0.417446285
Cd(InS2)2,1549.661212
CrBr3,306.9929037
Li4AlCr3O8,222.8173085
AlTeO4,502.14496030000004
Pm2ZnSi,160.5307065
InN,584.8198835
H4NClO,590.9014277000001
BaH4(BrO)2,831.6986257
ScInAg2,393.41292169999997
Mn2PtRh,1316.2281289999999
KCuO2,1287.9270060000001
ZrH,25.80155678
YbNdSe3,321.9894848
AlPO4,7.172387932
FeF2,1550.9033630000001
Te3WO2,715.3486044
P2Pb3O8,967.7877174
NaBF4,617.6747691
BeS,2985.3436920000013
CdCu2GeSe4,1233.14633
TiInFe2,405.1959137
Er2MgAl,174.772107
Mg4H2O5,853.0682734
Nd2ScSi2,84.68849058
NdAg,88.14719058
Ba2Ti6N2O,579.7139867999998
Ga2PdBr8,261.2354265
Li5CuF8,343.54580539999995
CdNiP,95.51928252
ReSn3,201.0114541
Tb3BWO9,753.8953047
CoCl2,101.0146031
NaZnSb,596.1075512
BeAu3,3609.515118
Ba2ErNbO6,2213.60763
Na3VH6O7,341.40713569999997
CaCuAs,1232.983033
MgSc2Ru,887.4452652999997
DyBiPd,1261.727039
K2NdPCO7,55.476812699999996
KTl,62.19012251
Al2CuO4,64.7064303
TmCd3,761.0543918
LiCa2Ga,1193.778483
Ca2PbO4,965.380209
Hg3(SeCl)2,1445.0361130000001
LuAsO4,1488.782789
PaO2,58.72355889
LiGaPt2,3568.706201
PuRu,376.62438080000004
Ba3SnO,1046.933348
AgClO3,659.9107577999997
ZrP,366.6391341
Pm2AgIr,14.59866881
YbBi2IO4,3350.565874
Tb2Ti2O7,2118.707345
Sc2Al,48.39088195
PmAgAu2,311.3062232
V3NiS6,17.68427071
ErPaRu2,56.59294783
ErTiSi,835.2925315
Ca2HN,505.43045650000005
Li2WS4,1698.9100879999999
KO3,302.9117540000001
Ca(FeP)2,41.13367221
ZrVSi,83.56719477
ScSiRh,103.19841269999999
PrBi2ClO4,1375.930132
Mn(GaS2)2,1236.123399
ZnBSe2,397.9875512
Li2Ti(CoO3)2,369.2197171
LiCrPO4F,618.1599707
NpO,1015.3906910000001
USi2,39.26191438
Ca(FeO2)4,250.58634849999999
Sm3Er,0.00114456
Li7VO5F,177.824368
ErBRh3,2683.828335
YbAs,1574.67139
Sr2YTi2TlO7,344.563148
NaPrTe2,2199.354969
NdAgSn,491.9799953
NdMgZn2,151.9095102
Ba2Lu(CuO2)3,31.65925478
Er2ZnTc,1430.5548410000001
CeIn2Ir,2954.361139
TaIr3,0.002345018
Ti2Co3(TeO2)3,274.6938412
Hf3Si2,69.07078894
KNa2Sb,1911.901406
SbF5,1094.101674
SrLiH3,1617.202718
Sm4Cl6O,1097.5466689999996
Al2CdSe4,4270.211558
SmAs,3983.253282
LiAu3,371.91828860000004
Ca3UO6,667.3928125
NdH2ClO2,1497.60521
LaC,481.36882860000003
InGaTe2,426.2915722
CeSbAu,3602.4212079999998
LiH3O2,975.0661636
VZn2O4,77.91755874
Pd(SeBr3)2,1087.6546050000004
Li3CrSiCO7,472.90612360000006
TiF2,550.0208191
Cs2NaYF6,575.3466252999998
MgSbPt,251.51414219999998
LiMn5O5F,679.1134702
Rb2Sn2O3,478.7653149
LiAl2FeO6,1060.153535
DyFeSi,285.4118216
Mg2Cr3O8,148.6933333
Dy3TlC,212.06580669999997
AlGeRu2,314.0919302
CuBiO2,1736.9838300000001
HgRhO3,149.866144
Ce2CoSi3,1143.8302720000004
Mn(CuCl2)2,1245.0717140000004
LuZrSb,648.8740215
Mo2N,257.4658292
BaCo2P2H2O9,21.90610047
TaH2,1073.635344
Y3Sb4Au3,1953.028223
Hf2CoTc,37.60236034
NdCu5,1058.084643
CaInBr3,843.9590562000003
MnAlRh2,216.9163897
NbAsPCl3,267.8962946
Yb5Ge3,150.3524486
RbAcTe2,3697.673383
NaClO2,931.8008375
DyMg3,18.69632478
HfTc2W,4865.5704049999995
Tl4V2O7,1587.0406890000006
BaCaGe,1356.5300300000001
BaZnSO,1248.046209
LiYb2Cl5,1045.714883
Sm(Al2Cu)4,158.0303269
InHO2,1245.784383
Al2IrRu,191.4073256
U2InPd2,711.5757539
TiO,37.17235536
CClF3,333.1072372
TmGe,146.4943471
Zn2CuSbO6,687.1490978999999
TiNbO4,128.9650548
BeAlB,2821.142929
Li2AgF5,1198.779534
K2SnSe3,699.6520415
Ca(YbS2)2,55.705383
LiVCuO4,164.4279479
Rb3SbSe3,221.42002680000002
SrP3,1691.187621
TbGeO3,408.9405312
C5N4,760.8256525
Ba(AlTe2)2,1858.8252309999998
Rb3(FeSe2)2,73.51451048
Nb3Pt,603.0947537000002
Rb2NaGaF6,749.4384263
Ba2CuF6,5.818890959
Zr(TiGa2)2,727.9398277
ErLuMg2,702.3468461
LiCaNiF6,2.738257305
V3Ru,1455.674112
ZrSe2,2578.62765
LuScRu2,55.38083194
Pr2Be2GeO7,205.1812211
HfU3Sb5,678.3826888
LiCd2Rh,652.5475150000002
KPF6,702.9012743
ZnCuMo,416.8188232
NbAlRu2,127.4823727
ScBrO,3097.7767059999996
Ni2SbTe,600.2667673
Y2TlAg,974.6655812999999
Li2TiCoO4,437.8606859
SiBiO3,856.1061885
K2PdBr4,1051.019526
Er5Ga3,399.0263735
Li3VS4,1860.938956
U(HO2)2,947.384295
TmMnGe,27.63566009
CaTiPO5,1671.232814
CaSiO3,2550.74329
Li3Co5OF,186.47968459999998
Na4Mo(NO)2,534.8264051
KSbO3,1174.818036
NaZr2CuF,35.65753701
MnAg2GeTe4,96.83288622
Li5TiAs3,1801.267613
H2PbO2,1720.0962960000006
PrSe2,33.79333822
Tl3CoCl5,36.48407088
Ca3Tl,8.445716743
YbAu4,129.5320182
LiPrO2,1143.4249630000004
ThOs2,6.84808353
PdF4,523.3974197
ZrZnO3,28.73100784
CoAuO2,1334.269478
As2Pb4S6ICl,1519.2816289999994
Nd3Si2S8Br,709.227571
K2S2O5,251.92877349999998
Li2PbAu,46.47883970000001
ErTlO2,3121.543321
LiCuSbO4,820.8880869
BaYCrCuO5,319.2482627
HoTmTl2,4.635484995
Tl2SiNi,194.2876664
CeSiO4,2035.807057
Ba2Nd2Co4O,460.5481028
BaGaGeH,1997.7378760000001
Fe(CoO3)2,47.70702756
Ba2DyReO6,621.0600551
HgOsPb2,1603.922923
Zn(CrSe2)2,253.55929440000003
Nb4FeSi,81.54270749
GaTc2W,801.5708983
Hf2RuRh,3680.691961
LaBeO3,1990.0652260000002
Li3Ni(OF)2,784.0227456
CoS2,105.4064075
SnCl4O5,114.7970905
Na2MnO4,38.27980916
PmSnAu2,3.867673407
UIn3,228.2755
Zr5Te4,582.4641558999998
Li5Fe2Cu3,345.8622021
KTi2F7,5.248593608999999
MgAl2O4,1336.899889
Hf4Al3,157.7258104
NiMoO4,451.1363268999999
Li4MnCo3O8,12.01764036
ZnMo3,6.39431777
LiCaMgSiN3,1416.639983
Ag2O,1167.995127
Nd2Sb,0.507995775
SiF4,1053.180245
RbC,607.5737439
Th2Co7,65.312342
DyCoSi,345.8993524
Cu4Si2NiS7,324.4774175
TiBeRh2,119.58533770000001
ZrRh3,3.6047530919999997
TaGaRu2,46.04295521
HfGa2,629.2600947999998
In2Ni3S2,12.48007408
Sc3AlC,9.265812872
SiSnO3,4310.289184
TePdI2,270.7259389
NaTl3(SO3)2,2990.5852010000012
LuPb3,1026.9181019999999
NaCrS2,1401.5722050000006
KRb3,167.1384937
Tb2SnS5,551.3257904
NpGaRh2,3.294248811
LiRu2W,1314.3591900000001
Ba(CuSe)2,2368.045794
TlGaTe2,1305.613431
LiSi2BiO6,600.7212792
Ce(YS2)3,21.67236085
SrThBr6,585.5133882
Dy2Tl,977.8556426000001
Tl2Au,74.20328812
Na3SbS4,1813.047893
Yb2InPd2,792.4864169
Ca3P2,1562.932168
Pr2InAg,1449.345234
Er2O3,835.1260392
ScPd3C,134.62298710000002
RbF,1694.326853
TmMgCd2,35.31809775
Ti2CoSi,3.4790615039999997
NbTlO3,2170.8043
Sr3Ge2(BO)6,170.68612869999995
Ba(CoAs)2,1210.9429539999999
SmRh,2896.129748
Be5Au,101.2266527
SbRh,714.6228474999997
LiGe2N3,1087.320992
Nd(GePt)2,497.4078182
KAs,1174.240112
HoIn5Rh,610.8528602000001
CaGa2,694.4868058999997
BaPr2MnS5,919.9376868999999
SrCN2,2178.238856
Ac2CuIr,16.70212191
MgInRh2,954.6104648
YRe(WO4)2,67.49131475
Li(MnS2)2,232.2519464
ErInAu,1380.011966
CuBiSCl2,1641.506281
TbSiIr,193.82461469999998
UAg3,45.81601482
GeF4,938.7522936
PmTm3,909.6225775
YbIn2Au,215.6492679
SmCd,370.0292816
ErS2,4.6412112389999995
Sr3ScNiO6,1211.930537
K2RbBiSe3,318.6477695
Ba3V2O8,773.0055247
CeSiI,978.7396989
Yb(As2Rh3)2,1105.2896050000004
BaCdO2,1959.2818690000001
MgPPt5,397.56792189999993
Cd(In2I3)2,939.4115241000001
Ca4PdO6,895.9189017000001
K2PdF6,611.4123837999998
NdAgAs2,4190.103586
UNi4Sn,280.2058522
LiNi3O3F,57.53228282
MgTaRu2,481.9290873
LiSbS2,877.7121442
ThSi,875.2279412999999
SrZrS3,1371.112732
NaCO2,398.6251602
TbInCu,406.8503475
VS2,180.87328180000003
Li5Ni5(SnO)2,167.88034919999996
LiMgSbPd,40.54807073
LiP2WO8,17.50278054
Er(NiGe)2,1575.134983
Y(SiRh)2,853.8610958999999
LiAsF6,193.8206728
LaAgSO,1630.083009
HoIO,4706.015461
TaNi2,366.0527626
Ta(TeCl3)2,987.2485655999999
Na2YPCO7,327.10019480000005
LiV(CO3)2,11.73636022
K2CN2,884.1997026
PrAgAs2,429.2162358
Fe3OF5,25.86572471
Ba2YSb3O8,306.8174025
TbMn2,109.16395619999999
NdCuSb2,2263.8382699999997
NdGe2,30.95600757
TaTl(CuS2)2,1350.7835220000004
K2ErF5,127.93904779999998
Li8NO3,572.4988012
LuMg3,207.0408755
LiSc2Tc,1704.7148079999995
Li3CoOF3,64.45546368
HfSi2Br,265.4145839
Ni4W,150.20477659999997
ScIn3,1786.3906359999999
LiMn(PO3)3,85.68143563
Ba(BeN)2,1530.6205730000001
USnPt,3.7698337360000003
Zn3Mo2O9,697.3116951000003
Ho2CF2,1935.5293600000002
ErCl2,702.5754926
SrAu5,276.2782185
LaB2Ir2C,1153.505816
OsS2,84.16348394
Na2Pd3O4,2116.905210000001
MnFe3(P2O3)2,502.44562710000014
TaGeRh,229.2782478
YbGa5Co,207.3385139
CdSnAs2,2075.7205050000002
LuInPd2,409.38783689999997
K3Zr,77.05579197
Th2BiTe,56.44111162
Ba3BAsO3,3129.320653
Pb(ClO3)2,877.5610649
Li3Cu3TeO8,1226.887283
Nd2Cd2O5,1116.662873
Cu2Hg2SF6,90.86314182
Tb3Al2,6.318454591
MgCl2,1685.1094260000002
NdTlS2,801.9448668
GeSe,2200.10656
Sc6NiTe2,2101.904989
Nd3GaN,1782.3380899999993
CaCu3(Ge2O)2,125.85661280000001
Ba2S3,1574.1785949999999
NbRu2Cl,1921.119384
Y3AlC,3.68436886
HgB2(CN)8,216.72370159999997
Sr2FeO4,122.12838870000002
BaYTiCuO5,539.842084
Lu2AlZn,2.900354727
Tm2Ga8Fe,133.3867516
GaIr,10.63872265
Ti3Bi,109.17954750000001
YSnPd2,570.8624677
SbSBr,1304.999032
HgPd2Au,629.3892582000002
ErNiC2,1005.2782880000001
ZrGe2,2742.207162
KMnF3,722.9965683999999
CaFeO3,0.630096277
PuSe,1763.7530940000001
Sm3Pd,61.44615901
LiSO3F,192.0858371
Ta3Br7,135.95151030000002
DyAg2,39.35423366
Sr(AlCl4)2,493.5131568
Nb2C,911.4835491
AgCO2,1225.394689
H2CSO4,532.4006067
YbOs3,228.731925
CBrN,1519.810467
Sm2ZnHg,322.55677189999994
SnF3,2753.277246
Ta3O7F,1250.88426
ThAu3,1757.246503
PuIrO3,516.9746771
Rb3BAs2,1076.678895
Ho2CuRu,106.11347179999999
Sc2Ni2P7,206.7437071
Ho(TiGa2)2,74.36462443
Li4CuF5,783.0518427000003
AlCuO2,2812.554761
Rb3H5Pt,815.8796135
PuS,985.8158716
Sc6Te2Rh,1400.4229269999994
NaErSe2,2111.890721
RhN,441.38048169999996
Rb2Be2O3,733.0000011
Sr(BiB2)2,537.7023875
Rb4CO4,397.762937
K2ZnH4,798.4347576
Ta2Be2O5,328.00700539999997
YMgCu,6.227754289
Lu(FeGe)6,91.55708888
Ta2InCuTe4,131.48079429999999
Li2Fe5,68.55172924
ZrCdO3,190.9599939
ScBi3,120.0871038
AlB3N4,3144.802682
Er3Rh,378.16069839999994
Be3Tc,14.34995463
VIrO3,248.8383988
Dy2AgIr,45.49312004
MnNi2Ge,77.15789386
TmMgAu2,16.15769535
TmCrO4,373.9275536
TiSi,353.5985213
RbCaO3,136.04244930000002
Mo3O8,25.51195652
CeB2Rh2C,2872.610943
ZnBiF6,4.1290991089999975
AlB2Pb,107.85468290000001
CeAl3Pt2,2698.417915
Al2ZnS4,4245.139186
HoFe5,255.1038389
ThAl2,21.71150377
MgMnO3,0.684338552
FePd3,708.1350715
NiBTe,438.26047860000006
Tb2Ti2S2O5,1391.005765
SiPdO3,2.276126176
TbCu5,2257.23207
NdS3,1477.354055
Sc2GaIr,1433.3876710000006
TmPaRu2,1063.785375
Ho2V2O7,268.9504812
Li2MnBAsO7,146.2324724
ZrS3,1718.696761
Na2ScPCO7,60.99992523
LiHoPd2,800.3548784
NaTmO2,1699.223318
LuCdHg2,158.2402669
NdSbO4,463.54097469999994
Mn5As4,79.99300915
FeCo,128.2803355
CaSn3,154.9307216
HfAl2,37.76174229
KH,2629.873485
Cd(CN)2,728.5448531000003
KYS2,1656.649918
Sm2Au2O5,25.33599627
Al2Te3,1306.2989599999999
DySe,201.4307852
GaPt,1717.678239
Na2P2PbO7,277.3047204
NaBeH3,3078.8691
ThSe,36.50591611
HBr,1334.240647
Hf3N4,770.9083558
Sm3V,159.675972
Pr2CrS4,593.0572311000002
SrAlGa,239.01108969999999
LaSb,1239.344205
B6O,3030.248947
LiSnPd2,429.2196946
Li4Ga3Si3BrO2,45.12433414
V4O3F5,569.5106007999998
Ba3Ga2(GeO)4,495.3822073
Er(FeGe)2,1107.825494
LiAl3,97.0458475
Er2S3,908.3134957999997
P3Pd,650.2377141
Ca3Co2Ge3O2,271.18305360000005
Li4V3Fe5O6,239.77691349999998
HoCuO2,1825.674862
CaHoTi2O6,1103.366548
Li3Cr2(NiO4)2,74.58491764
RbSnIO6,212.3466747
Ti(SeO3)2,735.9945637
CaSc2O4,944.2812203999999
AuN2,22.48731005
CrCuSe2,751.8786884
Bi7(S3Cl)3,481.7780443
YbCdAu2,114.1163378
Li2CrPCO7,266.19648709999996
PrNdZn2,136.8831709
Sm(CoGe)2,1303.727396
SnO2,1307.792412
Pr(CuSi)2,624.8386637
Zn2CuWO6,490.0164088
Tb(SiOs)2,274.4884857
SrPt3O4,61.54228825
CuI,1725.7588649999998
YBi2BrO4,2246.5584670000007
NaH2N,1245.299857
HoZrSb,751.0123472
V2PC,284.5252267
Na2Cu(HC)4,9.203027381
Ac2O3,1343.572236
PtPb4,507.7502072
NaDySe2,1969.761855
NdSi2,12.11995436
Pr2Tl,178.02251950000004
Li3(CuO2)2,252.1965975
NpB6,45.80923558
Zn2NiWO6,1652.716323
Na4SiO4,124.6377729
AcMgHg2,385.78891339999996
Ta3SBr7,290.81064669999995
K3Sc,1.5322404019999998
Mn(CoO3)2,1744.3439600000006
NdTh3,209.46701000000002
NbTeI3,664.8271437000002
Hg3Au,398.0641452
InAgTe2,2369.0724179999997
Li2FeOF3,204.0415627
HfZn,1755.146949
YAgSe2,1782.7364690000006
CoP2,2327.125625
TmNp3,327.3264792
CaPt2,447.84038569999996
SrC2,2697.6032210000008
HgO2,745.7044218999997
Li2TeO4,305.02597119999996
NdTi2CdO6F,1486.704892
Li3SiNi3O8,1026.7684
HoInPd,1711.006214
Sc2RuRh,1392.641152
Rb3Sb2Br9,1562.144804
MgPaRu2,1400.878187
Nd2Si3Rh,252.453161
Ta3SiTe6,82.35419008
TiCo3O8,3314.867672
Sm3Ag,143.40649340000004
BaAgSb,136.0774364
Mg3(HO2)2,1050.534207
Er3CuSiS7,849.2782632999997
TbNbO4,1073.043702
ErAu2,10.90496689
SrTa2Bi2O9,871.9252488
HfH2,318.6576995000001
Nd3CuSiS7,652.4126906
Er(TiGa2)2,54.29666457
ReSeCl,305.2921101
Tl2O,3631.0347549999997
CuSnH2(NO3)2,406.24358010000003
NaTl2MoF6,4.182866519
SmBr,1082.833428
KLiS,1348.092806
SrCdHg2,801.8806847
LuAl3,2080.591465
ZnSbF6,134.18669609999998
Rb3InO3,219.9910471
LiCo3(OF3)2,234.2436753
Ce2Ni2Sn,989.2568527999999
Li3FeO4,834.511359
TaZn2CuO6,403.75358450000004
Yb3Ge5,336.2300753
Y2Ni2O7,927.5438935000001
NaVSiCO7,393.40813710000003
LiTlPd2,132.080015
NaEr(PS3)2,784.9731506
PrHo3,424.4703085
Ba5Nd8Mn4O2,106.604759
V2ZnO4,246.1075515
Pm2PdPt,0.7447497340000001
Sr3(BO3)2,1210.224643
HC,1965.169393
SiPbO3,3458.394707
Ba3(BO3)2,295.5189742
HoGeRh,52.84713212
TaPt3,294.2541457
NdCuS2,1078.582738
Li3LaBi2,1293.4001640000001
Ba2InBrO3,1235.36176
AlFe3,1545.175514
SmTmZn2,29.217288500000002
Ba2ZnCd,692.3288116
MnGaH4O2F5,103.73129250000001
Ce(GePd)2,4453.142959000002
Nd(SiNi)2,1194.8364
PaN,176.4712176
Li3CoO2F,218.812598
Ga4GeO8,566.1822275000002
SrTlHg2,268.48448080000003
Dy3Mn3Ga2Si,50.46793417
Mn3PtN,5.4700073510000005
TbAg3,132.0603303
Ti3SnC2,368.0506762
Nb3Pb,4329.418659
Tl2(SeO3)3,37.27983211
K3GaS3,218.8764631
Na6CdCl8,802.3892708
LuFeC2,280.10929
Rb2Mo3,248.3238603
Ba3(HIr)2,157.5628116
DyS2,182.37688369999998
Li2AcSn,1282.684536
K5P2Au,874.6843558
GaAuO2,2113.672225
Mn2GeO4,94.61659986
SiH6(NF2)2,319.96821620000014
Ce2Nd2O7,1084.089278
TmCl3,949.2979637
MoPCl9,88.38434631
LiSiRh2,717.758178
HfNi2,349.2731541
SrBiB,431.7445131
Ac2ZnSi,540.2351597
In2Au,7.988602457000001
Sm2Ti2S2O5,1418.444283
LiY2Ru,1853.5215620000001
CaCo2O5,893.8712773
K3CrO8,295.6055911
ThIr,361.1983242
VO,638.2737463
Yb(HO)3,239.9136935
TlCoW,39.10456232
AcInTe2,3412.291842
Tl2S,1319.4077630000004
Li3Mn4O8,109.2741773
Rb2VCuS4,1405.909416
ZrNi2,41.36897204
Mn5(SiO)4,122.9780101
Li2CuO2,319.8124696000001
Pr2SnHg,63.79251403
SrSnP,375.1034792
MnSbAu,1059.385779
CdPPt5,425.8493289
Sb3O4F,954.6052914999999
CuBiSeO,2841.426205
PrAsO4,1616.954636
V4P2O3,11.14349165
Mn2GaCo,83.69931294
MgTi2O5,1554.397791
MgFeO3,81.6025187
PrMgNi4,580.9249326
ErB4Rh,435.9741444
FeAuO2,0.24141921100000002
CaP3,1620.448418
LiMnBO4,411.5389227
MgTa,751.7356818
KNaZnO2,905.8445104
Ho3GaC,144.1582664
ScGaRu2,577.6388969999998
Tb2InPd2,932.4482615000001
Li(TiSe2)3,820.9860377
Rb2LiGaF6,353.74561989999995
CrSi,337.6627893000001
Li2MnCoO4,52.56067884
YGaAu2,1.6745896619999998
Ba2Cd,432.3086909
Zn(CoN)2,6.697549085
K2O2,194.5090389
RbAuBr3,2561.545816
LuIr2,65.23478633
ErAgSe2,2151.5567309999997
NpCo2,731.2758058999997
LiSc2Ru,899.3731913999999
H5NO,321.8292600000001
VSiPt,201.19682930000002
LiS,1864.346679
Ba2Hf7O6,566.5528601
Al9Co2,274.28673050000003
PrBiO3,6.26895626
Er2ZnOs,130.109389
Ba2MgUO6,835.8583639999997
Na5CrO4,321.3176066000001
YLuO3,2070.520782
Tl2CdTe4,690.7174386
TlInS2,1763.322098
CdI2,845.7824316
Li2PmSi,666.9781174
KV5Se8,40.69753503
CaTmPt2,1237.815349
ZrCuSiP,261.09520519999995
Ba4PtO6,800.1504259999997
Li2Fe(BO3)2,253.19127340000003
Ti2AlV,8.043836642999999
HfBe5,1030.7388019999999
NaDyTl2,330.8648331
Li8SnO6,739.7093858
Sr(CuAs)2,961.4480348999999
SmZnPO,2060.7384920000004
PPdS,1183.6992109999999
NbTl3Se4,3349.650723
ScU3Sb5,754.3905278
Ba(BIr)2,1924.416439
AlSCl7,351.636825
CuBrO2,1020.6307029999999
Zn2Hg2OF6,1114.934663
HfB,30.83938486
InFeO3,333.0515691
SmC2,567.00944
YbP,1441.4447109999999
ZrPbS3,1321.1089029999996
Y2Re2Si2C,297.4947897
DyPd,5.902229427000001
K2MgF4,320.6025698
Tm3InC,149.7968421
NiSe,746.2598026000003
Sm3Co,19.08010257
MoAs2O7,735.5356444
Er2Be2GeO7,480.41080700000003
CoH6(SeO4)2,115.70242859999999
VCo2Sn,192.3517371
CoH2SeO5,103.04334300000001
CsK2Sb,3246.010464
Ba3PrRu2O9,44.71998108
RhPb,680.7862278
Er(PRu)2,182.59562759999997
LiAg2Pb,334.20725519999996
Hf2Al,142.8426123
Na3Cr,322.9119652
KFe(MoO4)2,86.68664914
ZnSnF4,1289.22891
SmMgF4,7.48686127
UNiSn,360.9635552
BaP2(HO)4,885.8236903
Mn4FeO8,116.27564199999999
Ca3TlN,10.96841431
TbGaO3,437.23251500000003
ZrBiRh,1268.4916269999999
HfGa4Co,373.6539557
CeNi2,3264.975891
InPH2O5,410.3903691
KAgO2,1190.355257
HfAlNi2,3.6740875369999997
LiZrSe2,147.48509740000003
RbSmO3,3090.9549859999997
YbGa7Au3,484.4686843
InAgSe2,2308.057185
RbNO3,218.82787799999997
NdTe,903.2569957999999
NdBeO3,1192.425679
SrNi2Ge,1881.2243899999999
Al3Cu,160.1544544
Pu2InRh2,1105.2727519999999
Sc2NiPt,272.749989
Y(CrSi)2,996.0544597999999
Li2BeSiO4,777.2471061000001
HfAu2,686.1747817
RbCa3,163.92406369999995
Mn3ZnC,284.1047581
Li2ZrTeO6,1069.417095
Sr5Bi3,91.03971616
NiAgO2,99.33084644
