pretty_comp,n_Seebeck
Dy3AlN,-18.452245
Cr2CoO4,1.0318289
HoC2,-8.1060498
Rb2CoI4,-321.7546200000001
Ca(MnAs)2,-10.3602413
BaTaO3,-10.534788
TiCdO3,-388.6999367
Al4C3,-97.27606133
In3Ir,-6.079872333
LiNi2Ge,-17.121389999999998
K3ZnH5,-290.6223433
Li3FeSiBO7,-39.448036
UCO5,-522.8057833
HfGeO4,-287.8621967
Yb2S2O,-270.70843
NaGaH8(NF3)2,-141.70575669999997
RbZn4P3,-37.37841333
Li4Co2S9,-345.1151167
Ba2H6Os,-361.78786
Ba3Hf2O7,-247.33476
Ba2GeSe4,-158.42393669999996
Li2TiO3,-256.21395
Lu3TlC,-42.040722
Li2NiOF2,-22.57512187
NaAu2,-6.092549
LiCrO2,-58.336224
CdPOs2,-0.8299979999999999
H3AuC2NCl,-261.0756633
BaAlFeCuO5,-15.125308
NiAuO2,-5.576724433
SrCl2,-230.25528
RbSb,-128.618103
YbOs3,5.242308233
K2PuO4,-26.35989293
LiAl3,-2.572851333
Rb3Nb,-43.50764633
KSbO3,-78.518158
Tl2SnCl6,-116.83894
GeTe7As4,-256.6981767
V2O5,-299.6939700000001
Rb2Se3,-159.3790767
Tm5(ReO)2,3.5258665330000003
Al2Os,-323.3411733
TmGaO3,-120.61699
InBr3,-193.07846
Si(O2F3)2,-132.31925
Pd2O,5.348257
NdBrO2,-362.95939
Bi2OF4,-348.8172233
SiC(ClF)3,-304.4376767
Rb2NbF6,-18.68980867
Nd(CoP)2,0.6597373670000001
SmIn2Rh,2.345342705
Na2DyMoPO8,-348.5662333
Mg(AuF4)2,-363.1456567
Ca2CuO3,-2.2505941000000003
PuGe2,-25.43212333
TiAl2O5,-333.6337433
Ba3SrTa2O9,-294.2171600000001
Ti2RePt,-26.422539
TlFeS2,1.607322067
BeSnP2,-154.4547567
Na3Ni2SbO6,-366.2153067
Li3Co(N3O)2,-404.2243133
SmCu4Ag,6.007932733
TePd,-37.85922033
MgCdAg2,0.94497972
K3Na(SO4)2,-137.6331367
YbH2,-189.73349
LiCaN,-92.82228333
TlCr3S5,-12.21474467
Rb2Yb2O5,3.0162023330000003
LiFeSiO4,-383.94176
KAuSe,-210.8167067
Dy(Al2Cr)4,-12.25278453
CaPdF4,-354.4591433
SmZn,6.977530099999999
YPaTc2,-5.8220653
Hf3Ge2,4.0600344
Nd2Fe2Si2C,-9.4847654
Zn3Ni7,-57.796186
Th(MnGe)2,-12.95835233
Li2MnO2F,-305.9308133
H2S,-166.49093330000005
TmNiSb,-269.20366
LuAl2Ni,9.706338367
Sr2UZnO6,-419.80736
KNO3,-352.0115433
Zr3In,-3.3736251000000004
LiLa2Ir,0.14534671
Na6S2O9,-144.43341999999996
PbS,-133.82214
InCuO2,-117.4857367
Rb3ClO,-105.79734
Ba2YBr7,-272.11058330000003
Rb3InO3,-123.8622133
YAs,3.2649793
HfGa3,6.049099133
Ho2CuRu,-3.9327423
Sm3Ga,-0.37876429
Li3BiS3,-351.75916
Nb9PO25,-322.80370330000005
NbAlNi2,8.026461099999999
YUO4,6.822547332999999
Li2Cr2O7,-354.47189
TmCdHg2,-4.4565807
Ho(CrSi)2,-15.29061503
LuC2,-8.281095467
BeAlH5,-182.6976233
ScHO2,-470.60049
Yb(SbTe2)2,-225.4066333
CaTiO3,-333.5438867000001
SmSnF7,-135.5032633
Pm2IrPt,-7.5138994000000014
V2N,-4.7653686
AcMgCd2,-9.5063627
Tb(Al2Fe)4,-7.439215397000001
Si(CN2)2,-274.78503
YFe2,-10.63112633
SrCuSF,-104.6583193
LiSnS2,6.4381973
YSi2Rh3,-9.853671917
BaMg2FeH8,-206.21551330000003
Pm2AgSn,-39.998302
YHg2,-1.1594151
ErRu3,-3.89090326
ErCoSn2,-2.685063833
Co3(O2F)2,-5.914630732999999
Mn2GeO4,-48.96228867
TbPS4,-309.1883533
Li2CoGeO4,-392.9766867
AsH5COF6,-231.11474
Rb2PbO3,-138.7198533
LiNi(CO3)2,-440.1067533
UNiSn,-49.822141
Er3Rh,4.987590667
La2ZnIr,1.7335693
KSn2I5,-138.7503267
Mg5(HO3)2,-119.0258023
InSiIr,-9.9652683
HgF,-151.3052
ZrFeSe,-128.19905
LiLaNb2O7,-198.2804133
In5AgSe8,-40.42489333
Sm3Sb4Au3,-179.86431000000005
Cu2S,-84.17583333
BaAgP,-232.16195
Zr2CS,-35.844175
Ca2FeIrO6,-25.25558867
AlGa3N4,-68.00899
NdBi2ClO4,-85.68003633
CuSnH2(NO3)2,-297.7141933000001
Ti2RePd,-13.758444
TbGa3Os,-4.6839555
Ag3SbS3,-256.28493330000003
KLiZnS2,-83.16503767
LuIO,-335.1946233
Mn(SbS2)2,-258.80149
SmAsPd,-43.58597367
SnIrSe2,4.8861072
Li4Fe3Si3O2,0.294246667
LiHoSn2,3.1447645
Hf6CoBi2,4.372759667
Na2Zn2Se3,-54.24714167
KAg2PS4,-74.39906967
HfAlAu2,-1.850769233
Ga7Ni3,-8.37182
Ca(GePd)2,-2.61638423
LiNiSnO4,-37.032252
Sm6Si4S7,-319.2936433000001
HfIr3,8.3635654
AgHO2,-22.17003333
KRbS,-88.36195467
ZrPbF6,-333.40416
Ba2ZnF6,-149.3851867
KZnF3,-125.14958
TiAlRh2,8.2766163
Fe3O4,-13.4666529
Ca2NCl,-251.3595633
Ba2CuSi2O7,-186.1571187
TmMn2,-3.230504667
ScTlS2,-345.42512
Lu2CuIr,0.99889611
Li4MnV2WO2,-405.9546267
Na3SbO3,-424.60629000000006
NaV3O6,-2.219960967
BaBeF4,-103.7253937
Na3UO4,-78.66529333
K3Ta3(BO)2,-164.93327
Si3W5,-7.564450533
TaAlNi2,6.2468595
V3(PO4)2,-349.4828167
ScCdPd2,0.84577789
Sb2TeSe2,-185.5990033
Fe6OF,0.6879313
KTcO4,-346.3787267
Sc2CuRu,-3.2872725
IBr,-351.92226
Ni2Mo,5.889298905
DyTlS2,-313.9273967
Ta(TeBr3)2,-251.0894233
HoPd,-0.009796843
Np(OF)2,-97.54430767
Ca3BiSb,-50.272671
ReRuCl2,0.49723472
SrSeO3,-333.2644033
NaNd2RuO6,-305.9796567
CrB4,-27.07071567
Nd3Cu3Sb4,-107.64006
K3Nb,-34.11925667
ErInPd2,9.1730217
UAl2,2.2227541
HfZr,-14.64366733
Li2Pd,-10.9386352
SmTlO2,-327.3573233
BaP3,-154.15829330000003
UCd2O5,-412.9892733
Ca2Ru2O7,-5.043600233
Sc2O3,-205.10961
BaNd2PdO5,-392.73767
PbI2,-139.5999333
HgBrO3,-378.3494067
Na3HoCl6,-415.6148433
NbN,-2.4292932
Ta2Si,-14.99742307
HfRh3,0.47477231
SrCdO2,-53.853184
Sr3SnO,-83.055952
HoH3,-163.2116367
Ba2Ti3AlO7,-11.55638221
Yb4As3,-10.267615
Li4NbO4,-0.398383233
TbCuAs2,3.597135
PmF3,-126.83833
CaSmCd2,-5.1421461
PmBiPd2,-0.70312566
Y(NiGe)2,-12.92150533
RbCeSe2,-109.9018843
Fe3Ni,-4.5470305
Zr(Se2Cl3)2,-322.08882
SmIO,-266.8315567
LiMn2O4,1.1673368
Rb3LuO3,-119.4298207
CaAlSi,-6.270875067
HgTe,-183.6807067
MgI2,-271.8541967
HoO3,-68.78553133
TbTl,-2.2811426
Na2SnTeO6,-169.9629067
Nb2CS2,-11.0905932
TbBPd3,-7.088857300000001
MgTl,-3.0878301
AcClO,-107.5365067
RbLiO3,2.7262094
As3Ir,-157.00609
Y(AlSi)2,-14.21068223
HoInCu2,2.5528276
ThCdPt2,-7.9686685
PrFePO,-4.050248000000002
Yb2TlCd,-3.6446442
TiNi2Sn,0.802233203
Sc3Co2Si3,-22.39676697
Sr(YbS2)2,-2.9657124
LiCoCuO4,-3.4093207000000003
YHoZn2,4.2744064
Sr2SnHg,-309.5019200000001
Na4Ti3O8,-294.8930333
Zn(InS2)2,-6.29502
BaYI5,-251.1664767
Li3Mn3OF7,-356.99832000000015
LuNiSn,8.273549623
Y2SeO2,-357.7719633
Rb2PtS2,-297.39223
PbBr2,-286.72479
LiMoO2,-3.1370788
TiNbO4,-19.40358263
BaMg(CO3)2,-248.7752767
Y2GeRh3,-1.11583904
MnInPd2,-2.223321
CrN,-11.59770333
SnH8(NCl3)2,-115.38041
Nd3Ag,-10.29921387
Ba(InTe2)2,-97.87472967
TiS3,-201.3344733
PBr3,-360.66409
Li2VCr3O8,-32.87679267
Mn5O9F,-80.964547
UTe2,-20.646076
K2Ti(SiO3)3,-442.80921669999987
ZrCoBi,-352.47047000000015
Sr3BiP,-82.893585
KCa(PO3)3,-125.9089933
LiTaW2,5.4722296
Mn5As4,5.0322164
Na2TlSb,-126.29933
YbScO2,3.7440191
ScPPt,-7.747976867
LuAgO2,-151.72013669999995
CuAsPbO4,-186.50061330000003
Al4Bi2O9,-135.1058633
Be2C,-164.10343
Na2PtC2,-141.8891633
CaMgPb,-51.28556767
KGaAs2O7,-111.8148367
SnSe,-170.6774967
Ba3LuIr2O9,-0.771198367
Li4TiV3,-51.38361133
NdSmIr2,2.7961297000000003
K2AlF5,-153.1367467
MgCoO3,-21.08016833
Tm2CuRu,-3.0209556
Ba(NO3)2,-409.40251
MnS2(NO2)4,-405.78032
PrAgSn,-38.879181
K2Dy4Cu4Se9,-165.24164330000005
Rb2NaRhF6,-370.0187
Sm(SiPd)2,-7.391372232999999
Rb3SbSe4,-143.36817
ThMnSe3,-25.85898567
SbRh,-17.852214
NdFeSi2,1.3078432
HoB4Ru,-11.46213433
Rb3Li,-15.707562
TlSb,1.8038885
Li4Mn2Ni3,-18.7560086
Li4MnSb2WO2,-212.0282733
In2HgS4,-29.84508567
V2GeC,-5.484506967000001
K2Sn(AuS2)2,-139.6636933
PdI2,-318.2349833
HoSi,-4.073332700000001
VAs,-5.1110001
TmMg,-7.8412699
Ti3TeO8,-389.5806633
VCdO3,-16.524844
Mg2NiH4,-299.3939233
LiFeOF2,-6.705169333
CoTe,-3.2573630330000003
BaHg2(ClO)2,-78.29294067
Na5SbO5,-126.8846467
Ho3TlC,3.2933187999999993
P2Os,-241.07485330000003
Sm3CuSiS7,-213.08612
TmNpRu2,9.7224791
Y3CuGeS7,-201.43491
Zr2SN2,-160.88064
HfCoO3,-160.2228667
PrAs,5.602429732999999
TcIrOs,-8.3419577
Ho3AlN,-18.367281
Ti(GeO3)2,-296.3476567
Bi3O4F,-153.14815330000005
SmTa3,-4.9891947
Li2VFeO4,-28.844543
Ti4Cu3O2,-43.1639
YbSe,-192.61524
K4NbAl2O20F,-368.14015
KErTe2,-249.71183
InReGe,-15.02074
KBrF4,-261.3900267
RhSe,-15.389138
Ca2YSnO5,-251.0814267
ScS,-8.732698967000001
Cd(GaO2)2,-59.635278
Li2NbFe3O8,-8.239315933
V(CoSe2)2,-35.538882
BiBrO,-117.1460967
As2O3,-380.46803
NpSb,-48.454261
BiBr3,-153.6250267
Al5BO9,-120.63545
TiNi,6.9033012000000005
LiAc2Si,-21.615757
CoPt3,0.90819294
SbClF8,-291.54496
Ce2Nd2O7,-449.07072
NdCd,8.405962400000002
Sr3LiRuO6,-294.5611033
MgTiO3,-314.1627200000001
Rb2LiVO4,-420.3454533
CuAu3,-15.879533
KHoBeF6,-136.83104330000003
KH4O2F,-123.8913867
CeGeAu,-13.880409
MgWF6,-68.79255233
SiPbO3,-101.73917
Ho(FeSi)2,-13.89734567
VAu2,9.9623964
TlSbF6,-316.6468799999999
YbGa2,-3.3827503
Ni2Hg2SF6,-17.93887
KSm(P2O)2,-101.219908
BaC2,-205.135
BaTaCuO5,-15.55651767
SbSCl9,-148.8013867
K2Be2O3,-117.2341533
KMnP,9.154634932999999
SmMnSi,-1.0490942
SmGa,3.207065
Li4V7O9F7,-32.943555
KSnOs,-5.0265511
YGe,-5.909101167
Li2CrP2O7,-236.4249767
HgPd3,-2.9465892000000005
Ba2ZrS4,-97.823233
SbBr3,-277.03615
Li2TlPt,-5.3422458
Na3Au,-58.01016567
SnS2,-92.696827
Sc2ZnRu,5.3850388
PmDyMg2,0.34193078
Zn4(B2O)3,-159.10367
OsC,-226.20739
Fe2Ge,-8.480816133
CrCo2Sb,-1.7351740000000002
Li3Cr3SiO8,-166.40822830000005
BeRh,9.5932612
LaUO4,-30.72832933
NdMg3,-2.2064758
Ba(CuAs)2,-5.7091052000000015
TmCu5,-8.5430434
SmDyIn2,-7.9696398
HfSi2Br,6.3077882
U(HO2)2,-429.9023
Sb3ClO4,-177.4415633
SrHCl,-141.38793
Mg3Au,2.015200367
RhO2,7.498494900000002
MgSiO3,-113.19988
Cr2SbTe,-7.252085267000001
Ge3Bi2O9,-197.08957
HfSi,-25.06441567
YbCd3,-1.0876445
Cd(AgI2)2,-76.86844433
HoTh3,-10.488445
YMgAu2,2.5371295
CaLa2SnO6,-170.5906233
Li3YbPCO7,-405.8026467
YbPO4,-20.94487233
Zr3(Cu2Si)2,-1.5934555
Ba2Cd(B3O)2,-151.47774669999995
MoP2,-6.250902853
Mn(NbS2)3,6.162791232999999
SrMnSn,6.687746167
Ga4Bi2O9,-154.4449867
Mn2Sn,-14.71574267
MnGaPt,3.458875467
CdBiS2Br,-158.0395033
TiAgHg2,-3.175131667
Sr3P4,-243.3662367
Mo3Pt,8.1011771
Sm3Si2Cl5O6,-253.3405833
CaTl3,-5.8415205000000014
ScRh2Pb,-32.159033
MgCu2,-3.774954067
DyIn,-6.9532637
YMgAl,-37.029353
Pr(BO2)3,-379.7428933
ErAu,6.8766855
LiAlVO4,-103.7841123
Rb3Os,-47.067085
CaHBr,-213.00669
NaNb3(Te2O3)2,-288.49192
Sc2BC2,6.931659233
NiSe,-13.65913067
Ca2PI,-227.5971667
P2Pt,-292.25665
K3H5Pt,-298.6522367
CuP2,-251.1720467
HoAgSn,-26.13362933
TbScGe,-18.61026523
Hf(CuP)2,1.444835
RbNO3,-285.9792333000001
Zn2Cu(AsO4)2,-312.5349967
PrSn3,6.4680364
MnCoO3,-8.141490033
TlSbO3,-254.5742667
ScBPd3,-5.1614005
Sr2ZnN2,-302.9108133
SmGe3,4.170413267
LiVPO4F,-17.42624583
GaMo3,-22.988291
AcAl3,0.219170333
Mg(CoGe)6,-13.850461
CuN,3.9134582
Ta2Mn2O7,-82.480799
VN,-4.6922172
Y2B3C2,3.479570667
MgAl2Cu,6.8423292
RbSmSe2,-242.6182
SrReN3,-389.01484
SrNi2(PH2)2,-368.2114567
Zr2Ag,-2.643016167
K2PdF4,-418.7622433
NdRh,-8.231087333
HoH2,-1.857074667
Sc3Cd,-18.78542633
PICl6,-281.5877367
CaAl2O4,-178.98006669999995
Li2Cr3FeO8,-29.665199
Sm3Zr,-2.0002872
K2NiO2,-424.0336233
BH3NF4,-372.43392
Nd2CuIr,-1.1696906
Li2VBPO7,-178.0873007
Sr2LiReN4,-196.53608
BH4O2F3,-117.32696
BaZn(NiO2)4,-61.93864033
Sr(H2O3)2,-255.53864
KCeS2,-76.72024433
ErBi2BrO4,-79.36793633
ReSi,-2.0300779
H4C,-157.11162
TlCdS2,8.949790267000001
NdTe,-11.904562
MoF3,-257.48975
Rh3Pb,-39.913049
LiMnAs,-26.53402800000001
PuSe,-39.767585
Pr3Sb4Au3,-179.35723000000004
LuCd3,7.156613233
Ca5MnO6,-220.6252467
Ca(FeN)2,-1.6195303330000002
Sm2Be2GeO7,-116.2080767
Zr2Al,-3.453286733
ZnMo3,-1.2055163
Ta5Sb4,-7.679237667000001
Sr6Y2Al4O5,-109.50252
Sn3F8,-286.33255
K2O,-111.76419
RbPdF3,1.0765202
Li2Ti4VO8,-6.1961984
Yb3V,-7.326407667000001
Li2Mn2FeO6,-25.07952507
K3N,-15.76843033
TmTaO4,-253.91619330000003
ErP,0.11715408
HfCo2,-26.74343267
YPd3,-0.22310581
Ba(AgS)2,-65.09656733
MgTeH2O9,-365.1739667
HgB2(CN)8,-250.29804
ZrIr,-8.5009364
MnSbIr,-9.451223533
TaAl3,-4.7378277
LiZnAu2,-1.7213191000000003
Tl2Au,1.23323681
PaBr4,-14.536769
RbSbS2,-300.10149
Y6CoBi2,-0.114663667
GaCuO2,-99.37468433
Na2P2PbO7,-207.6606067
V3NiS6,-0.805905167
ErCuAs2,5.877117332999999
SmSe,-9.579731967
PrZnSbO,-57.768453
P2Ru,-246.89127
Cr3Ge,-13.457703
PI2,-297.0129467
TmHfOs2,6.4980075
PmB3,-13.12310433
ZnSiP2,-191.5515533
Sc2NiPt,6.5022258
LiBi,1.14596
SrF2,-128.55825
DyNbO4,-214.1276067
Ca(PIr)2,-334.3887333
Cr7Se8,5.6875141
Nd2Sb,0.470568842
PrSbPd,-48.39985933
YAgO2,-144.01461669999995
SiPt,-6.907494099999999
Nb3TeCl7,-381.7348667
BaMnS2,-255.19769
PdSCl,-336.05912
GaCl3,-154.2680467
ErTaRu2,-21.093617
Dy2SeO2,-306.5237567
BaAg2,-14.14864533
KNbF6,-495.8299967
Ca(InTe2)2,-146.9517333
VInO4,-364.0755267
RbTiS2,-33.49678883
TlV3(CrS4)2,-16.70108533
YbSi,-8.021761667
Li2CuSnO4,-337.4674167
Zn(AgO2)2,-305.6097433
HfSnS3,-264.5484867
Al2HgTe4,-138.1574467
Pr2AlNO3,-104.8233767
Ca2TiSbO6,8.325508667000001
V2P7,-61.25209200000001
AlPNCl5,-340.69908
K3NaFeCl6,-55.95612467
Tb(FeGe)2,-10.95342403
TiPCl9,-455.5977067
Yb(SiRu)2,-22.37761043
Cd3SiO5,-92.42038333
Li5P(S2Cl)2,-259.56726000000003
Co2CuGe2,-16.91132533
RbCl,-115.81565
PuSi2,-52.50809633
Nd3PbN,-24.020041
FeAgS2,9.446388167
HoThTc2,-15.253078
LiMn2NiO6,-84.36126
Ag3Rh,-13.088189
Li3Mn3O5F3,-201.8561467
Te2Br,-184.1557403
BeF2,-151.4153333
YB2,-9.305618699999998
AlSCl3O2,-357.5379
AlSi,-1.1292725
Cr3B4,7.31351379
SmTlAg2,5.4444589999999975
ScCrC2,-3.075276853
LiAlGeO4,-140.23271330000003
MnCr2O4,-216.92816
Li5(Cu2P3)2,-20.70426093
InSbS3,-121.6303673
LiBi3(BrO2)2,-130.7669467
CaSmRh2,-4.983159099999999
LaP,-27.59023867
ZnBi2O5,-198.1885
LiIn2Rh,-1.669740967
CrSi,-14.274913
LiNbIr2,-20.478832
HfH2,-10.15922397
NaSO4,-406.8290833
Nb2CrSe4,7.304771467
Np(MnGe)2,1.159420067
Al2CdCl8,-183.55392
KAuSe5,-209.8884633
Co2N,-2.335236533
MgScHg2,3.7663867
Zr2Co4P3,-63.80770093
SrLiBi,-224.61577000000003
Zn(CrS2)4,-0.127423333
Tm2ZnIr,3.0582456
Os(SeCl)2,-23.55084363
Hf2SnC,-10.31275087
Mg3(HO3)2,-285.4102467
SrCu2O3,-0.6005744000000001
V3(OF)4,-32.62666853
KLiSi2O5,-125.9915367
Na2MnCSO7,-421.2640133
BaB2F8,-208.14504330000003
RbCa2Ta3,-107.170955
HoNiGe2,9.514323367000001
Li5V2Fe3,-17.846308999999994
ScCuSn,-22.70857567
H(CO)2,-333.81606
Nb6Co7,-4.427291967
Ti2SnC,-14.76973557
TeHO3,-380.1165367
Li2Fe(SiO3)2,8.316907132999999
NaVSiCO7,-425.6144033
Li2Ti2S5,-385.5569533
HfTe2,-7.138674332999999
Sr2ZnCu2(SO)2,-69.15834
SrLi2Sn,-33.326058
Na2BH4ClO4,-111.3886233
Nb3TeI7,-245.9888467
HoSb,-11.720328
AgBiSCl2,-117.7370667
Er(BC)2,-11.28306287
Ta4Ni2C,-19.511632
BiTe,-108.7451267
C3NClO4,-166.5347633
Tm2OsRu,-4.4026790999999985
TiInNi2,5.352773067
BaYCuNiO5,3.379810933
Ba3BiN,-92.509068
Lu(SiRu)2,-12.21297947
TbCoGe,-11.4357561
Te3WO2,-220.59262
RbTa(CuSe2)2,-344.32998330000015
AgSbTe2,-0.5803862329999999
Sc2O3,-273.6582867
Al2ZnTe4,-156.96448669999995
Nd2NiO4,4.244712857
NdTmMg2,-1.5272548
Rb3TlF6,-147.1109367
TmAg2,1.964478633
ErH2,-1.797069333
KCu3S2,-95.13464233
Ba3CrN3,-35.75774067
Re3Ru,-6.329345987000001
PrYMg2,4.8530795
PaO2,-45.12580273
Mn2N,-9.666001667
KTeAu,-41.50395933
AuCl,-293.13144
HgAsO3,-61.13456733
NaGa(GeO3)2,-103.848547
Li4B2O5,-161.7775933
ZrFeTe,-418.93427
RbScO2,-249.3866733
Rb2SnI6,-66.75175967
Sr(BS2)2,-322.4827533
RbUAgS3,-42.23589267
GeCl4,-244.6174833
Ni3Se4,-11.07725303
Te2Pt,-26.15514233
GeAs3,3.241329967
Pr2NiIr,-12.642955
Nb(Te2I3)2,-241.30775
ErIr,-21.600143
AlTlSe2,-99.964993
Li5Cu(PO4)2,-151.6475367
ScGa5Fe,-7.4734855
YbSn3,-18.147537
MnSbPd2,3.691706467
Rb2PdI6,-34.659793
SnH8(NCl3)2,-130.09634
TmCl2,-31.94688033
BaNiO2,-222.022308
RbNaTiO3,-303.8518367000001
SiNi2,-11.5941772
TmGe2,6.5959349000000005
Mn2ZnO5,-51.875213
Li2YTl,-25.009522
AcYbMg2,4.468336
ScInPt2,1.069660267
DyMg2,-0.5134335329999999
Sc2CdS4,-88.030716
ScAu,6.7908996
DyP5,-110.645031
Ba3Bi2TeO9,-266.8269233
ReSn3,6.5704964000000015
Mo8P5,-3.962637603
PtPb2,2.239935933
Ac2CuIr,-1.7597013
Ti3B4,-4.080598733
Lu2GaAg,-11.656831
Ga2HgSe4,-52.93719967
Ag2Te2O7,-58.47628467
DyB2,-4.453452133
TiPt3,-0.149093
Ho2V2O7,-238.0924833
PrNdZn2,5.9693986
NpSO,-15.49159767
NdCuTeO,-341.13058
Ca4As2O,-112.7545567
YbScRh2,-6.8943847000000025
Th(GePt)2,-2.042640343
ZnPb3,-2.314258345
Te3As2,-241.5898333
Li2Ni(P2O)2,-384.6355367
ScZnNi2,-3.3460690000000004
PH2F3,-344.57614
KReO3,-1.5130553
GeRu,-48.458831
LiMn2O3F,7.419692200000001
ZnNiO3,-30.133148
AlVFeCo,-16.318439
LuNi2Sn,7.643891567000001
U2PN2,-23.558621
K2Al2O3F2,-154.01159669999996
LiCuPO4F,-63.38632767
Li2Mn7F6,-205.9472
