pretty_comp,formation_energy_peratom
LiAl2FeO6,-2.34804
Ni2P2O7,-1.70816
Ca2VN3,-1.40709
MoSe2,-0.6312
Sc2TaBe,0.28045
Be2NbPb,0.33165
Na3SrPCO7,-2.34321
YbF2,-4.38553
SrBeCd4,0.16399999999999998
Sr(SiAg)2,-0.30096999999999996
BeBiPb,0.45993999999999996
PdSe2O5,-0.70223
LiEr2Rh,-0.55033
Li2Co(NiO3)2,-1.37464
TmAgTe2,-0.88959
CeCrO3,-2.8209
KZnP,-0.55433
Bi(TeBr2)2,-0.47656000000000004
HoHfOs2,-0.48469
PrZnIn,-0.46818
MnTl3,0.45643
ReC,0.22727
BeTcIr,-0.03501
Ba2AsBr,-1.5972899999999999
GaHO2,-1.49294
Li2O,-1.96302
Ca(HoSe2)2,-1.99659
Ba4InRh,0.60373
B2Mo2Ru,-0.34323000000000004
Li2Ti3NbO8,-2.88916
Cu(IrS2)2,-0.43177
NbCoP,-0.8381
LiCo(CO)4,-0.84859
Co3C,0.11908
Be2ZnGa,0.32023
Tm2CdIn,-0.39955
Sc2InAg,-0.39966
Ba4NbIn,0.80456
CrCo5O2,-1.12898
Ba2CoMoO6,-2.39323
DyGaRh2,-0.82573
TmTh3,0.03413
KYSn,-0.01826
RbInBr3,-1.21937
Sc3InB,-0.43137
BaNaMo,1.63919
Ca(BH)2,-0.27581
Li2VO3F,-2.61563
Ag2HgI4,-0.18886
Mo3(SeS2)2,-0.8273299999999999
Sr3BPO3,-2.53675
FeCu2SnS4,-0.3859800000000001
LiBeBr,0.04236
KThCuS3,-1.60188
BaZr2Ir,0.38877
BaTlZn,0.10709
Sr5Ta4O5,-3.29001
LiVO2,-2.4272099999999996
BaMgCr4O8,-2.15865
Cu3OF5,-1.39654
Sm(BRu)2,-0.5311
LiHo2Pt,-0.7148
BiSeCl,-0.6873100000000001
HoF3,-4.37421
Al5Co2,-0.47679
BaInBi,-0.3024
HfZn2,-0.19862
TaB,-0.7655
LaCo5,-0.0467
Ti2MnO4,-2.66396
Ba4LaGa,0.4471600000000001
KBe2Ge,1.0149299999999999
SiO2,-0.60341
CrAuS2,-0.5562
SrBeCl,-0.35909
Li2Fe4O3F8,-2.08649
NaO2,-0.90183
Rb2Li2GeO4,-2.00955
Li(NiO2)2,-1.26678
ZrGaPd2,-0.71465
MgZrCd2,-0.022340000000000002
Na3Be,0.44483999999999996
RbLuS2,-2.03156
TmH3(CO2)3,-1.51628
ZrAl,-0.46965
AlCuAu2,-0.26284
Ti4As3,-0.88618
Rb2TiCl6,-1.92315
NaMg3,0.06078
LiCrP2O7,-2.31759
TeO2,-0.91391
Pr(Al2Cu)4,-0.3073
Tb(FeSi)2,-0.66743
KOsF6,-2.24863
PrCo3,-0.04967
Na2BeCo,0.25457
Li2Ti(CoO3)2,-2.03973
Sm2Mo2O7,-2.8147900000000003
ThBi,-0.56687
CaTl3,-0.26974000000000004
MgFeSiO5,-2.31701
TmZrSb,-0.76356
LuTc2W,-0.24395
Yb(Ni2As)2,-0.58267
KNaPrNbO5,-2.82131
YbPt,-1.19599
NpCdPt2,-0.41733
YCuSn,-0.65127
Ho2MnOs,-0.07737999999999999
Be5Au,-0.07503
ThSeO,-3.1225400000000003
ScBe2Tc,0.08437
Ba2NaTa,0.8845799999999999
LuTlO2,-2.64885
SrNb2O6,-2.99214
Mo8P5,-0.4476
Bi2PbS4,-0.50478
Sr5P3ClO2,-3.08933
UI3,-0.88782
NpOsO3,-1.20966
H2SO4,-1.10258
BaMgPb,-0.06834
MnRePt,0.9138
BaSnHg,-0.02455
TbIr2,-0.86771
Ag3AuSe2,-0.07292
UZnNi4,-0.31328
KBe2B3O7,-2.71207
BePtBr2,0.73195
Ho(CuO2)2,-1.88872
Ba4OsW,1.78538
DyFeSi,-0.6329899999999999
ErAsPt,-1.2041899999999999
MgSbPd2,-0.57053
YbErRh2,-0.9047799999999999
BaHfS3,-1.99359
K2Zn3O4,-1.58334
Ba4CdSi,0.44943999999999995
Ba2YSn3O8,-2.30355
Zr2Ag,-0.12527
Y4C7,-0.43739
AgF2,-1.23182
AlPNCl5,-1.02941
Ba2H3I,-0.98137
VCl3,-1.29378
BeOsW,0.01424
BaYSe,0.13449
Ba3(BrO)2,-2.55506
SnCl4O5,-1.00336
La2PI2,-1.67055
In7GeIrO8,-1.4294
Mg(CoGe)6,-0.20501
Ho(Mo3S4)2,-0.9991399999999999
PICl6,-0.47271
Sb3ClO4,-1.39994
BaCN2,-0.87903
Ir3Se8,-0.2948
HoErRu2,-0.43509
Cr3Cu,0.277
FeO,-1.00363
LaCu5,-0.18224
KBeW2,1.24385
Y2Si2O7,-3.43477
Be2CrSe,0.23538
BeSi2Os,0.07131
Rb2Na4Co2O5,-1.33431
Pr2CdPb,-0.4754100000000001
CrCuO2,-1.57738
DyTiClO3,-3.2973
Mg3Ni,-0.03161
Te(HO)6,-0.79055
CaZnSO,-2.05333
MnVAgO4,-1.7674599999999998
Ba4FeBi,0.75832
LiCoP2O7,-1.96574
VFeO4,-1.99875
BiI3,-0.46095
Sr2Co(BrO)2,-2.11469
TaC,-0.63999
VI2,-0.14123
Li3Co(CuO2)4,-1.21428
Li5SiP3,-0.67018
RbCuF3,-2.25653
NdPb8F9,-2.72002
WCl6,-0.8891
BaMnAlCuO5,-1.94301
ZrAlPt,-1.08156
LiBi3(IO2)2,-1.34164
UOF4,-3.35827
Ho2TiO5,-3.5907400000000003
NaMgCd2,0.11775
Sb2O5,-1.3624399999999999
Li3Re,0.7722899999999999
PH4Br,-0.1748
BeGaRe2,-0.062279999999999995
Ba2YSe,-0.21786
As2O5,-1.1038700000000001
Sc2BeRe,-0.07657
Ho2SnAu2,-0.89299
ReCl4,-0.59943
DyN,-1.92858
SrAl2B2O7,-3.04928
Hf23Se25,-1.18481
Na2TlCd,-0.12303
Au2S,-0.04796
Hg2BrN,0.39833
Ba4NaRe,1.23347
Cs2TeI6,-0.88194
Mo2WS6,-0.91328
ZnSb2(XeF4)6,-1.37323
TiZnF6,-3.11898
Th2BiTe,-0.8694299999999999
Rb2NaGaF6,-3.00529
Li3Ni(OF)2,-2.20121
Rb2FeCu(CN)6,-0.05322
HfTc2Sb,-0.2595
BaZrTe,0.51645
DyMoClO4,-2.68855
TmCuS2,-1.48766
PtPbF6,-1.88221
HoH2,-0.7439600000000001
CeGeAu,-0.75508
NaAc,0.16829000000000002
RuC3Br2O3,-0.70735
TiAlRu2,-0.755
LiCoF2,-1.84465
Ta3B2,-0.64435
Nb2WO8,-2.36838
Ba4RuRh,1.21172
Ga2Fe2S5,-0.48319
LiCa2Be,0.32284
Na2Mn2O3,-1.4121
Na2NiO2,-1.36225
Fe3RhN,-0.10539
Pb2O,-0.47079
BeRe2Os,0.14259000000000002
Sr5In3,-0.39796
ReNCl4,-0.45322
Ti2VTc,0.34979
Ba4TlW,1.13008
Li2CrS4,-0.8853
GeO2,-0.31937
BaNa2P,-0.13684000000000002
Pr5Al2Ru3,-0.40674
AcFeO3,-2.64995
Ba2S3,-1.8079900000000002
Yb4As2O,-2.00013
BeSiRh2,-0.72756
SnPt3,-0.34891
CdInRh2,-0.27826999999999996
DyHg,-0.38695
ZnCrF5,-2.56739
Ba4SbCl,-0.2836
BeSbBr2,0.54751
MgBePb2,0.28213
YbSi,-0.59135
SmSnPd,-0.91283
Tb4Mg3Co2,-0.18600000000000005
LiCu2Ge,-0.18144
Tl2HgSe,-0.20543000000000008
YbZn,-0.19997
BaYCuBiO5,-2.20798
Ba4CuP,0.5204
YErHg2,-0.40707
BeCdFe2,0.19838
InAsF6,-2.13349
HfBeSb,0.37751
RbLi7(NiO3)2,-1.6575799999999998
Al(IO3)3,-0.9349
Sr3CuPtO6,-2.09037
TiBe2Zn,0.04838
BaSr2Li,0.08225
LiV(PO3)3,-2.16644
Al2(FeSi)3,-0.43799999999999994
BAs,-0.0031
Er(FeB)2,-0.50302
Ca2ZnN2,-0.9143899999999999
SrLiH3,-0.12002
AlSnF5,-3.11404
U2F9,-3.72659
Na2Cu3(Ge2O)2,-1.47465
KBeNb2,1.28396
LiCa3,0.06903
LaFe5H2,-0.06386
BaTa2Be,1.2825799999999998
Ca2CuIrO6,-1.68461
KRb2Na,0.07048
NaMnBe2,0.2762
SrHg2Pb,-0.08084
Cu2As4S3Cl2,-0.29581
ScZn3,-0.31479
Na2CeO3,-2.48631
Th(SiTc)2,-0.6060300000000001
Ta3B4,-0.71792
BeCu4Ge,0.26067
BaSn3Pd,-0.6585300000000001
Ca3Si3(AgO)2,-2.36175
Sc3Pb,-0.29495
LuInPd2,-0.8637100000000001
ThFe2SiC,-0.53581
Nb2RuW,-0.29194000000000003
Re2AsPt,0.60219
Fe3(SnS4)2,-0.40786
Lu2TcPd,-0.54366
BaMnSb,0.49396
ScAuO2,-2.4129099999999997
Ba4CoSb,0.6218899999999999
Na3GaS3,-1.14455
Li5Mn3Co2,-1.83097
ZnNiSb,-0.20876999999999998
Sr4As2O,-1.77542
Ba2AlSn3O8,-1.9373799999999999
ZnWO4,-2.0483
Li4VCr3O8,-2.28643
Na2PdCl4,-1.30872
TmZnPd2,-0.79428
TbBr,-1.2532
As4S5,-0.15308
Sm2Zr2O7,-3.72591
BaAuCl,-1.33297
LuAsO4,-2.54545
K2BeTl,0.41231
Pr(PRu)2,-0.96833
RbTbSe2,-1.84391
TiNiGe,-0.05684
NpGa3,-0.26691
BaV2P,0.73258
Li2FeOF3,-2.4597900000000004
AgB2,0.48565
Li2Fe5O5F7,-1.92948
K7NbAs4,-0.56994
LaAgO2,-2.38073
TaCo3,-0.26976999999999995
UCuP2,-0.64871
Sr2BeSb2,-0.42748
Ba2YNi3O7,-2.10831
Yb2S2O,-2.1628
ZrCoAs,-0.07085
Al5BO9,-3.19087
Cr4Cu3Se8,-0.40605
ZrB6,-0.03817
K2PbO3,-1.40662
LiCuAu2,1.11273
Nd(Fe2P)2,-0.61234
Yb(YS2)2,-2.33475
TlPt2Se3,-0.42721
Al2CuO4,-2.47099
BeGeOs2,0.051
PrTa3O9,-3.24113
PrLuIn2,-0.4427100000000001
BeGeTe,0.22415
LiCdBO3,-2.1214
HfBe2Sb,0.28438
Nb2Te3,-0.42215
Ba2MoPb,0.5434899999999999
BaIn2Pd,-0.6056
KAu5,-0.24784
BeCoBi2,0.70017
NpN2,-1.1372799999999998
Ni3C,0.05484
GeBi3,0.24825
Sr(SiAu)2,-0.49473
Ga2IrRu,-0.3614
LiGaPdF6,-2.31367
NbSnS2,-0.95967
BiI3,-0.45744
Er(BRh)4,-0.56639
BaSn2(HO2)2,-1.6999900000000001
SmTe,-1.41693
Ba2NdSbO6,-2.81394
BaSe3,-1.1264
BeCoTe2,0.1509
Tb2Pt2O7,-2.22516
Er2Au,-0.69781
TaAsRh2,-0.14869000000000002
As3W2,-0.05277
U2PN2,-1.52425
CaCrF5,-3.3462199999999998
SnCl4,-0.89544
KAuS,-0.84006
Cd2GaAgS4,-0.60957
K2H6Pt,-0.41595
NClO6,0.12364000000000001
NbRu3,-0.12214000000000001
BeTlP4,0.6582100000000001
Sc2ZnCu,-0.35566
Ce2Zn4Ru,-0.36351999999999995
BaH5ClO3,-1.50898
KHgSb,-0.30186
LaBiAu2,-0.73817
LiHo2Ir,-0.66405
ZnPPd5,-0.44672
DyCuPb,-0.41805
Li4TiMn3(P2O3)2,-2.26097
Co3Ni,0.00555
Na2Sn2O3,-1.55128
SnI4,-0.29114
TlHg,0.10415
InN,0.009059999999999999
LaHg,-0.41395
Li2TeO4,-1.6795200000000001
CaInBr3,-1.60972
BaTbO3,-2.9516
YCuPb,-0.44669
BaSr2Ca,0.01984
NbIr,-0.53835
BaMnV2(AgO4)2,-2.0886099999999996
MgAsRu2,0.20884
LiCaTl2,-0.35572
CaBHO3,-2.56391
Be2MoPt,-0.32197
BaSiP4(HO2)2,-2.31665
Tm2AgOs,-0.43354
ZrBe2Co,-0.15757000000000002
ZrGe2,-0.59111
Li7OsO6,-1.9042599999999998
AgTe4Au,-0.05743
Ba2AlAg3O8,-1.23622
HfH3,-0.23147
Pr2Co2I,-0.63452
NaBeRu2,0.4910100000000001
URhS3,-1.11116
BePPb2,0.22907
Np3Sn,-0.04244
CrSi2,-0.20781
Mn5B2P,-0.3584
NpSi3,-0.22041999999999998
BeVFe2,-0.27224
BeZn2Cr,0.16899
BaMnCl2,-1.00946
LiBiPd2,-0.42657
Be2GaFe,-0.11691
K4YBe,0.8920600000000001
MnAu4,-0.04398
HfBeRu2,-0.07427
Ba4FeHg,1.00968
SrAsPd,-1.00465
Be2RuPt,-0.49633
YTlTe2,-1.1149
NClO,0.01704
BaAs3,-0.67686
CaAl4O7,-3.32115
Mg2ZnB2Ir5,-0.45345
W(S4Cl3)2,-0.45561
Ba2NF,-1.8775
BeCu2Br,0.27573000000000003
NaIn2Sn,-0.11265
Be2CrSi,0.1557
DyInPt4,-0.81191
Ru3I,0.9570200000000001
SrPd3O4,-1.33297
Ba4MnOs,1.7466099999999998
Rb2SnCl6,-1.5629
MnV2O6,-2.3080000000000003
BeFe2Te,0.39658
PrIn3,-0.48116000000000003
Y2Zr2O7,-3.75002
Y6UO2,-3.8269699999999998
Er2Fe2Si2C,-0.72952
BaMgIr2,0.08929
Li2AgF5,-2.0916200000000003
Ta2N3O,-0.59113
Cr3Se,0.36249
Ba2YNbO6,-3.3195699999999997
BeCdSb2,0.3941
CdSbS2Br,-0.58198
KTeOF3,-2.20085
ThPd3,-0.96311
Na7NbO6,-1.88169
BeCuCl,-0.15111
Zn2BAs,0.8937799999999999
DyTlZn,-0.3089
LiV3O4,-2.18821
Ho2MgAl,-0.27825
BaZrSe2,-1.20563
Be2FeRu,-0.12964
MoF4,-2.42603
Ho2Ti2O7,-3.59314
NaAlO2,-2.79514
V2Pb3O8,-2.04042
MgAs,-0.44396
BeSi2Ni,0.10859
Lu2CdIn,-0.37164
TbMnB4,-0.64612
InPS4,-0.40388
Ba(FeS2)2,-1.0147700000000002
CaAsAu,-0.9189700000000001
DyBPd3,-0.61951
Mn(SbS2)2,-0.40083
CuCN,0.30334
Sm2AgSn,-0.55357
NaHCO2,-1.3337700000000001
Cd2SiO4,-1.9679900000000001
Sr2FeWO6,-2.62702
Np(FeSi)2,-0.3789
Li(CrS2)2,-0.7572300000000001
KHg2S(ClO)3,-1.05504
LiTl2GaF6,-2.52579
Li4MnW3O2,-2.34514
PmZn2Ag,-0.32904
Ti3AlSe2ClO8,-2.32891
BaPIr2,0.58313
TiZnAu2,-0.3693
Ho2C,-0.36801
Na2SmPCO7,-2.4530000000000003
LiCe(CuP)2,-0.8062199999999999
K3SbSe3,-1.0418100000000001
Li7BiO6,-1.87411
Na4Ni3O7,-1.32655
Ta3O7F,-3.09713
Lu2AgIr,-0.7718
Ag3N,0.9960600000000001
Sr2BeIr,-0.05344
Er(NiGe)2,-0.67092
BeSb2Br,0.17589000000000002
Na4SnS4,-1.07907
Ba5Al2In2IrClO3,-2.52339
Ba4ScSe,0.30529
BaHf2Ni,0.03973
Lu3SnC,-0.72206
Na2Te,-1.00223
YAlGe,-0.69901
SrBe2Cl,-0.16052
SrCa2I6,-1.66114
BiPO4,-1.26991
Ti(BeOs)2,-0.01024
Ca2ZnSn,-0.60844
BaTi2Bi,0.41965
YbThRh2,-0.87019
Li2YbGe,-0.49328999999999995
Pr3Hf,0.19192
Hf2FeOs,-0.58115
TaBe2Zn,0.20859
Tb2InGe2,-0.72358
ErBRh3,-0.81833
Ho2ZnRu,-0.43836
ScBe2Cl,0.27161
Nd(BOs)4,-0.3738
V5Sb4,-0.10038
Ba2LiReO6,-2.5642400000000003
CeMg2,0.047760000000000004
CdPd2Pt,-0.15611
KTl,-0.15755999999999998
Nb2MoO8,-2.30017
Ba3SrI8,-1.82967
Ba4NiCl,0.37477
Ba4SbOs,0.8052199999999999
Li2GaAg,-0.23533
Na3AsSe3,-0.8580700000000001
Li5VCr3O8,-2.12108
Mg2H4Ru,-0.34539000000000003
DyTe2,-1.18734
Sr2SnS3F2,-2.35684
KCaBr3,-1.9892
Th2HN3,-1.4658
Er3SiSe2F,-2.78629
HoO3,-1.72673
Ho(CoSi)2,-0.7955300000000001
AsIr2Rh,0.35493
BaGeO3,-2.27843
Li2FeSn(PO4)2,-2.07004
SrSiN2,-1.3344799999999999
MgCdHg2,0.1244
Zn3Co,-0.02868
MgSc2Os,-0.3573
Re3P4,-0.35047
TeWO6,-1.56644
Ba4SnW,0.95688
MoN2,-0.08188
DyZnRh2,-0.6824899999999999
SrHfN2,-1.6198299999999999
Li(Fe3P2)2,-0.5314300000000001
DyGaPd,-0.90304
Ho2AlOs,-0.37263
K3AsSe3,-0.99116
CaBePb2,0.15785
BaSrY2,0.28908
RbO2,-0.9971200000000001
UCl3,-1.7915900000000002
Ba2AlCu3O7,-1.70196
Sc2ZnS4,-1.74164
BeCr2W,0.06325
LiTiMnO4,-2.54123
Ba2NbCl,0.07412
CaMoN3,-0.74325
NdScO3,-3.7550800000000004
NdCu3(Ru2O)2,-1.35537
YInRh2,-0.7604
Sc5Sn3,-0.70257
Nb2CrSe4,-0.74992
BeCuTc,0.0568
TlSbTe2,-0.22834000000000002
Nd(NiP)2,-0.98608
V2Cu3H6O,-1.36185
NdGa2,-0.6966
ZrInNi4,-0.39039
SmMg2Sc,-0.05471
TiCoAs,-0.15506
YCl3,-2.36393
SmF3,-4.1525300000000005
HfFeP,-1.0309700000000002
DyCuSeO,-2.10338
YPaRu2,-0.44702
MoWSe3S,-0.65055
ScBeRh,-0.61358
Zn2Cr2O5,-1.6615900000000001
NaHS,-0.75947
MgPS3,-0.85
Y(BC)2,-0.38403000000000004
Li2MgSi,-0.27589
K2H4Pd,-0.32612
CrB,-0.48278000000000004
Ca3AuN,-0.93094
Ni2Sn4Au,-0.20600000000000002
ZrBr2,-1.3036
RbSO2F,-1.91175
TbBi2ClO4,-2.21504
BaVS3,-1.52799
Ba4FePt,1.09599
Mg3BN3,-1.07895
Mn3O4,-1.67186
BeV2Mo,0.099
TmAs,-1.56028
Ca2IN,-1.38225
Pr(PdO2)2,-1.7465099999999998
ScBe2W,-0.00634
Ba4RhCl,0.3421
LiMn7(OF3)3,-2.11721
Ba4TaZn,1.09945
LiCoPO4,-1.9708
V2InC,-0.36055
NdCl2,-2.01775
MgOsO3,-1.13904
LiCa2Ir,-0.34933000000000003
Ca4Bi2O,-1.67337
Ho2Ga8Co,-0.47492
CeCuN2,-0.72745
BAsO4,-1.7142099999999998
NdSmIr2,-0.71678
SmSbPd,-1.03732
Na3ZnPCO7,-2.05012
BaCaPb,-0.03042
TbCo3B2,-0.50666
Ta2H4O7,-1.58752
U2Al3C4,-0.29936
TaBeRu,-0.23218000000000005
HfPd5,-0.6422800000000001
CS2,0.24802
Ce2MgAl,-0.09538
Be2InOs,0.22606
Ac2IrPd,-0.72315
Be2GaFe,-0.02684
CaNiO2,-1.8461299999999998
K2Bi8Se3,-0.55904
BeInIr2,-0.04922
Er2RuRh,-0.74345
CdFe2As,0.51778
Rb2SCl6F,-1.01329
Tb(SiPd)2,-0.88518
BiF5,-1.6495099999999998
RbLiO,-1.6074899999999999
Na4FeO4,-1.62971
Mg(CN)2,-0.17768
Li8FeO5F,-2.07666
SrPSe3,-1.0041200000000001
Cd2Sb2O7,-1.45767
MgGaNi2,-0.34854
HoFeSi,-0.63877
Ba4TiTl,0.72923
ZnCu2SnSe4,-0.39087
Nd2CuO4,-2.7184
USiRh,-0.65199
SrBe2W,0.28502
LuAlB4,-0.5181399999999999
NpAl2,-0.2602
SrZr2Nb,0.66581
Sr3YRhO6,-2.82784
MnNiGe,-0.10742
LiMn2Cr2O8,-1.93281
TbAs,-1.5929200000000001
Ba4GaBr,0.05973
Pu2SnPt2,-0.97486
P2PbAu2,-0.13790999999999998
YCuO2,-2.60561
Ba4ReSn,1.07658
BeCrSi,0.29044000000000003
TbCdPd2,-0.75226
HoGa5Co,-0.45151
Ge3Rh,0.15033
HfBe2Ni,-0.12863
HfBeNb2,0.14782
PH4I,-0.09175
YbNiB4,-0.44605
Ca2InPt2,-0.96876
CeSi3Ru,-0.6359
TbTlS2,-1.61835
ErAgSe2,-1.20821
Er2FeC4,-0.42459
YbAlAu,-0.8433799999999999
PaTlO3,-2.96076
LuThTc2,-0.14257
LiHo3,0.18823
Zr2Cu,-0.16046
Ca3(B3Rh4)2,-0.6402800000000001
Rb3Lu,0.56058
YFe(WO4)2,-2.4367900000000002
Ca3SbN,-1.27494
CeCoGe,-0.5704
MnSbRh,-0.17
UTl2O4,-2.2838
BeReBi,0.52423
Li2V2SiGe,-2.3639
LuRh3C,-0.5819300000000001
TmAlAu2,-0.76827
LuPb2,-0.13382
Nb3CrSe6,-0.8393200000000001
Mn2CrO6,-1.76233
Lu(MnGe)2,-0.4108
DyCuGe,-0.70992
NaAsP,0.37346
K5V3,-2.47762
MnVAs,-0.15986
MgCdAu2,-0.42184
Zn2Hg2OF6,-1.80266
Li3V3O5F3,-2.69875
Li7Ni(O2F)2,-2.11754
SrSi2,-0.39887
Ti5Sb3,-0.46772
Sr2Rh,-0.23579
RbFe2S3,-0.81052
Ba3NaBiO6,-2.27584
Cd(CO2)2,-1.2265
CaBe2Tl,0.3125
LaC2,-0.31919000000000003
PrGaAu2,-0.6450600000000001
TiBeW2,-0.29616
RbLiF2,-3.00791
Dy6FeSb2,-0.57377
Mn4N,1.8104799999999999
FePSe3,-0.08541
YbScO2,-3.36972
Ba4CdCu,0.53955
PrSi2Ru,-0.76523
K3Mo,1.15155
NbNiB,-0.53996
Ca(BeN)2,-1.33013
LiTm2Al,-0.2159
CaSn(GeO3)2,-2.00106
MoW2(Se2S)2,-0.66422
Y2Mn2O7,-2.84065
Ti5Te4,-0.6746
KH,-0.32572
VCo2Sn,-0.0483
TbBe3,-0.19414
TiOs3,-0.17327
BaBeGa2,0.06215
TmCo3B2,-0.54694
Na2B2Se7,-0.42386999999999997
TmInNi4,-0.43415
Zn4(B2O)3,-2.27291
V4GaS8,-1.02489
ThCo2,0.07259
Tl2O3,-0.7720199999999999
UB2C,-0.43825
LiPrTl2,-0.35761
Ba2ZrS4,-2.08963
Ba4BiP,0.07787999999999999
Sm2AlNO3,-3.0483
Nd2Al,0.31799
Mn3O5F,-1.89101
Yb2PrDyS6,-1.95499
MnBeP,0.10787
Fe2SiO4,-1.85517
NbBi3O7,-1.713
KBe2Os,0.5643199999999999
BaPd,-0.61142
PaH3,-0.38185
LaOsN3,-0.5435
SmBi,-0.74897
Li4BeSi,0.28055
Pr(NiGe)2,-0.6875399999999999
Li3FeSiCO7,-2.0982
TiBePt4,-0.08707000000000001
Lu2TcAg,-0.25755
Ca2CuSbO6,-2.06172
NbFeTe2,-0.30197
CeB2Rh2C,-0.64679
Ba2Mn3(AsO)2,-1.20765
Ba3(CrS3)2,-1.5934700000000002
HfInRh2,-0.777
TaTc2As,0.24821
Mo3O7,-2.04748
RbCeSe2,-1.76188
ThSbRh,-1.04043
V2O3F,-2.58222
Nd2Fe2Si2C,-0.63735
Li2Co2SiO6,-1.93911
YbPb3,-0.38764
BaCaYb2,0.02695
Li2P2WO8,-2.26088
ScIr2,-0.78535
CuAgTe2,0.02397
SrMnBe,0.49883
TbCu2,-0.31895999999999997
MgBeZn2,0.14511
BaF2,-3.97981
BaZnSb,-0.19823
NiAsO3,-0.45777
Ba(NiP2)2,-0.68357
Ga2Te3,-0.30662
Mo3Os,-0.00294
Li3MnF7,-2.79084
Li5BiS4,-1.12307
LuNbO4,-3.3566199999999995
Ni2HgAs,0.4759600000000001
TcMo2As,0.20558
Rb4Fe2O5,-1.52098
BaMnGe2,0.20455
AsPd2Pt,-0.10885999999999996
BaCdSb2,-0.38892
MgBiPO6,-1.78177
Ba4NiPb,0.5355800000000001
BeCu2Os,0.21799
Sc3In,-0.3017
SiPdO3,-1.3133
ErF3,-4.37655
SrCd2,-0.40742
La2ZrBe,0.34062
BaCuP,-0.8291200000000001
Sc2BeNb,0.07352
CeCo2B2C,-0.49541
SrGaGeH,-0.54347
YbCl3,-1.77433
Na3SO4F,-1.91265
CaHN,-0.8830600000000001
Na3CuO2,-1.28752
CaFeF6,-2.81621
NaScBe,0.32574000000000003
PaPd3,-0.79232
Hf2SN2,-1.94013
Te2Mo2SeS,-0.44785
TaF3,-2.5311
Na2TiS2O,-1.86512
LuNiSn,-0.66667
ZnSnAs2,-0.1789
NaFe(SeO4)2,-0.97714
Ti5Si4,-0.7265
PrHg,-0.38242
GePbO3,-1.47161
Na3BrO,-1.54231
GaS,-0.70648
TmSb(PbO3)2,-2.08521
Al2W,-0.03422
KBeIn2,0.39662
Tb4CdCo,-0.28358
PbSO3,-1.40324
KBaSe,-0.6915600000000001
CuSe3Br,-0.14279
Na3Tl,-0.09803
Sm2O3,-3.6642
HoMoO4F,-3.05565
BaSrLi2,0.04059
Sr2PAu,-1.03954
BeSb2Pb,0.33887
ZrPt,-0.96944
