pretty_comp,n_powerfact
CuHgSeCl,465.77510099999995
Li2CuPO4,894.671024
MnNi2Ge,76.26460548
Li3Nb4VO2,1072.25432
LaOsN3,492.64764019999996
MoI3,596.4365164
CaGeO3,424.4438773
SmPPt,1239.45406
CaVO3,370.95095960000003
Li2NiO2,865.4804142999999
YNiSn,136.2492854
NdMnPO,24.10626179
Li5(NiN)3,93.91347516
AgClO3,1130.824032
Li2V2CoO6,42.60208849
Lu(SiPt)2,455.00366809999997
Ge2SbO6,355.42672220000014
Sr2ZnN2,3248.5143120000002
LiNbVO4,192.3879786
ZnCdSe2,191.8067823
SmAl7Au3,520.2942916999998
CuBiSeO,1369.203612
RbBiF3,4170.073507
SnBO3,249.38038219999996
HoAl4Ni,1339.846984
YGa2,204.4105619
Ti2CoSe4,305.4890104
Li2CuSbO5,343.459836
YCuS2,2488.910326
Tb(SiIr)2,337.9232182
TaTeBr9,459.0725183999999
MgFe2O5,544.7326649
MnTe2,708.5827199
Dy3TaO7,1157.977006
PdF3,393.1308772
MgAgSb,134.5310129
PrW3,0.918713793
AlPS4,1188.767205
RbMnF3,2513.291277
Li3V3CrO8,341.4333163
BaNiO3,863.4155404999997
TlAs,1948.2793960000001
Sc6FeTe2,897.9193556
Ba2IrO4,1001.151619
Dy3S4,1755.689634
CaBi3,56.26499242
Er2ZnTc,1344.065348
Tb2SnS5,823.2435402000001
Li2Mn3OF6,134.7911084
KNdS2,3080.8529489999996
NdMgO3,856.8508788999999
NbAlCo2,417.65050519999994
GaPPd5,50.48496245
CuNiSb2,811.0921758999997
Ho(MnSi)2,495.13593849999995
Sr2ZnCu2(SO)2,443.9442177
HoTe2,18.69647531
K2VAgS4,451.8248994
MnCu2SnSe4,355.5566099
Rb2SCl6F,328.19624280000005
LiV2O2,251.6860806
Bi4Te3S8,323.7413547
Er2Pd2Pb,366.13218789999996
Zn(MoO2)4,111.4417293
Li2Cr3NiO8,31.84016217
Nb3(Fe10B3)2,21.768317
Ce(Mo3S4)2,982.9013859999999
Li2NdAs2,2831.172722
PmGeAu2,0.206143432
ZrNiSn,2877.444969
NbAs,342.6379778
K2PO4,19.07547029
Ca2BiAsO6,1514.0080050000001
Na2CrO4,495.5102589
PrGa2,347.479298
Dy3TlC,3.832887073
Co9Se8,88.51262518
Cr2AgTe4,109.533953
Tm(CuO2)2,73.74089137
Sm3CuGeS7,1720.243943
Ba2SrTeO6,1169.8505619999999
HgMoO4,2900.295352
Ca2Sn,1980.1372920000001
Li2AgF3,855.9427962000003
MnNi3,44.81731836
Rb2ZrCl6,1513.5259449999999
PdSCl,659.5006352
Te2Rh3,1013.179924
Mn5CoO2,11.14267405
BeGa4W,1187.361326
Ca3Sn3Rh4,19.30707349
Sm(SiPt)2,450.83756830000004
KInTe2,1334.163537
ScSnAu,346.4147153
VFeTe,1052.448714
ReSn2Se,76.19728046
Ti2AlTc,2389.3169120000002
Te2Mo3(SeS)2,246.1641583
FeAgTe2,203.33584130000003
PmSmHg2,889.0312302000003
CeSi2Ru,2672.050222
VPbClO3,523.3493406
VBiO4,964.4066579
NiSe,731.8225446
Ba3(HIr)2,2349.100487
PdS2,2862.526018
Ba3(SiAs2)2,1660.72416
Ti6O,24.00499413
Mn2SnRu,561.1700808999999
TmThTc2,1266.333106
SmIn3,1545.102899
CaCo4Cu3O2,370.0478349
MgMn(GeO3)2,742.0697932999999
ScAl,651.6892572
Al(BiO3)3,530.1738875
VPO4,141.0034631
NaTaGeO5,887.824587
Li3Nb,699.1104531000003
Li4MnFe3O8,327.9889686
Sc(HO)3,805.2485889999997
H4IN,613.5312309
Li8PbO6,827.8842826
LiMnSiO4,559.8898422
Ba4MgV,514.1327748
TlP5,1625.138724
In4Bi2S9,913.6029379
AlPd,0.671166527
K2TaCl6,129.95234969999998
V2CdO6,1063.861157
Yb2InSn,1051.784505
Be2Fe,211.29446800000002
KSn2I5,1236.3854939999999
Na3AlAs2,1159.990845
Ba(GeRh)2,225.6622429
K2NaAlF6,960.4656912999999
Pm2PtAu,1133.624009
La3InB,3865.6015780000002
YbCu,5.850581367999999
LiV2F5,1115.045409
SrHg,2.532316185
NaGeSbO5,741.2348095
SmInRh,767.7696442000001
MnCrRe,181.08141840000002
LuNiPb,424.07518930000003
Dy3CuGeSe7,1072.933216
ErCoSn2,38.42107902
LuTaRu2,1230.639363
TlBi2,589.4454799
HfNiSn,254.0663414
GaCuSe2,140.130987
ZrCrFe,385.98692289999997
Li2MnCl4,786.131934
KBeH3,1140.147776
PrAl3Ni2,966.8233338
Ba2Mg(BO3)2,1782.5109420000001
LiNbCuO4,334.3333189
SrTiN2,1301.183067
ErAgGe,306.6659939
Na3AlTe3,1413.503152
PdPbF4,1505.160377
In2S3,169.70602730000004
TiFe2As,139.18103530000002
ZrSb2,175.82670019999995
Al3Ni2,4.31775331
Rb3Pm,124.53147790000001
GaS,2052.408526
ErBi2BrO4,640.3039058999999
Pr3NbO7,1528.400935
Sr3LiRuO6,966.4513232
H4OF2,1093.741596
Rb2WCl6,42.14999487
TlPPd5,112.79540630000001
HfC,600.5783754
Tl4Te3Pb,1999.019948
Zn(CrSe2)2,374.98889610000003
BeVOs2,4194.8689909999985
GaTc2W,831.7093829
RbCaSb,2118.472973
Er2Sn2O7,698.4732565
LiY2Pt,502.4457416999999
NaN3,2009.1547039999998
PaNi2Ge,90.22635527
ThSbSe,28.50819007
Ba(MnAs)2,530.1203631
Nd3Mg,41.37714056
Dy(SiRu)2,693.6629579
RbSbBrF3,836.5069087999997
Al3Te3I,1931.289367
CeB2Ir2C,3492.141694
NdCuSn,1194.757616
CaZnSO,535.2154605000002
Sc2Al3Ru,474.369117
PdCl2,651.0751937000001
B2IrCl,3245.4028
SbPt7,2831.8381879999997
Ce2Th2O7,117.7900144
BaPb2BrF5,771.3704659
HfPbO3,1892.598166
PtI2,3012.381856
In6Ge2PtO9,2203.445755
NaHoS2,2967.580412000001
Pd3N,110.4005114
TiTe2,379.0467825
K2SnCl6,721.8172956000003
ScAlNi2,371.8681583
Li2CrP2O7,853.3734181
Ca2Nb2O7,1448.5297369999994
La(PRu2)2,76.78560417
V3Pt,1485.3404560000001
Na9ZrP4ClO6,284.9474076
DyHg3,656.2025309999998
Zn3As2(HO)6,594.0897127000002
HoPbAu,1557.1799019999999
Sr3P4,1703.6541739999998
Li3Fe3O8,891.7749774
HoHg2,399.7627891
Er(CoSi)2,1936.779983
LiMgH3,2247.9030390000007
Ga3Te,899.1586233999999
SrLuCuS3,1035.313997
Ca3Ti2O7,1859.6164350000001
Nb4FeSi,82.55707146
PrCo5,228.8460608
DyPt3,2317.504064
Li4Cr3FeO8,411.5502725
MgSc2Al,132.3789561
HoPtF7,371.7545755
Dy2Bi2O7,25.43990532
HBr,948.8721465
NbNiP,246.6898909
TbIn5Rh,548.7390964
Ca(AlSi)2,1469.464121
PmSnPd2,174.8821954
PrYZn2,152.9427253
CaAcIn2,337.5735459
DyInPd2,733.6733176
TiInFe2,410.9486503
NaVSiO4,315.9632299
Te2SO7,2598.411923
Nd(GePt)2,506.0570079
SrLiNb2O6F,2034.137676
PrCo2B2C,1139.307697
Rb3Sb,316.11417439999997
PaP2,282.1081686
TlBS2,1271.306335
Tb(FeGe)2,721.3059982999997
KF2,1439.518791
CaZrPd,697.8956642999997
Ta2Be2O5,341.008088
Ba2Ru7O8,359.2341869
Ba2YTi2TlO7,364.9418439
Sr6Y2Al4O5,658.8762305
H3BrO,451.81952889999997
Rb3Na,413.7425296
MgSiP2,929.6424873
Mn4CuO8,348.76626980000015
TlPt2S3,3181.5116160000002
RbMgF3,586.3236456000002
Li4CO4,1161.7654109999999
LiAl3Si9(N2O)2,784.4846776
Si3N4,2101.83126
U(SiIr)2,1592.138189
VCo2Si,66.16234571
As3HO6,1150.47146
XeF2,1419.407416
Li3Mn5OF,60.24362817
MgV4O8,761.2376237999997
Co(GeO3)2,215.5538116
Dy2Co3Si5,487.0946791
Ho2IrRu,1576.999914
TlCuPSe3,1588.451687
TmCuPb,665.8361817000001
SrInHg2,58.51687502
LiBiS2,3171.999527
Ca2V3O8,39.59317724
LiTmO2,2574.759807
Hf2MoRh,201.2135564
Zr3PO2,679.139712
RbPb2Br5,1988.7561219999998
LuNiC2,918.4843896
NaNO2,1069.970752
TmZnRh2,316.9813777
NaO3,759.3511467000003
TiSnPt,2114.953708
Cr2CdS4,325.1333055
Yb2CuIr,1954.1086530000002
Li2Mn3NbO8,50.18392566
Mg3V2O8,494.72281449999997
Rb2NbCuSe4,930.8475778999999
HfAl,901.9292783
K3Ag3As2,2128.6962359999998
ScOF,1515.2511029999994
MnP4,61.72241893
Sm2RuAu,270.6798721
NaPmHg2,3.506237215
Ho3Tm,702.0798388
K2RuCl6,31.19467834
YbCuGe,144.05820830000005
HfNbO4,320.2166195
SrHClO,635.6860535000002
Rb2CuCl3,512.4100672000002
SmFe2,235.6524906
MgNiH3,26.8132705
Rb3Y,1309.8305619999999
KFeP,1072.957934
NbRu3,785.5900122
TlSbO3,1561.672275
Al2(FeSi)3,285.1471659
AlPNCl5,423.8878404
Ac2GaCu,977.6764548
Na2Co2O3,512.1679874
NdGaO3,263.26339939999997
YbSnRh2,3960.538741
Sm3TaO7,1476.590432
CoPdO2,1433.92956
U2SeN2,165.5058861
Mg(IO3)2,871.7879832999997
CaBeO3,3.9325757919999997
HoBPd3,214.1538105
YAlO3,665.8683956
PrMg2,543.7860598
Rb2CO3,708.3882836
AlVNi2,0.000159534
Dy6FeTe2,873.1191722000003
LiMnSbO4,1125.4679310000001
Cu2GeS4,20.12546443
NpSe,594.3772234
Zn(FeO2)2,2.940618717
SnH4(NF)2,802.139949
LuH2ClO2,927.4234649
Mg(CO2)2,1210.9906039999996
Mg3Nb6O,1089.18111
NpGa2,791.3483544
SmAs,3871.135275
V4O9,28.72584815
YbAl7Au3,214.65163959999998
NaBi,173.2107008
Bi2Rh2O7,281.6155068
RbBaSiHO4,564.8152739
Rb4Fe2O5,197.8749782
ZnSnF6,867.3275751
NdAs,2407.330963
Ti2Ga,1677.2086869999994
ErSi2,576.5980495
CaF2,1104.9161960000001
LiHo2Tc,2247.2251
NdAsO4,777.5637293999997
K2PuO4,39.5548821
AcYbMg2,53.86990513
PbSe2,612.992958
YbPmAg2,111.55246559999999
CaNiO3,1788.0956600000006
Ho2S3,2721.183829
TiO2,1878.701753
ZnSiAs2,3471.442327
YbBiPd2,397.3805667
IClO3,153.9659977
LiIrRh,143.7331393
Ca3SbP,1704.090064
HgHOF,1348.966309
Rb2MnCl6,2.682448909
PrRh2,508.9008682
ScRh3,324.8419666000001
AlH2PbO2F3,1103.1407359999996
CaPmPd2,736.9505952999997
ZrPd,150.6502941
Mg(Co3P2)2,1262.437414
Ba2PrIrO6,186.0928677
DyTmO3,904.2291513
DyB2Ru3,228.84692569999999
YbAsPd,352.17734210000015
ZnCrO4,553.9038171
NaRhO2,2881.124911
VOF2,152.12851659999995
KZnSb,1112.779133
HoMnB4,170.43938169999996
CrH,332.1070912
Rb3BS3,539.3834642999999
Ba4Tb2Cd3,597.064294
RbNaO,568.2332392999998
Ba4OF6,803.9702953999997
HfAl3,1230.261324
ScPaTc2,68.01843188
AcAg,167.21511
CrSb,69.77536769
AlCo2Si,428.7993404
InCu(PSe3)2,774.4144981000003
AlSi,53.46273515
SiTc2W,76.58315132
Sr(GeRh)2,85.09964659
LiFeAs,1132.388514
KIn(GeO3)2,733.6801853999997
Li2VCo3O8,228.77507880000002
PuNiC2,364.5644898
CaHCl,1085.354916
Fe(CoO3)2,43.87568207
TaGe2,1439.014149
Sc2AlIr,2979.221608
Th(AlC)4,910.0566875
K3VS4,298.1227961
Ta3PbS6,793.4270362000003
RbI3,886.5740492000001
CaCN2,2069.637711
Pu3O2,576.4816408
ErSbPd,3445.689381
KNbPCO7,410.7580186
NiSO4,1267.136415
LiCe2Ru,3134.293431
NaSi2BH2O7,1014.075878
Ni4N,468.4286422
Fe3Re,3115.245076
NaH2N,878.6239634
AlSnF5,1909.3542940000002
LiCuTeO4,471.2939989
TmIn5Co,394.9471563
ZnCr2O4,1229.429088
Er(Ni2As)2,954.4162892999999
KCu3S2,560.0914323
ZnReO4,48.79080975
MnCdO2,245.2734849
Yb(MnGe)2,273.8420704
CrSb(PO4)2,712.6639789
Sr3(AlN2)2,558.7554877
YAl2Ni,161.9672909
Ba2Zn,532.0716279
Cr(PO3)2,1410.639792
CuP4Se4I,797.8631518
ZrBiRh,1305.286746
H3OF,793.8922494
Rb2PrO3,40.83617038
YTmCu2,13.57300554
Tl2S,2479.7390219999997
Li2Co3NiO8,593.4890647999998
AgTeNO5,1325.8181710000001
DyAlO3,1540.831942
LiH2BrO,860.2374222000003
Cu2Hg2SF6,107.9534561
Ca(InTe2)2,2442.644182
Hf(FeGe)6,29.730913
InPb2I5,1349.722121
Lu(FeGe)6,90.7806121
NdP3,54.19785731
In2FeS4,35.05176456
Na3ErCl6,314.2036682
NbNO,1342.645333
K4SnSb2F4,603.7733789
SmDyRh2,558.9939552
UV2O6,155.6556254
TiAlFeCo,1280.060041
Al2CuO4,270.44166060000003
Li4Mn3,270.9866652
ZnH8(N2Cl)2,1525.596274
ZnCu2Ni,513.8332921
LiAlFeO4,2.9734593489999996
ZrZnCu2,292.2986403
SmPPd,1660.368864
Sm2InAg,2453.5005969999997
GeAs3,149.00326040000004
Li3PO4,1105.7357769999999
Sc2Co3Si,90.75259237
BaMgOs2,128.4907185
Ga2PdI8,392.8277849
CrSb2,280.7725892
ScSi2,632.4957931
CoGe,15.54630007
CaHN,873.4284277999999
RbBiO2,1240.961375
VAu2,241.9391767
KNb4O5F,609.1974365
NbRhO4,1688.336137
MnAlTc,753.3733109
Dy3AlC,3.639589932
ReH8(NCl3)2,1105.121668
ScAl3,1133.821794
AcZnAu2,326.219152
Tm(Mg3Al)2,295.0475808
Tm5Sb3,132.54124950000002
NdZnIn,3538.495259000001
Ti3Rh5,159.4760446
MgGeN2,587.3211232000001
Nd2O3,1535.029806
Nd2O3,957.5278787999997
TlSe,1644.393404
LiInAu2,5.168852628
Pr2AgRu,1458.3680160000001
Pm3Si,38.03366374
Mg(GaO2)2,508.18718039999993
YbThRh2,22.50092021
TlCrS2,1437.564549
ZnNiO3,1248.893873
Li3Th,2.798821653
LiAl2Pd,342.45624439999995
LiV5O7F,371.0633778
Dy2Ge2O7,620.5626053999998
P2Rh,1504.090643
YbFeGe,267.478264
TmTa3,579.816825
InAgTe2,184.5229616
Th2TeN2,2213.353763
LiZr2Tc,1030.5867039999996
CaSiO3,915.7324937000001
LaIn,531.5643906
K2Al2O3F2,1147.2739869999998
HfB4Ir3,98.68954923
Tb2Mg,108.75799350000001
NaYb3,2256.991721
Er2PdRu,861.2269267999999
TmSnGe,442.1869466
TmB2Ru3,373.51957910000004
LuSnAu,1277.264767
MnZnF4,289.4590952
K2Ti(SiO3)3,34.38801153
Pr2InAg,1369.480526
H4NF,836.49515
Li3(CuO2)2,279.9094855
NbInS2,3169.956789
Sm3Ag,141.7350941
NaTl2GaF6,2257.649373
Sc2O3,1702.48883
LiScVO4,1248.36904
Mo(HO2)2,1609.913767
Ba2ZnAg2(SeO)2,642.3785793
MnFe3(P2O3)2,51.56860529
TiGaFeCo,1006.819666
Pr3CuSiS7,1345.884843
BaCe2MnS5,99.24940644
HgRuO3,133.4124006
LiSm2Ir,171.11026090000001
YbInPd,199.3354987
Li5Mn2V3,98.3509372
Cr2SiO4,851.7019634
TcSO6F,129.0619339
PmCdAg2,842.3484017999997
Ce(PRu2)2,955.4499394999999
MgFeSiO5,129.1245245
BaCoO2,725.8873758
Pr2SO2,1587.374818
Ba4LiTa3O2,1278.305989
PtC,275.69460449999997
ErVO4,1071.428322
CS2NClO2,187.1198541
Er2Be2GeO7,632.8868863
Er3TlC,9.260311149
Be2IrPd,625.4466855000003
Ce(SiRh)2,1239.2570050000004
Bi2Os2O7,366.76639439999997
RbNdO2,2815.07069
Zn2(PS3)3,466.0149114
Rb5SiAs3,1491.599566
Yb(SiRu)2,1137.290357
Er2Mg,128.8446645
LiNi2P3,1014.987605
Rb2S3,1686.79751
MnTeMoO6,1728.724084
Ba4Br6O,455.94802869999995
K2Li4Pb3O4,868.8186102
Li3VCrP2(O4F)2,372.96411789999996
UBi,12.737578300000001
TbHg3,690.0258708
CaSi2WO6,71.21034713
Cd(AgO2)2,2700.349263
Sc5Cl8,382.0747256
Ag2Te2O7,1015.885184
AcGaTe2,2493.383423
Nb2Se9,1517.435309
Li7Cr2O8,49.61697898
TaB,2432.777473
LiSn4Ir,1044.1525570000001
SrAcZn2,709.8545008
LuCd3,544.000813
UC,2733.873357
TaTe4Ir,374.80166
SrLiNiF6,15.06536627
Ti3SiC2,301.7183490000001
Na2Cd(SO4)2,931.6197967
Ho3Sb4Au3,3036.3825
ZrAl5Ni2,83.02748942
Rb3Ge4Au,1989.214857
ThRh3,0.013288053999999999
Th2In,542.3290986000002
Zr6Al2Co,1887.6702420000001
NdY3,790.7162957
KSmF4,917.1721541000001
RbBeO3,78.70977662
Mn(NbS2)2,184.1029919
SrCeN2,1350.353803
Ba3PrRu2O9,38.55456575
Co2CuO4,361.1890336
Nd2Pt2O7,1624.1857519999999
LiMn5(CuO)2,297.3523593000001
Zn(MoO2)2,1732.0348219999994
NbI3,43.32413632
MgNi2Sb,12.02928584
Sc2AlCu,1328.129625
DyYCu2,141.1889392
Sb2H8Pt(O2F)2,774.4393137999997
Sr2Li2Nb4O3,2200.053156
CaHg2,616.7836783
Bi2B2O7,1183.88484
Y2SiCO7,672.6349812000002
K2VCuS4,763.3213343
Zn(CN)2,1145.5175199999999
SbI3Cl8,573.8813306
Rb2WBr6,48.79342475
HoGeRu,364.567089
Tm3AlN,742.0862507
YbIn3,487.06586849999997
SmCoSi3,246.47616069999998
BaAgAs,2271.2995079999996
Rh2S3,2471.4193370000007
Li3CuO2,1118.678124
MgIr2,843.9325062
V4O3F5,315.96727189999996
CaBiAu,1791.184539
LiNbP2O7,9.788894495
Sr5P3ClO2,642.6648853999999
Ni3Sn,3308.3523
LiNdTi2O6,2663.361982
MnCoO3,99.27188888
Ho3CuSiS7,1297.612877
Rb2NaFeF6,65.68677564
Dy2IrAu,76.66196262
SmErRu2,132.11851570000002
CeSi2Ir3,4508.606901
K3P,348.2148166
LuIn3,3187.657648
TbNbO4,1115.5845539999998
HfS3,1836.4271489999999
ScSiRh2,2523.803216
K2ZnBr4,597.3920017999999
LiYb2InGe2,1936.767994
MnGeRu2,23.95026623
Li4CO4,1059.490739
Li2PrP2,3212.271048
Mn2SiRu,66.509047
GaIr,1.501010095
LiEr2Ru,442.0260031
PmMgRh2,420.203004
TaAlO4,1615.977501
PrAs,135.3772321
BH8CN,1924.921954
KVO2,247.5624378
VS2,274.2943509
PrMnSi,328.8475608
Fe2P,635.7721924
LaP,222.7134503
NaSi2N3,547.2106241
Na6ZnS4,601.3951671
K(BH)6,1035.888163
TbAl,174.9269991
Ba2YNbO6,3986.678468
DyCuPb,624.5296792
Nd2Th2O7,1514.593292
LiIn2Ru,414.42636569999996
Ce3AlC,968.69445
Al3Ga,2.0145412830000002
LiTmTl2,143.1759858
KV5Se8,40.84429002
BaIF,844.2957042000003
Th2Pd,181.5256884
RbSrCl3,860.1077726
NaHO,777.6814903
Cr2GeC,1942.680582
SmAg2Hg,905.2646048
NbCu3Te4,1764.317564
Ca2FeIrO6,163.903832
LiYbAlF6,709.0289621000003
K2B2S7,1551.085797
RbAg3Se2,337.8580424999999
TbVO4,1065.567662
NdCdPd2,2.9399222160000003
InCuS2,172.31624490000004
Ti(TlSe)4,131.2792154
CrSi2,2453.361511
BaV4ZnO8,7.571180795
YAl,862.6642659
ScAuO2,3977.3307729999997
PdSe,139.0326351
Pr2ZnIr,308.1018985
La2TlHg,25.78624489
Rb3In,170.5919379
Sc3InB,1089.134874
TbSbPt,484.61991629999994
CuAgTe2,773.4731577
MnSbPd2,66.99342516
UAl3,5.965824934
ZnCuPd2,2.940867375
SmYZn2,42.57977534
ErIr2,44.25261319
Mg7Al2,27.40920625
Na6S2O9,1012.296877
LiCdAu2,77.61688457
Yb(FeSi)2,4185.923422
ErLuMg2,652.6443542999998
LiCrP2O7,401.6576521
CuPd,221.6459858
Pm2ZnOs,284.7614588
Ba3YbRu2O9,191.4888228
V2Zn3O7,1250.603198
CeNi2B2C,410.343697
TbTiSi,1005.7885029999999
TiZn3,2204.598223
AsN(OF3)2,119.1285232
Ba(ZnSn)2,4588.641011
LiBr,727.3601845
BaDy2PdO5,938.9275886
Rb3Hg,521.7646371999998
SmCu4Ag,69.94793845
Pr3Sb5O2,537.1349239
NdPd3,38.68188862
Sr2TaCrO6,2263.645403
TmGaRh2,3072.312937
MnCrF5,1192.002838
CaSn(GeO3)2,1383.2477529999999
LaGaO3,1079.748984
Pm2CdSn,176.0966202
KAuF6,1116.662697
Ga3Pt2,233.51051850000002
VTeO4,588.4822104
RbAlF4,776.9639887999997
MnTePd,193.7525608
