pretty_comp,kpoints_array_average
PrIn3,21.0
Mn2SiW,10.0
CuSe2,14.0
HfGeTe4,7.0
MgZrO3,7.0
SrLuCuSe3,5.666666666666668
YErAl2,22.0
Be2VCr,7.333333333333332
CuGeRh2,19.0
Mn2S3,6.333333333333332
MgAl2Cu,9.333333333333334
PuB2,10.0
ScInNi2,12.0
LiCrP2O7,4.333333333333333
Ti2IrOs,8.0
ScSe,24.0
Sm(HO)3,4.333333333333333
Mn2BeCd,10.333333333333334
MgPd5,10.666666666666666
ThFe5,8.333333333333334
Ni3Sn(P2O3)2,4.666666666666667
BaOsBr,7.0
Li4Mn3,3.6666666666666665
BaScCl,7.0
Nb5Ge3,9.666666666666666
Rb2TeCl6,4.0
BeIr4Rh,17.0
TlGaTe2,6.0
Li3Al2VO6,4.666666666666667
BaTm2NiO5,11.0
Ba7(ClF)2,3.0
Be2NbW,27.66666666666667
LiFe3O3F4,6.0
Mg(AlS2)2,9.0
BaLiF3,5.0
LiCaNiF6,3.333333333333333
TmAl,11.333333333333336
Ba4FeMo,9.0
YAl3Ni,11.666666666666664
Y4GaCo4,13.0
CrRh3,18.0
Na3ClO,6.0
MnIr,20.0
Tm3(GePd)4,11.666666666666664
Rb3CrF7,3.333333333333333
BeGeRh,19.666666666666668
Li6MnCrP2(CO2)2,4.0
MnSnRu2,8.0
CaLaHg2,11.0
LiTiV3,4.333333333333333
Co2CuO4,5.333333333333333
Dy3AlN,17.0
BeV2Si,22.33333333333333
BeSiTc,25.0
AgTe4Au,7.0
NdFeAsO,8.0
NaBe2Se,19.0
PrBO3,4.0
P2O5,5.0
YbZrRh2,17.0
Ge3Bi2O9,7.0
Y6TeO2,4.0
Re2C,18.0
Ba4LiNb,7.0
TmInCu2,13.0
Sr2SnO4,4.0
Hf2TcIr,8.333333333333334
Hg2P3Br,4.0
TiFeTe,7.0
YIn,19.0
MnHO2,8.0
Fe3S4,13.0
Ba2LaV,10.0
Y2Cr3O9,10.0
Na6CdCl8,4.0
Ba2InNi,14.0
Yb4Bi3,12.0
Be2PdBr,22.66666666666667
Ta2CrRu,14.0
Li6I3N,5.0
TiCo2Sn,10.0
Na3PO4,4.333333333333333
K3SbO4,4.0
ReAsAu,14.0
CrOF,12.0
AlBN2,8.0
BaWO4,5.666666666666668
Sr2BeRh,11.0
Na2TiSiO5,4.333333333333333
BeFeBi4,12.0
ReW2Br,20.0
Sc2GaCu,9.0
TaTl3S4,5.0
Ti2Co2P7,6.666666666666668
PuCoC2,7.0
Sr(RuO3)2,14.0
Li5AgF8,4.333333333333333
NaGa(GeO3)2,4.333333333333333
Li2PtF6,3.6666666666666665
SiP2,10.0
Ce3Zr5O6,3.333333333333333
Mg4BeMo,10.0
KCu4Se3,12.0
Mg2TiBe,9.666666666666666
BaPPt,7.0
LuB2C,12.666666666666664
Ti2MnGe,16.0
USbTe,6.666666666666668
LiYb2Ga,11.0
NdPd2,13.0
KReO3,23.0
BeP2Rh,14.666666666666664
YCu,22.0
Li2InAu,19.0
Ba4PdO6,4.0
BaTbF6,4.333333333333333
Ba4Na(BN2)3,4.0
NiAsSe,9.0
YbIn2,18.0
BeGeSe2,20.33333333333333
CaBe2Se,17.333333333333332
ZrSbRu,16.0
Zn(AgO2)2,4.0
SrSn(BO3)2,5.0
Nb2P,2.333333333333333
Mn2VSi,11.0
AgPdO2,8.0
BeCrNi2,8.666666666666666
Ba2YCr3O7,7.666666666666668
Er2TeO2,7.333333333333332
BaZnBi2,15.666666666666664
HfAu2,18.33333333333333
InAgSe2,7.0
RbTmS2,7.0
HfRu,14.0
Zn2Cr3O8,5.0
Pr3Hf,17.0
CoS2,9.666666666666666
HfSe3,7.333333333333332
HfAsIr,18.0
Sn(SbTe2)2,11.0
Ba4GeRu,15.0
BaAsPd,14.666666666666664
MgTiF4,5.0
NaTmS2,9.0
TbInPt,17.666666666666668
Sc2CuOs,12.0
Sc7Cl2,4.0
Na6SbO5,6.333333333333332
BeGa2Tc,10.0
DySnRh2,10.0
Co3S4,13.0
NdBPd3,11.0
Ba4RuPt,10.0
LiCoO2,8.0
Be2CdGe,27.66666666666667
PtI2,4.666666666666667
Li3Fe4(B2O)2,5.666666666666668
Rb2TlInCl6,4.0
BaAlFeCuO5,20.666666666666668
Ba4FePt,8.0
KMn(SeO4)2,4.333333333333333
EuAl4,19.0
Ca(MnSb)2,6.666666666666668
Ba2YTaO6,5.0
W3O8,19.666666666666668
BaSr3O4,6.0
PaGaAu2,12.0
MgCo3C,9.0
ScBeTc2,10.333333333333334
Fe3Mo3N,9.0
NiAgO2,14.0
TiRe2As,12.0
Li2HoTl,18.0
HoCu4Au,16.0
TmCdAg2,20.0
Li2Mn2SbO6,5.666666666666668
Na8N3O,5.0
BeV2Mo,19.0
HoBr3,4.666666666666667
MnFeAs,7.333333333333332
HfTaRe2,15.0
NaVSiCO7,4.666666666666667
Cu2SnTe3,7.666666666666668
BeVOs2,12.0
LuBO3,5.0
BeVRu,27.33333333333333
Tb2Be2O5,6.0
Sc2AgRu,12.0
BaMgTe2O7,3.6666666666666665
Sr3AsN,7.0
YCr2O4,10.0
Pd2N,20.33333333333333
NaPr2IrO6,5.0
ThPd,10.333333333333334
Li2HgGe,23.0
InFeRh2,7.333333333333332
Mg(NiS2)2,8.333333333333334
Zn2BiSbO6,8.0
Na4Al3Ge3BrO2,3.0
Sc3InN,8.0
Te5Mo4S3,6.333333333333332
Be2CuSn,25.66666666666667
LaAs,14.666666666666664
NpPd3,8.0
MnAlNi2,19.0
Sm3TaO7,3.6666666666666665
VRh3,16.0
TbCrB4,6.333333333333332
Ba4FeHg,13.0
KTl2MoF6,9.0
PaCdPt2,18.0
HfBePb2,13.0
Li3Ti2Fe3,3.6666666666666665
RbNa7(CoO3)2,4.333333333333333
TmBRh3,18.0
BeNiGe,27.33333333333333
BeFePd2,18.33333333333333
LaSb,12.666666666666664
LiVCO4,4.666666666666667
Li4CrO4,4.333333333333333
Ag2PbO2,5.333333333333333
Yb2AgHg,21.0
BaAgAs,15.333333333333336
PmPd2Pb,19.0
PrO2,9.0
EuS,14.0
K(AsRh)2,19.0
Be2InMo,21.33333333333333
As2PdO6,13.666666666666664
Ce2Cu(NO)2,14.0
Ba4CuGe,13.0
Pr4Sb3,7.0
AsOs2Pd,14.0
Zn(SbO2)4,11.0
DyCd2,18.666666666666668
Ba4ReHg,14.0
Sr5(AuO4)2,4.333333333333333
KErO3,11.0
Na2CrH2F8,4.0
Tm2Al3Si2,9.333333333333334
Sm2Mg,15.333333333333336
HfCoSn,11.333333333333336
NaTeF5,3.0
KAg3S2,5.0
NdCu5,17.333333333333332
CeAl2Pt3,18.0
PrIn,22.0
Yb4Sb2O,7.666666666666668
Sm(MnAl2)4,8.0
UO,11.0
BeHgSb,19.33333333333333
TmRh2Pb,17.0
YbPb3,19.0
Er2IrRu,22.0
Th(SiOs)2,12.0
Ti3As,12.0
Li4H6Ru,5.0
Li3P,8.333333333333334
Sm4FeSe6O,4.0
BaSiTe2,15.333333333333336
FeS,14.666666666666664
Sr2Cu(PO4)2,6.333333333333332
Ag2HgI4,5.0
Si2N2O,5.0
KBe2Co,9.666666666666666
Ca6Sn2NF,7.0
AcMgTl2,21.0
SmNi5,16.666666666666668
SmSb,10.0
HfMgHg2,7.0
Fe9Co7,9.0
Ba4NaW,8.0
HfAgB,13.0
Ba4ScSn,13.0
ZrGaNi2,10.0
Zr3InF5,3.0
CdPdF6,5.0
CdSnO3,14.0
LiBeAu2,26.0
BeTcP,26.33333333333333
Lu2Sn2O7,4.0
Li2TiCo3O8,4.333333333333333
ThIr,17.0
NdTl,19.0
KNaTe,4.0
CeB2Ir2C,16.333333333333332
PdF3,11.0
V2Cr3(SbO2)3,5.0
Nd2Mo2O7,6.0
BeNbPb2,13.0
NiP3,10.0
Li4Cu(PO4)2,5.0
NbGeSb,16.333333333333332
CaCu2O3,14.333333333333336
KBaO3,22.0
TmH3(CO2)3,6.0
Be2RhCl,9.0
NaSr2Cd,6.0
TiBeMo,22.66666666666667
TiZnF5,3.6666666666666665
Li2H2Pt,13.0
ErGe,17.333333333333332
MgBe2Cl,19.33333333333333
BeSnBi,23.0
LaSiRu,15.333333333333336
PbF2,5.333333333333333
TiNiO6,6.0
MgIr2,17.0
Be2TcPb,18.666666666666668
U(SiIr)2,6.333333333333332
CuF2,7.333333333333332
TmPaO4,6.0
Cu2GeS4,7.0
Mg(AlSe2)2,10.0
Mn3SnO8,6.0
V4ZnS8,7.0
AgBrO4,4.333333333333333
TmNi,10.333333333333334
Li4MnF8,4.0
Tm(FeGe)2,9.0
BeFeSb,7.666666666666668
Lu(SiRu)2,16.0
TlCuAs,23.0
Na2TmPCO7,4.0
BeCu2Cl,21.0
CaPmCd2,9.0
Be2FeSi,14.0
Li2Cr3SbO8,5.0
NaGaHg2,9.0
SrCu2(BO3)2,3.6666666666666665
ZnGe3,25.0
In2HgSe4,6.666666666666668
Na4SiO4,3.333333333333333
Tm(CuS)2,17.666666666666668
PCl2OF,3.333333333333333
BeMo2Os,21.0
DySbPt,10.0
Mg2SiPt,19.666666666666668
CeMg3,20.33333333333333
Sn(BiTe2)2,17.0
Al2Si4O,4.666666666666667
LiNiO2,12.0
LiMgAs,8.0
Sr2PdPt,6.333333333333332
TbHg,13.0
Mn2GaCo,10.0
SmBi2ClO4,6.333333333333332
BeCuPt2,11.666666666666664
YNi,10.333333333333334
Ba2PCl,6.0
Tl(NiSe)2,12.666666666666664
Ca2Fe2O5,7.0
Rb2Sb4S7,2.6666666666666665
TbGaO3,4.0
YRh3C,11.0
Ba4HgIr,9.0
NaBeGa,27.66666666666667
Ba4FeBi,10.0
DyNi,10.333333333333334
HgSe,6.333333333333332
Lu2TlHg,16.0
Na2BeIn,17.0
V3Sb2,8.0
Hf6Al6Co7,11.0
Li3Mn(PO4)2,3.6666666666666665
SnF4,5.0
Ba5As3,5.333333333333333
GeTe,20.0
Mg2PN3,5.0
UPt4Au,15.0
Tb5Se2Cl3,3.0
Rb3Sb2Br9,4.666666666666667
HoTiSi,14.333333333333336
Li2Ni3OF6,3.333333333333333
Mg2BeNi2,19.0
NpNi5,12.333333333333336
Bi2TeO6,5.0
Hf2Hg,12.0
Ti2AlNi,8.0
Yb2GaHg,18.0
SBr,5.333333333333333
Yb2AgRh,15.0
LiVRh2,12.0
KYbSe2,18.0
TmFe2,11.0
CoSO4,6.333333333333332
ZrCd,20.33333333333333
AgBi(PSe3)2,6.0
Dy2PbS4,4.0
TbCdAg2,20.0
MnVNi,11.0
ErVB4,13.0
Zn3C,31.0
Pm2SnHg,21.0
ZnTe,25.0
TbSe,16.0
LiSbO2,5.333333333333333
BeVSi4,13.0
YErRh2,21.0
AgClO3,4.0
Ti2InFe,10.0
Be2FeNi,13.0
BaMnBi,9.0
Tm2TeO6,4.333333333333333
Li4Mn3Fe2,3.6666666666666665
SrCrO4,3.333333333333333
Li2CuSn,19.0
Ca(BN)2,4.333333333333333
Na2FeNiF7,5.0
YbNiC2,15.0
AcClO,4.333333333333333
Lu2TcAg,16.0
MnCl2,8.0
BeCrCo,26.0
HfBeSb,20.0
LiTbTl2,22.0
Rb3Hg,10.0
Sb5IO7,3.333333333333333
Y2BeIn,11.0
SiH6(NF2)2,3.333333333333333
Si3Os2,7.666666666666668
LiCu3,23.0
BaTlIn,12.0
BeNi2Bi,21.0
TaGe2,14.0
Al2CdCl8,3.0
PdF3,8.0
KBe2Mo,19.33333333333333
Fe2AsSe,10.0
Nb2NiO6,11.0
LuReTc2,14.0
Ba4HgMo,10.0
NdSi2,19.0
Na5MnO4,3.6666666666666665
SiP2O7,4.333333333333333
Li3FeSiCO7,5.0
DyNi2,11.0
YAl3Ni2,15.333333333333336
NaBeNi2,14.333333333333336
Mg3(HO2)2,5.666666666666668
ScTaFe2,14.0
TaBe2Hg,11.333333333333336
TlNi,13.666666666666664
Be(HO)2,4.0
BaSrIn2,16.0
Ba3Al3Ga2,11.666666666666664
ErRh2,16.0
HfScIr2,20.0
TmHfOs2,20.0
KSmTe2,9.0
ZnH4(CO3)2,3.333333333333333
TiBe2Pd,10.0
Tb2CoGe2,7.666666666666668
LiTiBe,18.666666666666668
Mn2BeCl,15.0
CoReGe2,13.0
TiP3,23.0
LiHoHg2,20.0
ErSi,18.666666666666668
Sm2Zr2O7,4.0
PbS,16.0
NaFeBP2H3,3.6666666666666665
SmSnPd,11.666666666666664
BaNa2Ga,11.0
Li2YbSn,9.0
TaZn2SbO6,9.0
Li4Ti5(FeO2)3,3.333333333333333
BeCuSn,28.66666666666667
BaCO3,4.666666666666667
MgSiIr2,20.0
Sr3Yb,12.0
AsS,7.333333333333332
Mn2BeOs,10.0
Y2Si2O7,4.0
Ca2CdIn,17.0
MgZrAu2,13.0
VCrO3,5.666666666666668
LiBiF5,10.0
LaMg3,10.0
Sm3CuSnS7,3.6666666666666665
CrSi2,7.0
K2TeO3,3.6666666666666665
BaLi4Bi,15.0
KMnRu,8.0
ZnSi3,24.0
HoB2,14.666666666666664
Ba4GeTe,12.0
AlSn,25.66666666666667
Zn(SnO2)2,13.0
TeMoWSeS2,8.333333333333334
Ce(AlGe)2,14.333333333333336
CaBe2Cr,10.333333333333334
HfBe2Os,17.333333333333332
Cr3HO8,4.666666666666667
TiMnCo2,12.0
Nb2Te3,12.333333333333336
ZrInNi4,9.0
BaBe2Si2O7,4.0
Pr3(Al2Si3)2,19.0
Zn(InSe2)2,6.666666666666668
Li5AlO4,4.333333333333333
MnBe2Re,12.666666666666664
Sm3Np,9.0
Tb2SO2,6.666666666666668
Nd3NbO7,4.333333333333333
Tm2NiOs,18.0
Mn3ZnN,9.0
SrCu2GeSe4,6.666666666666668
Li8BiS6,5.0
YbP3,22.0
YbAlAu,15.333333333333336
LiTbAu2,21.0
BaGaSb,9.0
Zr(MnGe)6,13.666666666666664
Rb2CuF4,9.666666666666666
NaYSi,8.0
CuSe2Cl,3.6666666666666665
K2CuCl3,3.6666666666666665
YbGa4,15.666666666666664
Li2MnCr3O8,5.0
Sm3BWO9,3.333333333333333
CeOF,6.0
UNi2,6.666666666666668
TlFeO2,7.0
KUO3,6.0
CaBeIn2,26.0
Na2Cl,12.333333333333336
NaAlH4,4.0
NaMnBe2,9.666666666666666
ZnSiAs2,7.666666666666668
Be2POs,18.0
Ti4Cu3O2,7.0
MgHg,21.0
PbBr2,5.0
Ba2NaMg,7.0
Y5Sn3,6.666666666666668
ErNiSb,10.0
LuRh2,12.0
Hf4BeTe,14.0
NaFe2O3,7.0
Th2Hg,9.666666666666666
Mg3Ni2O7,4.333333333333333
YbNi2B2C,13.333333333333336
LiTi3O6,8.666666666666666
BeInBr,12.333333333333336
Ca2PdRh,9.333333333333334
MgPSe3,6.0
YBe2Cd,19.666666666666668
FeS2,5.666666666666668
GePbO3,13.0
SrN6,3.333333333333333
TaI4,3.6666666666666665
Ba4LiP,10.0
HoSb2,19.0
Ho2Zr2O7,4.0
TcN,20.0
Ba4MnCu,9.0
KBeHg2,15.666666666666664
ScAsPt,11.0
LiV(CO3)2,5.666666666666668
Be2ZnFe,16.666666666666668
BeCrRe2,15.333333333333336
Be2TcSb,12.0
Mn2Au5,7.666666666666668
SeBr,9.0
PBr,21.33333333333333
K4HgP2,6.0
Cu(IO3)2,7.666666666666668
SmGeO3,14.0
YNiC2,10.0
KBe2BO3F2,4.0
Be2NbBi,14.0
CaHg2Pd,6.0
CuCO3,6.666666666666668
PmMg,19.0
CaMg,16.333333333333332
Li2PmGe,17.0
