pretty_comp,magmom_oszicar
BeCuSe,-0.0
KRb2CrF6,3.0
LiFeSbO4,8.1301
KCaCl3,0.0
Ba4TcPd,1.9925
TaPt3,-0.0
Ca5(AlSb3)2,-0.0
MgBeGa,-0.0
LiTiBe2,0.0
MgAu,0.0
Ni3Sb,0.0
BeZn2Sn,0.0
KMnAs,0.0
YErMg2,0.0
Y2PtAu,0.0
ThRu2,-0.0
BaZnSe2,0.0
K2BeSb,0.0
Cr3Ni(P2O3)2,0.2178
Ba4MnZn,-0.0
YBr3,0.0
Li2VOF3,8.0
Mn2AlW,0.8806
Li(VS2)2,5.9848
U(HO2)2,-0.0
Al2(BiO3)3,2.6433
BeRu2Rh,0.0
CaTl,0.0
VZnO3,0.0
ZrVGe,-0.0
BaZn2Re,1.3176
K2NaBe,-0.0
HgOs,-0.0
NpH2,3.93
AgPO3,0.0
BeTlCu4,0.0
Li2Cr3SnO8,7.997000000000001
LiCa2Tl,-0.0
Ba4TaHg,3.9132
Nd(SiOs)2,-0.0
Li2O2,-0.0
H3N,0.0
BeVP,0.0
YbDy3,0.0
SmAl3,0.0
Tl3VO4,0.0
Mg3Ti,1.4851
ZnS,0.0
TiFe2,5.0933
InHg,0.0
HoTlTe2,-0.0
Tm2MgTl,0.0
HfBeV,-0.0
SiO2,0.0
DyBr2,-0.0
BaCaIn,-0.0
BaFePd2,3.1142
Mn2CoAs,4.0047
InBiO3,0.0
RbCu2Br3,-0.0
PrH,0.0
Sr(P3Pt2)2,0.0
Rb3Mg,-0.0
BaLiSi,0.0
YbNi4Au,0.0
ZrCl2,0.0
Li2V3SbO8,7.9569
Zr5Sb4,-0.0
Sc2AlCu,-0.0
LiIn(I2O)2,0.0
Rb2ZnH4,-0.0
HfBePt,-0.0
AgPd2Pb,-0.0
AcYbMg2,0.0
KPF6,0.0
TaTl3S4,0.0
SrTl2,0.0
YBePt4,-0.0
Cr(BH)6,4.0
Hf4BeP,-0.0
Ba2PdO3,0.0
TmAgTe2,0.0
Li2CdHg,-0.0
FeSnRh2,3.7412
YB2C,-0.0
Ba4ZrW,-0.0
Sm2ZnIn,0.0
BeVPt,-0.0
LiMnF6,2.0
Yb3U,4.4571
Ca(GeIr)2,0.0
Sr2LiIr,-0.0
BaTbF6,1.9669999999999999
LiMnO2,3.9999
BaNdMn2O5,8.3439
MgNbRh2,0.0
Tb4Se3N2,0.0
Be2IrPt,-0.0
Ho6FeBi2,0.0012
Mn2SiNi,3.5424
NaS,0.9885
Er2NiRu,-0.0
CeRh3C,-0.0
MgBe2Tc,0.0
PrZr3F5,-0.0
NaInH8(NF3)2,0.0
Co3(SnS)2,0.6605
LiSbS2,0.0
Ba4SiW,3.5946
K2SO3,-0.0
KBe2Pb,0.0
Na2SnBAsO7,0.0
Sr(GeIr)2,-0.0
Li3Co2(GeO4)2,7.0
SNF,-0.0
Li8Cr3SbO2,7.0
TbBPd3,-0.0
Sm3BWO9,-0.0
NdTa3O9,-0.0
VOsCl,0.0
Rb2Pt3S4,0.0
K3Zn2F7,-0.0
Ca2AsI,0.0
Be3Zn4Si3SO2,0.0
Rb2PdN2(ClO2)2,-0.0
NdHO2,-0.0
HfZrZn2,-0.0
ZrTlCuSe3,0.0
TiAg,-0.0
MgTiO2,-0.0
SrSnO3,-0.0
RbBiF3,-0.0
Ca2YBiO5,-0.0
TcN,0.0
Mg(BeN)2,0.0
PaPd3,-0.0
Li2PmGe,-0.0
Be2CoBi,0.4419
Zn(InS2)2,0.0
BeCoTc2,-0.0
WCl4O,0.0
ScBe2Re,-0.0
Li2Mn3FeO8,9.0
BaPr2FeS5,8.0
HfCo2Sn,1.771
BeGaOs,0.0
PuO2,4.0
SrBe2Ge,-0.0
Rb3YF6,0.0
Sr3(AlGe)2,0.0
KAgSe,0.0
Yb(FeGe)2,2.1277
Sr2NiTeO6,-0.0
Tl3AsS3,-0.0
VIr3,-0.0
LiSm(CuP)2,0.0
Li2TiNi2O5,7.3869
RbBS2,-0.0
LiIn2Ir,-0.0
YbGaAu2,0.0
Ba4SiNi,0.2023
LiGaIr2,-0.0
CuAs2Pb6Cl7O6,-0.0
Mg2TiIrO6,1.2097
La(CoB)2,-0.0
CaTcN3,-0.0
SrSe,0.0
SmMg2Ni9,0.0
SrGa2B2O7,-0.0
CeHg,0.0386
Ti4MnBi2,0.0038
TbSc,0.0
Sm(SiRu)2,0.0
Sr4Al6SO6,-0.0
Na3GaSe3,0.0
NaBeBr,-0.0
Al2SiO5,0.0
Sr(NiAs)2,-0.0
Li2BeRe,0.0
FeO,0.0
USe,2.8459
Tm2MgGe2,0.0
Ba2CrBr,5.4293
ZrCdO3,0.0
Yb(MnAs)2,4.9946
Na3AuS2,-0.0
CaBe2Fe,1.9086
KBaSn,0.0
Mg2GeO4,-0.0
Ba2Mg(BO3)2,-0.0
Li2GeO3,0.0
Li8Co5,7.0
RbMgBO3,-0.0
BaCaY,-0.0
Er(NiP)2,0.0
ZnReO4,0.8689
Zn3Si3(BiO)2,-0.0
TaFeO4,2.0001
TiMnO3,9.9949
PbS,-0.0
Ca3Hg2,0.0
MgPbO3,1.9999
Zn(MoO2)2,0.0
BeNb2Sb,-0.0
Ba4CaIr,-0.0
Rb2TlInCl6,-0.0
Ba4LiCo,0.0
Be2FeBi,-0.0
BeFeTe2,-0.0
Li2PNO2,0.0
Ca3TeO6,-0.0
BaMg2Fe,2.4668
MgTl3,0.0
NaAsS2,-0.0
NdRhO3,-0.0
YZnAsO,-0.0
RbBF4,0.0
BeGeIr,0.0
MnNiGe,3.0465
SbS8Cl3,0.0
VCo,1.8352
Li2FeP2HO8,2.0001
Be2RhAu,-0.0
Al2IrRu,-0.0
YbGaPd2,-0.0
Zr3O,-0.0
Li2TlSn,0.0
AsIrW2,-0.0
TmSi,0.0
K4BeAs2,0.0
NdMnAsO,3.2143
KV5Se8,9.7199
AcGa3,0.0
Te4MoW3Se4,-0.0
Ba4ZnBi,0.0
BaCdIn,-0.0
LiMn(PO4)2,4.0
BaMnO3,8.9909
CaLaHg2,-0.0
RbFeO2,5.7094
Rb3As,0.0
SiRh3,0.0
UGa5Ir,1.5762
MnGeRh2,4.6224
Ho6CoTe2,0.0
BaZrNi,0.6484
NaHg2Pd,-0.0
YBPt2,0.0
TiCrO4,1.9998
ThAl2,0.0
Zn(CO2)2,0.0
Nb4O5,-0.0
NbRu3C,-0.0
ReAg3,0.0
YInPd2,0.0
YN,-0.0
NdCuSn,-0.0
CeInCu2,0.4644
SmAlGe,-0.0
YB2Rh3,0.0
Co4NiO8,3.9278
K5CuAs2,0.0
Dy(SiRu)2,0.0
Co2CuO4,4.845
BeCuRu,-0.0
Na2BeGe,-0.0
Ca(SbO2)4,0.0
Li4Ca2Mg(SiN3)2,-0.0
Ba4YTe,2.5938
Mg2TiBe,-0.0
Be2ZnBr,0.0
Na2BeIn,0.0
YSi2Ru3,0.0
USbSe,5.3349
Nd(Fe2Sb)2,0.6308
Zr3Zn,-0.0
YbSmRh2,-0.0
Sr2CdIn,-0.0
Ti3Be,-0.0
K2Th(CuS2)2,0.0
PrGeAu,-0.0
LiDy2Cl5,-0.0
Na8NO3,1.0
BaGeTe,0.0
InCuTe2,0.0
YbAu3,0.0
DyFeB4,0.0
DyPb3,0.0
DyTe,-0.0
Yb2CdIn,0.0
Na4TiO4,-0.0
Ba5Bi3,1.8484
P2PdO6,-0.0
Cu2Te2Cl2O5,3.6524
AlPPt5,0.0
Nd3BWO9,-0.0
NaAcHg2,0.0
TiFeCoSi,0.9865
BaAg2GeS4,0.0
Yb(NiGe)2,0.0
K2MnSe2,9.9999
Tm2FeC4,-0.0
BaSm2PtO5,0.0
FeCuO2,1.0018
Yb(SiOs)2,0.0
HoNi4Au,-0.0
Ba2RuO4,0.5954
LaZn5,0.0
SnBr4,0.0
Ce5Zr3O6,-0.0
KCaNb2O6F,-0.0
TiAsRu2,-0.0
BiB,-0.0
BaTl3,0.0
LiAlPHO5,-0.0
CrCdTe2,4.0
Sr2CdHg,0.0
NaGaH8(NF3)2,-0.0
GaGeTe,0.0
FeCuPt2,3.93
ScAlNi2,0.0
P4S5,0.0
LiBe2Ga,0.0
Ba2TiCr,-0.0
HgHClO4,0.0
BaVTe2,3.0
K2BaGa,-0.0
Zn2PHO5,-0.0
Zn2AsIr,0.0
SrTiSi2O7,-0.0
Sr4MgCr2(SO3)2,6.0
LiTiMnO4,4.1254
Cu2HgGeSe4,-0.0
BaPrMn2O6,6.9981
PrTe3,0.0
LiRh2Pb,-0.0
BeIn4Pb,0.0
VRu3,-0.0
Zr2O,0.0
LiMnBe,0.0
RbN,4.0
Ba4BeTl,-0.0
KGeBr3,0.0
ZnC2(SN)2,-0.0
HfSiS,0.0
MgWO3,0.0
YbPrRh2,0.0
Li2BeTc,-0.0
NbZnRu2,0.0
TaCl4,0.0
CuBO2,0.0
CaCdSi,0.0
TiFeCoSb,1.9969
LuFe2,5.7532
ErGe3,0.0
Fe(NiO2)2,3.9641
KBaTe,-0.0
Rb2TlGaF6,0.0
BeOsBr,0.0
Hg3(SeCl)2,-0.0
ZrBe2Ru,-0.0
LuTaRu2,-0.0
SnN,0.0
ZrNiP,0.0
BaHfGa2,0.0
AlP,-0.0
ZrBe2Os,-0.0
Y2CuRu,0.0
NdPb3,0.0
LaB2Ir2C,0.0
Ce2CdPt2,1.5416
Ag4SI,0.0
TmGa3,0.0
Sc5Pb3,0.0
Ca3(PO4)2,-0.0
PrBr3,0.0
K2PbO2,0.0
SrBe2V,1.2623
Re2AsPt,-0.0
K2CoPb(N3O)2,0.8586
Nd(PRu)2,0.0
Ca2CuSbO6,-0.0
NiTe2,0.0
Mg2NbFe,0.0
Sc2TiTl,0.2707
YGa2,0.0
Li7Ni(O2F)2,0.9982
HoCrO4,2.0
Ba2YZr,0.0
NdTlAg2,0.0
ScBe2Tc,-0.0
LiV3Zn2O8,3.9986
BeRuRh2,-0.0
TaCuN2,0.0
TiInRh2,0.0
Ti2MoIr,0.0
KCuO,-0.0
ZrCl,-0.0
PaTlAu2,-0.0
NaLi2N,-0.0
Dy2CuOs,0.0
BaCrCd,4.8925
V2TcOs,-0.0
Sr2ErRuO6,5.8742
TlFeF3,4.0
Yb(SiRu)2,0.0
Zr(I2O)2,0.0
CdCuAs,0.0
Li(MoO2)2,-0.0
Li3Cu2F8,5.9910000000000005
Si3CCl8,0.0
BaIn,-0.0
BaSr2Mg(SiO4)2,0.0
BaNa4O3,0.0
Ta2NbOs,-0.0
LuHO2,-0.0
NdBPd3,0.0
Ta2OsW,-0.0
Ca3(MnGa)2,6.0
BeB2,0.0
Yb4Mg3H4,0.0
KAsO2,-0.0
Ga2RuRh,0.0
YAl2Ni,-0.0
Rb4CdCl6,0.0
SiC,0.0
HfBe2Te,-0.0
Lu4Ge6Ru7,-0.0
BaPd5,-0.0
YBe2Cl,0.0
ErH2,0.0
Na5SiP3,0.0
PaPt3,0.0
LuH2ClO2,0.0
TiMn2,0.0
Ba3Yb4O9,3.9949
KYS2,-0.0
LiBe2Re,-0.0
Ca2AlBiO5,-0.0
CaP2(HO)4,-0.0
Na3CrF6,6.0
SnO,0.0
BePBr2,0.0
HfMoAs,0.0
In3Ru,0.0
Te2MoWSe2,0.0
ZnWO4,0.0
Rh3Pb,-0.0
BeCdGa2,0.0
NaSmTe2,-0.0
ReRh3,-0.0
V2PbO6,0.0
TaCuRh2,0.0
ScSbRh2,-0.0
U(SiRu)2,1.8514
HoAlAg2,0.0
NaPrTl2,0.0
KNaGeO3,-0.0
Ca3GeN,-0.0
NaZn4As3,-0.0
VP4,-0.0
FeNi2(CN)6,2.747
Be2CdGa,-0.0
Be2NbSn2,0.0
MnGaH4O2F5,10.0
LiTiTe2,0.843
LiBe2Cl,0.0
ReAgO4,0.0
LuSbPt,-0.0
Ba4BeTe,0.9259999999999999
NbTe4,-0.0
HfBeTc,0.0
DyAlAg2,-0.0
TaGaO4,-0.0
BaMgV4O8,7.9848
BaHfTe,2.0458
BeNbSe2,-0.0
TlI,0.0
CrN2,8.7799
LiMnAlO3,10.0
U(Mo3S4)2,2.085
NaInHg2,0.0
CaB2As,-0.0
Li2CoCl4,2.9999
Li3VCr(PO)4,6.0
Be2MoBr,-0.0
CaYRh2,-0.0
Nd4MnSe6O,-0.0
GaTc,0.0
CdInS2,0.0
BeZn2P,-0.0
LiMn3O6,8.0
Ta(TeBr3)2,0.0
Be2SiRu,0.0
Cd(RhO2)2,0.0
Th(PS3)2,0.0
TaBe2,0.0
Be2TlPt,0.0
YAg2,-0.0
PmZn2Cd,0.0
LaCu5,-0.0
P2O5,-0.0
U(BiO3)2,0.0
DyFe5,9.2459
Ba4CdRu,0.3021
Li2SmIn,-0.0
ErCl2,-0.0
LiTl2GaF6,-0.0
Cr3Os,-0.0
Ho3TlC,-0.0
Hf4BeZn,0.0
LiAgF4,0.0
LiBeSb,0.0
In2NiS4,3.2777
Zn2Co3O8,2.9341
Ca2Cu(BrO)2,0.0
Sr3Li4(GeN3)2,-0.0
BeCdSb2,0.0
BeP2Cl,-0.0
Li3Nd,0.0
ZnRh,0.0
Be2NiCl,-0.0
Pr3MnAlS7,0.0
ZrSi,0.0
H4IN,0.0
NbFeB,0.0
Li2VO3F,0.0
Sc2RuRh,0.0
Sr3InP3,0.0
Li3VF7,1.0
CF4,0.0
H2CO3,-0.0
Ca(PtO2)2,0.0
DyHg2,-0.0
Na3C,0.9997
LaBeO3,0.8922
Ba2YSb3O8,-0.0
Zr3N2O3,-0.0
Rb2Hg2PdCl8,-0.0
BeReCl2,1.8307
Ba4SbCl,-0.0
LiBeW,0.0
Y2Ti2S2O5,0.0
Rb3Co,1.7069
BaMnPb,4.5305
Ba4TiOs,0.2312
Li2Co3NiO8,0.8654
Al3Ni5,-0.0
RuPbO3,1.4329
Li5V5Cr2O2,4.3433
Pr5CuSe8,-0.0
Ba(MnSb)2,7.4510000000000005
Li3V4O5F7,6.0
Li3Al2VO6,2.0
Te2Mo3(SeS)2,0.0
Sr2CaMoO6,0.0
NiAu3,-0.0
Al6Fe,0.0
Mg4BeRu,-0.0
Ca3SiBr2,0.9616
Li2EuGeS4,0.0
Nd3Ni3B2,-0.0
Hf6Al6Pd7,-0.0
Y2AlTl,-0.0
Li2GePd,-0.0
Li2CdCl4,0.0
Ga3Cu,-0.0
PrOF,0.0
TcMo2As,0.0
Sc2CuAu,-0.0
MgGaIr2,-0.0
Y2Sn2O7,0.0
BeFe2Re,0.1627
NpN,3.0627
BeCoMo,-0.0
PmInAu2,-0.0
Ho2NiIr,-0.0
SrCd,-0.0
TlGaSe2,-0.0
FeCl2,4.0
BaLiCr,4.8493
DyInPd2,-0.0
LaNiO2,0.0
LaBeRh2,0.0
Lu(SiRu)2,-0.0
Ba4CoMo,4.914
Er(PRu)2,0.0
Li2Co3SnO8,0.5036
K4Ba(VS4)2,0.0
Sm(GePd)2,0.0
GaPd2,-0.0
Li8BiO6,-0.0
K3Cu3As2,0.0
BiBAs,0.0
BiSbO4,0.0
ScNiBi,0.0
Ca2Bi2O5,0.0
Yb2MgIn,-0.0
BeSb2Br,0.0
LiBiF5,0.0
Yb2Ge2Ir,0.0
Ca3Zn,0.0
SmSnAu,-0.0
Nd2Co6Sn,0.0
Mo3H,-0.0
YbHfIr2,-0.0
B2Os,0.0
V5P3N,0.0
UFe2,0.0001
NaMgBe,0.0
Li2Mn(BO3)2,6.0
TiBeCl2,0.3679
BaCaO2,0.0
HfNiSn,0.0
Li3CrCo3O8,2.2856
TaPt2,0.0
Er3Mn3Ga2Si,6.8284
TbZnSn,0.0
Zr3(Cu2Si)2,-0.0
Y2Co2O7,1.9028
In7GeIrO8,-0.0
MgSiN2,-0.0
Nd3SiAgSe7,0.0
Li2CrCuO4,2.7791
Ba2LiCr,4.3056
BePdRh2,-0.0
Ta4BeTe,0.0
NbTlO3,-0.0
Ba4ReGe,0.0
CeAlCu,0.0001
CePaO4,1.8926
Ca3Co2O7,4.4413
HfInNi2,-0.0
Rb2NbCl6,0.9999
Ba4CuRe,1.8729
Ti2VS4,1.8288
LiSmAlF6,1.1766
Zr2Al3C5,0.0
ZrBeTe4,1.3762
HoScO3,0.0
K2NaInSb2,0.0
YMg3,0.0
MnBeV,1.3259999999999998
LiSb3O8,-0.0
CoHO2,-0.0
CdHg4C6S6(Br2N3)2,-0.0
SrHfRe2,0.0
BeCuBi4,0.0
CrPO4,6.0
Al2SiO5,-0.0
Li2B2S5,0.0
BeGaRe2,0.0
RuO2,0.0
BaSrTl2,0.0
NaAg(CN)2,-0.0
SmRh,0.0
Rb3Ge,0.9655
NaLaSe2,-0.0
Ce3In,2.1823
AcSbAu2,-0.0
Li2MoO3,-0.0
Li2CdSb,-0.0
NaH2N,0.0
TiMo2As,0.0
AsPRh2,-0.0
Ag3AuS2,0.0
YZnHg2,0.0
Y2ZnCu,3.3741
NaLiY2F8,-0.0
Lu3AlO6,0.0
TaTiAl,1.5985
Rb3FeO3,9.8956
Sm(SiPt)2,-0.0
Ba4HgIr,-0.0
NbHg3F6,-0.0
DyScO3,0.0
Sr2ZrO4,0.0
MgSO4,-0.0
