pretty_comp,min_mode
ZrS3,-0.047585
LuCuSi,-60.481843999999995
KTcO4,-0.082618
PH6(NO)2,-0.17569400000000002
ScIr2,-59.918243000000004
TaTlO3,-133.27246100000002
Eu3As4,-0.028531
ThSeO,-0.026914999999999998
NaMgAs,-1.246897
AlGaN2,-0.023607
CdCuSb,-59.973096999999996
CeCuGe,-0.08455900000000001
MnBePd2,-0.111925
CeSe,-0.005943
YbPO4,-0.02742
PrCrO3,-0.079596
ErS,-0.06969
SnF4,-0.15723
LiSiBO4,-0.06310299999999999
BaCr2Te,-59.522633
RbPrS2,-0.154826
Pr2AlNO3,-0.08947000000000001
Rb2SeCl6,-0.015752000000000002
NaScO2,-0.099928
CN2,-0.053935000000000004
NaAuO2,-0.149348
RuF6,-55.87602800000001
KBaRu2,-130.99078799999998
BaMn2Hg,-69.39213000000001
Mg2H6Os,-203.913304
YSi,-0.027607
GaAg,-0.065749
BaIrO3,-0.021963999999999997
K2RhF6,-0.13636600000000001
GaMo3,-0.035457
Ca2Si,-0.071729
K3NaCr2O8,-0.275171
ScBeSn,-1.3314110000000001
Ce(Fe2P)2,-0.11128699999999997
Nd3AlN,-197.847173
SmTaO4,-0.02412
Ba(PRh)2,-0.034588
AlCuO2,-0.771253
Ca2SiO4,-154.008734
CaAgAs,-0.01929
CoB,-0.037207
CaHCl,-0.24665
Ba(MgBi)2,-0.164892
MgCoF5,-0.062928
Sr3(AlSi)2,-0.027781999999999998
Tm2AgPt,-0.042124
Np(CoSi)2,-0.01031
RbCeSe2,-0.007804999999999999
BeAlH5,-3.9304989999999997
LiInSe2,-0.216665
Tl2SnF6,-0.07033400000000001
UNi2Sn,-0.030525999999999998
BaBeCo2,-286.882302
EuIO,-0.053765
GeC,-0.033043
Ti2BeMo,-0.633688
NbSeBr3,-0.090921
ThSnI6,-0.21262199999999998
Rb2NaMnF6,-0.433071
Pr2SO2,-0.024256
Al3GaN4,-0.006984999999999999
USn3,-0.072257
RbAu(SO4)2,-0.045286
NpAs,-0.04142
Rb2H6Pt,-0.057907000000000014
TcIrOs,-11.036000999999999
NaLi5N2,-136.505528
HfZrZn2,-0.17190999999999998
BrF3,-0.173381
VOF,-0.261801
Na4SrBe,-96.638688
GaBiO3,-203.610075
CaCdO2,-0.09400800000000001
BeNi2P,-63.006131999999994
Ba2ErNbO6,-70.822066
BeNiPd2,-0.5620149999999999
GaAsO4,-0.07362
Cd2Os(CN)6,-0.313346
BiAsO4,-0.041731
Rb2AuBr,-11.356239
Be2MoP,-17.642344
Hf2Ge,-0.282256
Sr2Sn,-0.142549
HoTlS2,-0.142784
BeCd2Fe,-142.359629
Cu2HgGeS4,-0.739978
NaCNO,-21.501343
Nb3Cr,-0.032867
K2AgAs,-0.142429
Ca(AsO3)2,-0.037074
SrSeO3,-0.045389
Cr3GaN,-0.17898
CoGe,-0.015933000000000003
NbF4,-0.15712
RbGeBiS4,-0.126443
Sr2MnO4,-0.109759
YAgTe2,-0.031560000000000005
HgBr,-0.024865
BaTaCl,-38.545854999999996
Ba3P2,-100.797492
TiMnBe2,-0.250189
RbLiSe,-0.167847
KBeCd,-0.44339700000000004
Li2MnO3,-0.517189
CePRuO,-0.14965599999999998
LiVIr2,-0.0797
ZrTaBe,-0.08237699999999999
SmNbO4,-0.091134
AlPS4,-0.2336550000000001
Li2YbSn,-0.070836
Ti3PO7,-41.867968
Y(HO)3,-0.225133
Li3ClO,-0.059808000000000014
ScPt,-0.082352
UGe3,-0.08519
RbFe(MoO4)2,-46.813132
Sr3(AlGe)2,-0.300094
BeV2Sn,-1.356271
TaTi2Be,-0.363723
LiLu2Ru,-0.114446
BeIn2Sb,-153.92916100000005
InPd,-0.043232
Ba2LiOsO6,-0.033235
Sn(CO2)2,-0.069426
BaSi,-0.016957
KNaICl,-93.99265799999999
CaCd,-0.151336
BaSr3O4,-0.068521
V3Se4,-0.108617
TcAsPt2,-44.987673
LiGaGe,-0.207249
Al2Au,-0.011019
SbS8Cl3,-0.206841
TiMo2As,-40.604597
ScS2,-0.07359299999999999
KTiBe2,-180.635569
YCu5,-0.246018
SrN6,-0.17092100000000002
KVP2S7,-0.24629
Y3Mg,-0.30738699999999997
MgBeRh,-0.86472
V4GaS8,-0.0841
ScBi3,-32.875566
ErTaO4,-0.061600999999999996
LiPd2Pb,-7.789228
YCoC2,-0.029954
NaMgBO3,-0.19847599999999999
KSmTe2,-0.054137
NpOsO3,-267.538834
SbPO5,-0.455963
MgCrF4,-64.282108
Ca4BeIr,-158.34901399999995
NaN3,-32.265211
ScBeTl,-0.7425229999999999
Mg(BiO2)2,-153.94062
Mo2WSe6,-2.770734
Ag3AuS2,-19.050380999999998
K2Rh2O5,-0.15257
BeGaRu2,-0.364713
PdO,-0.034586
CrAuS2,-0.18479
KTeHOF4,-0.23464000000000002
FePH5CO4,-0.15323399999999998
SrPd2,-0.004379999999999999
NbAl3,-0.065074
PmDyCu2,-0.262653
CuO,-44.424487
LiAg2F4,-63.751847999999995
Mg2FeH6,-0.856033
CrGaP2,-0.208089
YCu,-0.800176
MnB4,-160.467498
Dy(FeGe)2,-0.122214
BaSnO3,-0.017096
TbCd,-0.032697000000000004
Yb(NiGe)2,-0.358111
ThAl,-0.066136
VIrO3,-338.022378
PW,-0.014041
KBeGe2,-147.43118700000005
KNdS2,-0.12190699999999999
ScSi2,-0.058864
H3S,-0.130673
Th2Fe2Si2C,-0.061175
Co2SbO6,-23.106626000000002
Ba2NbTe,-28.275817
Ti2Rh,-0.045765
PmCdAu2,-0.126684
Ba2SnCl,-38.163843
FeCu2SnS4,-0.513475
GeMo3,-0.1553
Lu2Cr2C3,-0.162373
CaTi2O5,-45.228792
LiLuO2,-0.316714
MnGaIr2,-0.037839
MoO3,-0.188318
MgTa2O6,-0.08130599999999999
AcN,-0.0039049999999999996
UZnNi4,-0.233481
BeNb2In,-0.594372
Na2Mg(CO3)2,-0.14635399999999998
CdHgPd2,-59.860296999999996
Ca(TiN)2,-56.38751600000001
NaMgSb,-1.36255
ScAlAg2,-0.009266
GaPO4,-0.054363
Li6CrO4,-0.057963
K2IrF6,-0.09447699999999999
CdCO3,-0.185142
H4BrN,-0.110294
Li2BeSiO4,-0.11869
CaTiF4,-0.141965
Al8Mo3,-0.200954
BAsO4,-0.211606
Dy(HO)3,-37.353266
BeRu2Pb,-0.148668
K3NaP2(O3F)2,-0.173333
LiHfPd2,-0.013152
MgCrO3,-143.833622
CaTbF6,-0.688898
Hg2SeO4,-0.040729
Pm2MgAl,-0.086191
Na2TlBi,-18.706032
LiAuF4,-0.067643
Ti3Au,-0.031617
DyAlNi,-0.330638
CaGa2,-0.39624699999999996
GaNi,-0.007447
HfV2As,-62.001523999999996
NaBeCl2,-288.053088
K3Np(H3O4)2,-0.145218
AuCl2,-0.059562000000000004
RbGeI3,-64.543447
Y2Fe2Si2C,-0.05366
VGaNi2,-0.504698
V5S4,-0.217665
Rb2MnBr4,-0.134884
Tm2AgRu,-0.143077
ErNi2B2C,-0.40221599999999996
Yb(SiPd)2,-0.050455
ErGe,-0.119421
TaCo,-0.040844
TmPb3,-0.041866
MgRe3,-0.584044
MgBe2Co,-1.244202
Ca2ZnN2,-0.13094
NaErO2,-0.245079
Na4Al3Ge3ClO2,-0.083821
ZnFeF4,-129.433021
TmPPt,-21.717267
CdSiAs2,-0.111446
ZrSi,-0.026806
PrBi2ClO4,-0.022962
PHF4,-1.042935
PrTmMg2,-0.087594
CuAgS,-0.786225
ZnCl2,-0.6175149999999999
NdP5,-0.037489
BeInW,-55.48581400000001
SrCuAs,-0.505668
SmBr,-0.08051
ZrSiPt,-0.0257
FeB,-0.036456999999999996
Co(ClO4)2,-0.138708
Ba2BiBr,-0.081251
Zr6CoAs2,-0.102533
Be2CrIn,-72.284702
TaSbRu,-0.047108
Zn(NF2)2,-129.422263
Li4Fe2SiO7,-0.097182
AlCuPt2,-0.407183
Tl2MoO4,-72.592541
YbAgS2,-0.076861
MgAsOs2,-83.089388
K2RbPt,-18.12342
MnGaRu2,-0.195922
BaZrCu2,-1.353312
BaPd2Rh,-26.622914
Cr(BH)6,-0.36148800000000003
TiPd,-0.109345
LuScRu2,-0.098186
NiHg,-0.512288
BaTi4Br,-69.167891
VCo2Si,-137.00954099999998
Ti3InN,-0.028891000000000007
RbZnH2Se2ClO6,-0.22805
BaGaBi2,-0.281019
TlN,-0.018225
Ba2TlCl,-53.18376800000001
BeCoBi4,-159.041371
Tb3Mn3Ga2Si,-153.99137
SiTe2Os,-70.991398
TiSnPt,-0.10781700000000001
ZrBeTl,-0.076057
FeP2,-0.045299
Na4BePd,-116.20357800000001
SrP3,-0.047481
TaMn2Be,-0.219297
SrTi2Be,-0.034618
BaLi2Mg(PO4)2,-0.07788300000000001
ScAsO4,-0.031901
Sc2AlCu,-36.677737
Ti2BeCo,-0.587859
Al5CuSe8,-0.705383
Rb2NaCrF6,-0.224237
BaInIr2,-0.08479
EuMgH4,-0.42113
NbV3,-71.780579
BeAlH5,-0.8682209999999999
Ba4MgSc,-57.4776
Lu2ZnTc,-0.140826
BaSrCl,-85.198326
ErZn,-0.28284499999999996
SrSi,-0.013947999999999999
BeCrNi,-0.9895959999999999
YMn2,-104.481842
PbF2,-0.147321
Ba4InIr,-86.236795
MnCO3,-0.23918299999999998
LiHo2Ga,-0.071145
CaNiWO6,-0.09654299999999999
BaAg2,-0.09655599999999999
Li3CeSb2,-0.039359
LiBeFe2,-1.575521
Sm2In,-0.12231700000000001
PmSbPd2,-43.467636
Ca2GeO4,-0.06792100000000001
HoAu4,-0.039212000000000004
AgF,-20.076062
GaI3,-0.11399300000000001
NdGa2,-0.132648
TbAl2Ni,-0.353767
Ba4NaTa,-59.72878100000001
RbNa2NiO2,-0.262364
Al2CdTe4,-0.115651
PrAs2,-0.030343000000000002
SrBeV2,-1.070597
KSnSb,-0.15909
RbCl,-0.004176
NaCN,-0.16744
Ca2PI,-0.094512
SiNi,-0.686181
Ti3Ni,-0.235369
BaCdBr,-31.807551
SnPbF4,-24.769505
RbAgO2,-0.073737
NiO2,-327.864402
Ti6O,-0.030099
Li2SnBi,-146.916166
Ba(BIr)2,-0.027438
Ga3PO7,-0.183921
PmInPd2,-0.07735
SnS,-111.38453
SrSO4,-0.047023
DyRh5,-57.080001
Np(SiOs)2,-0.053999
USi,-31.369604
Si2Ni,-0.085061
Lu2TlAg,-0.084358
UAs2Pd,-0.019505
Pm3Pb,-0.057053999999999994
ErClO,-0.13613699999999998
Ni2Ge,-0.490492
Li2CuSb,-0.039819
SrScBe,-0.343248
LuBi2IO4,-0.018615
La2CuO4,-10.770648
LiBePb2,-115.023918
Ti2NiS4,-0.546013
MgBr2,-0.233891
SrBeBr2,-10.270781
Ba2HoRuO6,-0.27473000000000003
Ho2CuRh,-0.240564
TmSeO3F,-0.08292000000000001
Sr3Bi2,-56.39733100000001
LiGa2Ir,-0.151498
Sb2Ir,-0.009776
Tl3SbS3,-0.039845
CdAgPd2,-0.010584
AgTe4Au,-0.034638999999999996
WS2,-69.178336
Hf6CoBi2,-0.017508000000000003
HfAlFe2,-0.077885
BaTeCl,-23.83771
BaYSc2,-42.619791
Mn3SnC,-0.036354000000000004
RbUAgS3,-0.068089
K3Sb2Au3,-0.041663
Tl3PO4,-0.038862
TiOF,-0.10875699999999999
Er2NiRu,-0.317183
Na2Ni2O3,-69.947175
Pr2CdSe4,-24.103919
Ho(CuSi)2,-0.634339
Li3Mn3O5F3,-0.202786
BaBeF4,-1.081397
RbNaH2,-269.188833
Ce2ZnNi2,-0.21731199999999998
Fe5Si3,-0.058996000000000014
Li4TeO5,-465.748863
Ca4TiN4,-0.062485
LiTaW2,-41.401876
HfBeCo4,-2.158101
Be2PW,-0.07155800000000001
TiCo2,-67.66614399999999
BaSi2,-72.057289
CuH4(OF)2,-114.130803
Ti2AsRh,-41.915527000000004
MnNiAs,-0.293155
Na2Ti2As2O,-0.192415
RbCuF3,-0.7853760000000001
BeCo2Sb,-0.869769
UAs,-0.007927
Si(GeN2)2,-0.047475
Yb3V,-0.059127
BaHg2(ClO)2,-0.044029
ScIr3C,-322.704904
UGa3Ni,-53.202197999999996
Ho3Hg,-0.047563
UMnSe3,-25.333865
Rh3Pb,-0.078408
MgCl2O,-0.140416
SrCaBe2,-48.210978999999995
Ba2GeBi,-0.32092
Pr2(Zn2Ge)3,-0.099962
Be2CuMo,-0.26227
TbHg,-0.017467
SrTaBe,-0.11778599999999999
MnCo2Sb,-130.455433
CeSb,-0.050469
GaTeI7,-0.216193
ZnO,-124.327766
Ti2Si,-196.057154
Li2MnVO4,-170.76237700000001
Ta3B4,-0.022841999999999998
OsC,-0.039693
USb,-0.012126999999999999
V2ZnO6,-0.098152
B4C,-0.108403
Ho3In,-0.188055
AsI3,-0.009047
AsRh2,-0.000519
Ca(NO3)2,-70.421083
CrSb2,-0.132331
Li2NdAs2,-0.039674
KCN,-0.044605
PrAgSn,-0.070663
ScBe2Cu,-40.43999
SF6,-0.14800000000000002
YP5,-0.03138
BeHgRu2,-65.00963399999999
FeGe,-0.082174
Sr2BePd,-146.570648
Ba2ZnF6,-0.29998600000000003
PmY,-0.018050999999999998
Ti2BeCl,-0.293678
ZrVSi,-0.194919
Al2B2Ru3,-0.046018
ScBeSe2,-276.589678
CaAg,-0.051936
ErCuSe2,-0.318865
Si2Ru,-77.224216
Sc3GaC,-0.07372999999999999
BeCrCo2,-0.568654
BePCl2,-365.23285
NdAl2,-0.04467
MnTlF3,-0.141664
PbS,-97.94402
MgTaRh2,-0.048202999999999996
HfTc,-0.009831999999999999
KErO3,-0.027087
NiS2,-18.29415
Li2MnO2,-0.76851
UPt3,-0.026607
NdMnSbO,-38.382529
KClO2,-23.542074
Be2NbPt,-0.213198
NpNiSn,-0.10591400000000001
Ho(SiRu)2,-0.149854
RbFeO2,-154.76161000000005
P4S3,-0.084989
P2Rh3,-0.083499
Yb2SeO2,-0.011315
HfTaNO3,-133.046942
Te2Mo3W(Se2S)2,-1.426433
Sc2CuAu,-0.948147
Sc3SnB,-0.14916400000000002
NaRu3,-0.09322799999999999
Fe2C,-0.03639
SnF3,-52.083744
PrZnSbO,-0.212168
BaSrHf,-36.9147
YZrBe2,-0.386748
KNO2,-0.251512
TiSb,-0.01314
K2BaSe,-0.33907600000000004
BeRu2Pb,-101.525552
HfBeSi,-0.199374
VFeH2O5,-0.08613
TiCo2Ge,-0.019277000000000002
BeNbOs2,-0.619174
U4S3,-35.402194
YTlO2,-0.196761
InBr,-0.529222
NaBeRu2,-0.331757
CeBiPt,-0.085735
Ba2VBr,-0.151515
BeTlP4,-176.320828
Ti3O,-0.061324000000000004
CeTe,-0.002553
RbTl2Bi,-0.098215
Sr(SbPd)2,-42.987573
AgBiTe2,-10.483812
ScGaCo2,-0.037447
SrSiN2,-0.044642
ScBeZn2,-0.319635
MgCuAs,-0.125975
Ti2Cu,-0.679646
GaB3N4,-0.008921
CaTiF6,-0.098637
Nd2TeS2,-0.016186000000000002
Be2TePt,-310.586678
TmInRh,-0.06564400000000001
LaUO4,-4.447966
LiBeSi2,-1.501085
Li4BeW,-1.328825
FeCu2GeS4,-0.547529
UCuPO,-0.19578199999999998
PuB,-126.47153200000001
Lu(CoGe)2,-0.075042
PuCoC2,-54.909372
NbCl4,-0.277332
NaSb(PS3)2,-0.258412
Li4MoO5,-0.15600999999999998
Tb(MnGe)2,-0.13122999999999999
Rb2PbCl6,-6.556344999999999
RbAu5,-0.041746
LiCoS2,-0.09930800000000001
KIO4,-0.044537
NaIO4,-0.044885
Ca(GeAu)2,-25.703858
KSc2F7,-30.497734
NaBeGa,-0.71865
Np2InPt2,-0.029913
UCuGe,-39.83485
K2S,-0.063631
KBa2Pd,-0.078919
BaYSb2,-60.509251
TiSiRu2,-0.042434
HfBe2Zn,-0.280742
Sr(CdGe)2,-0.087837
TiFeTe,-0.142318
UTe2,-0.043223000000000004
KBeCo4,-119.54555800000001
Ti3Tl,-0.053903999999999994
Mg2P2O7,-0.111133
NaInS2,-0.297069
BeTcW,-0.086506
TeAsRh,-0.06988
MgInNi2,-0.677621
NaSr4(BN2)3,-0.034564
As3W2,-0.013819
TiCoSi,-0.030641
Be(CN)2,-0.075879
TiBe2Ru,-0.193655
AgAsO2,-0.139285
Li2BeBi,-1.773094
Tb(CoSi)2,-0.082025
ScBIr3,-0.024561000000000003
Be2CdOs,-194.536554
ZrAl3,-0.004162
BaFePt2,-88.721214
Rb2As2Pt,-0.066791
HfCuHg2,-21.610132999999998
K2SO3,-32.26559
BeCrSi,-117.61327299999999
Tb2In,-0.134602
MnAu2,-0.20118
CaBeTe2,-261.542475
MgMn2Be,-1.397063
Y2C,-0.008208
ScGaCu2,-0.513126
ScCdAg2,-9.8035
MnCu2SiS4,-1.241685
K2NaGaP2,-0.21091700000000002
Tl4SnTe3,-69.612698
TiAsPd2,-58.968718
W2NCl8,-0.065098
TaAsBr,-134.155581
ScBeCl2,-292.983979
Ba4MoSe,-76.03100500000002
NdTeF,-0.144111
CaBiAsO6,-0.034406
Ca2BeFe,-39.699555
ScAlCo2,-0.04467
ThInAg2,-0.041496
Ti2TcPt,-0.030456
Li3CeBi2,-0.077514
Tl3F,-98.97792199999999
NaH2N,-0.116684
NpO,-0.031967
PuRh3,-0.051155
Co2Sn,-54.773509999999995
NaBePd2,-0.32753899999999997
Zn(SbO3)2,-0.035622
KNa2Be,-1.3847639999999999
Li4Cr3FeO8,-0.066815
Cr3B4,-0.042268
Ba2CaTa,-24.730122
NaBe2Pt,-101.555911
SrSbPt,-0.003181
KMnCl3,-0.139632
Pr3Ag,-55.040779
BaLiBi,-97.206227
BaAgP,-0.051163
BePOs,-0.811446
Rb2Hg2PdBr8,-0.06625299999999999
BaCa3O4,-115.414505
YbBi2BrO4,-0.014418
KLiZnS2,-0.32658200000000004
MnBeCl2,-318.000567
KAgO,-0.036638
RbPbCl3,-0.14968900000000002
MnSbPd,-0.26654
Mg3Fe,-0.200714
DyIn5Rh,-0.048924
Sb2TeSe2,-0.07471900000000001
H2C,-0.19420199999999999
Ce(AlGa)2,-0.211767
KBeTc2,-152.028078
KHO,-0.429457
CdSbS2Br,-0.162852
CaPdF6,-0.043904
BaBiAu,-40.259826000000004
Zn(CO2)2,-0.20720500000000008
Be2CrBi,-130.605276
Y(AgCl2)3,-0.125081
Ca3AsBr3,-0.12256800000000001
Sc2MnGe,-54.75284
BaSO2,-0.124008
Cd(RhO2)2,-0.025244
ZrFeP,-0.077261
CrPS4,-171.731436
Zr(CoSi)2,-0.06708
AgPS3,-0.071724
BaAg,-0.062068
Hf2S,-0.030216000000000007
BaHfN2,-0.036424
Au7I,-0.10861900000000001
Sc(SiNi)2,-0.181375
ScZn,-0.347911
UOs2,-62.545025
MgMnF6,-0.267924
SnBrCl,-0.234483
SiNi3,-0.314337
MgBe2Tl,-147.1008
NaMnO2,-192.771995
KNa2Bi,-0.289869
MnSi,-0.068905
BaZnGe,-0.289642
GaCl3,-0.141862
NdClO,-0.033294
Si3As4,-0.019037000000000002
CaAl2,-0.038337
V3Cd,-0.262804
Fe8N,-220.825554
Ba2NaCu,-0.8373729999999999
HfBeBi,-0.433118
Hf2Pd,-0.063169
CuI4,-30.921621000000002
ZrSnPd,-0.058039
BaPr2ZnS5,-0.238821
TiGa3,-0.080149
KNaSmNbO5,-0.053922000000000005
FeSn2(CN)6,-0.450111
Ba4CaNb,-53.41904
TiZnF4,-0.10667599999999999
AlCrCo2,-0.126601
Li3TaO4,-165.420309
CaC2,-0.091907
MnZnO2,-70.864453
Er(NiP)2,-0.22949299999999997
LiTlPHO3,-0.05087
BaLi2Fe,-77.422883
SmFeSi,-0.115211
BaTm2F8,-0.180555
Zn2Ni3O8,-0.046068
TbAlCu2,-1.014368
LiVRh2,-0.075436
Sr(MnGe)2,-48.735423
HoClO,-0.025894999999999998
Sm2MgGe2,-0.281956
CoHg3,-18.831482
NdSi,-0.009125
CN,-0.065066
ZnCO3,-0.163401
Y2ZnRu,-0.44948599999999994
AlTlF4,-0.155095
CrSi2,-0.11034200000000001
VNi2,-0.597444
RbCeS2,-0.061858
PdSeO4,-0.10730999999999999
Mn2Ge,-173.435854
NaBe2Pd,-0.424599
PrH2,-0.00040300000000000004
PaO,-0.09936299999999999
HoCoSi,-0.074089
Mn2BeFe,-0.860049
ZnSeO3,-0.056985
ZnWO4,-0.067044
Pm2O3,-0.04905
YbSe,-0.008048
ScTlO2,-0.057375
MgSnAu,-0.108885
Dy3Y,-0.01649
SnAs,-0.19127
Sb2O3,-0.027902999999999997
ErZnAsO,-0.15199300000000002
CoH4(BrO)2,-196.788419
Fe2AsCl,-147.793033
HfSiNi,-48.613459999999996
InSb2S4Cl,-0.10654200000000001
BaCaBr,-73.52842
Ta2Co,-0.038593999999999996
BaInMo2,-67.109514
Be2SiW,-0.108944
CaSi2,-27.315269
TcO3F,-0.269889
Sr2ZrO4,-0.270996
Sm(GePd)2,-0.099897
GeO2,-157.624853
Ca(SmS2)2,-0.031188
ScSnO3,-190.439624
CaMg(CO3)2,-0.18349200000000002
Tb(SiRu)2,-0.079104
NdHg,-0.002139
InAsF6,-0.19116
UAu2,-0.0021739999999999997
LiCa4(BN2)3,-0.098258
HoCo2,-0.05775
Np(OF)2,-0.194179
Cr3Ni,-0.101255
TbSF,-0.06458799999999999
UCO5,-0.06008400000000001
BaWCl,-32.316764
Be2InTe,-0.227821
TiOF2,-0.077655
KSrCO3F,-0.072491
BeTlTe,-27.253798
Dy6FeSb2,-0.277059
HoPaOs2,-0.022605
HPd,-277.679536
Li2FeF6,-0.050713999999999995
UTeP,-0.017602
Tl4Te3Pb,-25.843491
Ca3PCl3,-0.274192
SrHgO2,-0.12553499999999998
BaNaPb,-49.783714
K4ZnAs2,-0.238378
B2Ru,-0.044037
Ca2MgBe,-41.483686
LiAsRh2,-0.042012
PrGe,-0.139174
CoAs,-0.036238
Ba2BiAu,-0.03166
Zn(RhO2)2,-0.015
Nd(SiPd)2,-0.070009
MgSnO3,-253.364969
BeCdTe,-35.125506
YN,-202.989448
Ho2TlAg,-0.098238
Li2PNO2,-0.024928
TaInRu2,-0.03143
BaCaBr2,-0.129047
V2CuBr,-118.565712
BeVOs2,-0.458408
KRb2TiF6,-66.329063
Na2Te,-0.016077
BeSi2Br,-292.643686
Ti2BeMo,-0.37235999999999997
Zr2Np,-44.121782
RbNa2Sb,-0.38413800000000003
YAl3,-0.017496
IrO2,-0.016485
TlNO2,-0.13550299999999998
AgCNO,-31.28285300000001
K3YF6,-0.22356700000000002
CaHgO2,-0.046058
NdCoGe,-0.20286400000000002
NaLiTe,-0.117698
Yb(PRu)2,-0.065163
CaBeMo2,-0.327667
Tb2C,-0.013852000000000001
Y(FeGe)2,-0.114053
HfFeCl6,-0.149632
ScCo2Sn,-0.0467
Hf2Hg,-0.018074
SnHgO3,-251.12278700000002
SrBeRh,-0.20944699999999997
Nb3Si,-0.035693
TcAsPd2,-0.028143
Na5GeP3,-0.21672600000000009
RbHoO2,-0.107695
BaMnS2,-0.13306199999999999
FePSe3,-105.567558
NaNO3,-0.38697600000000004
SmSF,-0.18379500000000001
InSiIr,-126.100077
LiZnP,-0.12517799999999998
BeNbBi4,-142.504504
Ba3MgTa2O9,-0.06783099999999999
YBe2Ru,-124.71786000000002
Tm3SnC,-209.33471
Be2CuIr,-0.38214000000000004
EuS,-0.023683000000000003
K2YBe,-34.718903999999995
H4BrN,-0.036034
CrCuSe2,-0.336984
ErAu4,-0.016957
CuPd,-0.204673
BaO2,-60.71886
K3Nb3(BO)2,-115.412426
Sr2MnSO3,-30.967959999999998
DyP,-0.044506
CaBeSe2,-334.023436
BeZn2Ru,-1.317412
Na3DyCl6,-0.35522600000000004
Ca5As3,-0.133297
MgF2,-27.560528
HoTlO2,-0.048339
RbPbF3,-76.82019100000002
SmDyRu2,-0.11233299999999999
DyMg3,-0.169846
Dy(SiRh)2,-0.010651
NiSbSe,-0.050503
BaScNi2,-0.8346299999999999
CaBeGe,-1.8983430000000001
ThSb2,-0.045151
V3Au,-0.08081
Ti3Ga,-37.967192
TmMg,-0.138738
RbO3,-0.272412
ZnCu2SnSe4,-2.8770439999999997
SmSnPt,-0.033981
YbGa2,-0.111319
YSbPt,-0.024653
CaCr2F2,-377.07235
NaSc2Be,-3.9786099999999998
TiI,-0.110181
TiBeSi2,-2.708241
Rb3In,-13.090380999999999
SO3,-0.15598599999999999
Li2H2Pd,-0.076052
K2PdCl4,-0.048088
LiMnSe2,-0.514579
Ba2MnBr,-28.211289
TlHCO2,-0.055232
Sr2SbAu,-0.018265
CdO,-0.031185
SmYMg2,-0.052154
FeNiN,-0.156827
ZnFe3C,-0.042577
Zn(AgO2)2,-0.111676
Sb2Au,-0.086439
Ti2ZnTc,-0.26827199999999995
CeSi2Ru,-0.043717
BaZrF6,-37.290749
TiAsAu,-85.15476600000002
Hf2Au,-0.036819
BiSeBr,-0.033248
Sr3GaN3,-0.068826
HfHgO3,-243.94373599999997
RbCa2Ta3,-78.507002
HgF2,-29.970012
TlSb,-0.078683
LiAlH4,-1.2268809999999999
Zr2AlN,-0.074661
TaBe2Tl,-162.072607
RbAcTe2,-0.051886
U(FeGe)2,-0.08381799999999999
BeTlMo,-43.968831
CaO2,-16.749725
KBeTe2,-272.65799599999997
Zr2Be2Tl,-102.70325600000001
