pretty_comp,optb88vdw_bandgap
NaSr3SbO6,3.1534
MgNi,0.0
BeTlPb2,0.0
ZrSiO4,4.0832
Ho2CuRh,0.0
CeZn,0.0
Co3OF5,0.0
Ir3Se8,0.0
KAg3Se2,0.0
CeCoSi,0.0
SrAlSiH,0.7098
SrSn,0.0
NdMn2,0.0
SrIn2Ir,0.0
MnNiAs,0.0
CaMnBe2,0.0
NbPd2,0.0
KSnS2,0.0
Mg2TaSnO6,0.0
YCuP2,0.0
CdTeMoO6,3.0765
Ba4VTe,0.0
BeOsPb2,0.0
Mo3O8,0.0
DyAlO3,3.1657
TcH4NO4,3.4191
BePd3,0.0
B5H,4.6217
Li2BeNb,0.0
TaB2,0.0
Tl2SiS3,2.0516
Ba4ZrMo,0.0
MnGeRu2,0.0
GaSiAs,0.0
MnP2O7,0.6766
KBeW2,0.0
SmCuSeO,1.4738
YTiGe,0.0
Tm4InRh,0.0
SmAlAg2,0.0
SnI4,0.5171
TbFeC2,0.0
Li2MnV4NiO2,0.1313
Li2SbAu,0.0
RbB,0.0
YbRh2,0.0
U3Si2C3,0.0
UB2Os3,0.0
TaBi4ClO8,1.2678
Li2MnCr3O8,0.0
Na3Sb3(AsO2)2,1.7291
TmSb,0.0
Sn7Ir5,0.0
PrMgGa,0.0
TlFeF3,0.0
Li3MnP2HO8,2.3055
H6RhN5(Cl2O)3,1.672
BiAuBr6,1.1589
Ba2SnHg,0.0113
LaCuPb,0.0
NaTeF5,5.4077
ThSb,0.0
V2InC,0.0
BeFe4Ge,0.0
BaMgIr2,0.0
BaNaLa,0.0
LaSb2Au,0.0
BeCoBi4,0.0
LuThTc2,0.0
ZrSiO,0.0
Sm2Tl,0.0
BaB2F8,8.4561
LiFe3(SnS4)2,0.0
V2Te2O7F2,0.6553
CePmTl2,0.0
ZrAl3,0.0
LuIr2,0.0
RbSeBr3,1.6052
BeNb2Fe,0.0
TmGe2,0.0
La2ZrBe,0.0
SrBeGe,0.0
Dy3SnC,0.0
CaCrF6,0.0
VCdAgO4,1.9619
KTa(AgSe2)2,1.6597
Ca(GaS2)2,2.7073
DySb2,0.0
DyBiRh,0.0
K2SrCdSb2,0.38299999999999995
KTaO3,2.2284
Li2CoCl4,0.0
KF,6.4609
SrAgO3,0.0
YPb2,0.0
LuUO3,0.0
Sr2FeBrO3,0.0
Li2TeO3,3.942
Be2PtAu,0.0
BaNaTe,0.0
ZrV2,0.0
BaCuTe2O7,0.0
Ba4BiSb,0.0
CeSiO4,1.7163
PmCdRh2,0.0
RbBi,0.0
Sb2S3,1.318
Fe5SiB2,0.0
KVP2S7,0.0
CdCo2As,0.0
YbRh,0.0
CdTcAs,0.0
PuPt2,0.0
AlFeO3,0.0
HgBrN,0.0
CaBeCu2,0.0
TiAl3,0.0
TmP5,0.3116
CaTiF5,0.1632
Be2CrPt,0.0
CrNi3,0.0
AsH6NO4,4.3014
Cu4Si2NiS7,0.0
YbCo3B2,0.0
Sb3Rh,0.0
HfCuHg2,0.0
LiTi2Ir,0.0
Be2VHg,0.0
CaNdHg2,0.0
ThB4Mo,0.0
K(SnAu)3,0.0
DyInRh2,0.0
BaYCuWO5,0.0
LiGa(MoO4)2,3.4389
ScHgAu2,0.0
Ba4CrRe,0.0
Nd5AgS8,1.5984
In6TeO2,1.247
BaSnF6,5.2211
Th(GeOs)2,0.0
Ba4TlCu,0.0
BaMg(AgO2)4,0.0
MoF6,4.1506
ScCu2,0.0
VCrO4,0.0
SrCa(CO3)2,4.9267
Li4VFe3O8,0.0
BeNb2Ir,0.0
AlCrF5,0.0
RbH,2.9705
Ba4PRh,0.0
Zr3NiO,0.0
VSi2As,0.0
CeAs,0.0
LiBe2Tc,0.0
CaMn(GeO3)2,0.3789
CaTmCd2,0.0
TiBe2Os,0.0
CaBeIr2,0.0
VFeSb,0.5141
GePbS3,1.6579
TbSi2Rh3,0.0
YZn,0.0
Fe2CuGe2,0.0
Ba4TlCo,0.0
Rb3CuO2,1.6557
B3C2,0.0
TbMgHg2,0.0
CoMo,0.0
BeNbCu2,0.0
Ho2CuPd,0.0
SmSeClO3,4.3956
BaScGe2,0.0
Ni(NF2)2,1.6538
CaBePt2,0.0
Cd3SiO5,1.1253
Tl(Cu3S2)2,0.0
Y2SeO2,2.3286
Ba3Al3Ga2,0.0
HfCdAu2,0.0
BePBr,0.0
NaTaBe,0.0
K2NiF6,1.5348
Li2Fe5O5F7,0.0
Mo3P,0.0
U(PdS2)2,0.0
BeFe2Mo,0.0
Zn(CN)2,5.8964
UTeN,0.0
KTcO3,0.0
VCuO2,0.0
Na2Mg(CO3)2,4.5782
Sm2Ge5Ru3,0.0
Tm2Zr2O7,2.4957
ScBeTc2,0.0
Li2PmGe,0.0
Li2CeSb2,0.0
NaZnP,0.8346
BaCrIn,0.0
KUCuS3,0.0
CaYRh2,0.0
Li2UO4,2.2214
Yb(NdS2)2,2.0631
MgCo2S5,0.0
MgSiN2,3.7015
AlAgSe2,1.2191
TiSiPt,0.9698
CaBeSi2,0.0
SmGePt,0.0
Na2BeBr,0.0
TiZn(GeO3)2,2.0741
BaAlCuSnO5,0.0
Ba4NaSi,0.0
Li3Al,0.0
Tb3CuGeS7,1.7365
MnSbPt,0.0
U3Si,0.0
HoClO,5.2077
Zn(AgO2)2,0.4139
Er(HO)3,3.8085
LiNiF3,0.0
ErFe4B,0.0
Ca3GeO,0.0
NdF3,5.6229
NaVO2,0.0
BeTl2Cl,0.0
H2S,3.1514
NbAs,0.0
ZnSn2O5,1.0459
ZnF2,3.7701
YbAsO4,0.0
Cu2WS4,0.7872
Mg(CrS2)2,0.8981
Ba4SrCo,0.0
NiAsPd,0.0
NaAl3,0.0
Li7Ni5O2,0.0
SrCaSn,0.3217
YCdHg2,0.0
MnBe2Tc,0.0
Be2PtRh,0.0
BaCaMn4O8,0.0
BaTh3,0.0
ScNi2,0.0
ThB2Ru3,0.0
MnZnF6,1.9631
MgBeSi2,0.0
CaBe2Rh,0.0
K3Nb,0.0
RbErS2,2.3579
KBe2Sn,0.0
Li5Nb2Fe3,0.0
Cr2AgBiO8,1.3019
HfAs2,0.0
KRb2MoF6,1.9048
Ba2Si,0.0
Hf2CuGe4,0.0
Zn(CoS2)2,0.5814
MgVRu2,0.0
Li5Fe5(CoO)2,0.0
Y(SiIr)2,0.0
ScB4Os3,0.0
Sc2TcPt,0.0
Be2NbP,0.0
AgSbPd2,0.0
PrAsO4,3.9595
Li(FeO2)2,0.0
Be2Pt,0.0
Dy2CdSe4,0.5924
TbYRh2,0.0
BiTePd,0.0
Cu2GeS3,0.0
Li2SnIr,0.0
Ba4CaP,0.0
CeSi2Ir3,0.0
Ba2NaGa,0.0
Ba(BrO3)2,4.284
AlBr4,0.0
K2BeTl,0.0
Ho2NiAs2,0.0
ZrSnPd2,0.0
NaAgO,1.3858
NdCo2,0.0
BaAg2,0.0
BaAlGe,0.0
Be2Ag,0.0
BeReMo,0.0
LiCu3F7,0.0
Sr(GaAu)2,0.0
Ti2BeSn,0.0
HfGa3,0.0
Mg2BeFe,0.0
SrCaPb,0.39299999999999996
SrAl2B2O7,4.7263
K2NaGaP2,1.4397
NaRu3,0.0
ClO3,1.2206
Co5BiO2,0.0
NdTa3O9,3.3666
CaCr4O8,0.0
CaZnF4,5.4152
ThS,0.0
PmDy3,0.0
Ba9(NdS)2,2.1523
RbMgPO4,4.7755
NdCd2,0.0
BeRe2Bi,0.0
BaZn2Os,0.0
BaIrO3,0.0
KBeRu2,0.0
Ba(MgAs)2,1.1520000000000001
MgSn2O5,1.5992
KMn(SeO4)2,0.6522
Nd3Mg,0.0
Ti2MnIn,0.0
BeNi4P,0.0
UCo4Sn,0.0
Tb(CoSi)2,0.0
Th2Cu,0.0
Zn(MoO)6,0.0
K2ZnBr4,3.6819
Tl3AsO4,2.5815
Tb(CuS)2,0.0
Sc2GaRu,0.0
Rb3Ca,0.0
FePt3,0.0
EuIO,3.6446
Ba4SnSb,0.0
BaThBr6,2.8523
Li5Ti3O8,0.0
TbPb3,0.0
Dy2Be2GeO7,4.6009
K2SnO2,1.7789
MoAsW2,0.0
YP,0.0
RbCd4As3,0.0
Ba4IrW,0.0
K2Be2Co,0.0
Li2Mn(NiO3)2,0.0
Zr2ZnPt,0.0
DyGa2,0.0
KDyS2,2.3391
Rb2U3(IO5)4,2.1218
Na2VBAsO7,0.0901
Al4Cu2O7,0.0
MnNi2Ge,0.0
MgBeCu4,0.0
Pr2TlAg,0.0
YbFe2,0.0
K2SrV4O2,2.8306
Ca2BeBr,0.0
SbBrO,1.6989
Ba4HgOs,0.0
Sm3OsO7,0.0
ZrVGe,0.0
K2CuP,1.2482
Mg2BeNb,0.0
Ba2N,0.0
CoCuO2,0.6258
ErTlPd,0.0
Sr5P3O2F,5.6115
ScCuO2,2.4683
LiAlH4,4.2371
Hg2Rh,0.0
MgO,2.9944
TiInRh2,0.0
TbI3,1.6908
Tm2CdS4,1.1554
Pu3Sc,0.0
HPd,0.0
ErPt2,0.0
Nb4FeSi,0.0
TbTlPd,0.0
LiRhO2,1.5034
Ag3P,0.0
ScCrC2,0.0
NdCo9Si4,0.0
ZnPd3,0.0
YbAl3(B2O)2,0.0
SmZnIn,0.0
Th(CuSn)2,0.0
Li2MgTl,0.0
Ba4ReSb,0.0
TbMn2BiO6,0.0
PrRu2,0.0
TlAsRh,0.0
K7NbAs4,1.3187
Rb2LiInCl6,2.8517
SrTa4O,3.6193
LiCeSn,0.0
PuAl3,0.0
KCl,5.348
Li3Mn(CoO3)2,0.0
LuGeAu,0.0
UCuP2,0.0
La(MnSi)2,0.0
NbCo3O8,0.0
CaBeRu2,0.0
FeClO,0.0
BaLiIn,0.0
Ca2TlHg,0.0
Ba4CoBr,0.0
TiNiSb,0.0
BeTlIn2,0.0
BaTiF6,4.2841
Be2InTc,0.2858
YB6,0.0
PrSb3,0.0
Ba2CaTa,0.0
V3Si,0.0
Ba4GaPt,0.0
Ba2AlCu3O7,0.0
H2CO3,5.9416
Li4V3Ni3(WO3)2,0.0
Rb2ThF6,6.7545
AsSeBr,0.0
Mg(SbO2)2,0.0957
As2Se3,1.1358
B2Mo2Ru,0.0
Sr(NiSb)2,0.0
MnSnO3,0.0
Li3FeS3,0.0
LiMnPO4,2.0868
TlAu3,0.0
Sm2AlNO3,1.2319
Al2B2Ru3,0.0
HfZnO3,0.0
Y2TeO2,1.2354
CaCr2F2,0.0
YbCdPd2,0.0
Sn7Ir3,0.0
TaRu,0.0
Fe2B,0.0
Ga2Cu,0.0
BaIn2Pd,0.0
TaBeP2,0.0
KCrO2,0.0
TmAlCu,0.0
Sc2AlCu,0.0
NbPt,0.0
BeCdPb2,0.0
Sr6(RhO)5,0.0
GaAgO2,0.4541
Na5ReO6,2.3064
TiSnPd2,0.0
DySn3,0.0
AcGaTe2,0.5995
Li6WN4,1.7529
CaMgSi,0.0
Mg(AlH4)2,4.6643
Be2TlIr,0.0
Ba4P2O,0.9464
LiBeBO3,6.4989
YbBi2IO4,0.0
CaPmAu2,0.0
BaBrCl4,0.0
ErSeI,2.1941
K2NaAlAs2,1.2475
Ba4CoOs,0.0
U(CoP)2,0.0
BeInBi,0.0
BaAl4,0.0
Ca3(FeN2)2,0.0
Ba4CdPb,0.0
Na2MnAsCO7,0.3052
YNbRu2,0.0
NiSb2,0.0
B5Mo2,0.0
K3VSO3,2.9146
KNdGeS4,2.2719
Ba2VPb,0.0
HfPt3,0.0
Nd5AgSe8,1.4621
SmBi2BrO4,1.3685
PAuClF3,3.2509
KTe3O6F,3.107
NbSn2,0.0
ZrTi2Be,0.0
LiBePt2,0.0
LiNi(CO3)2,0.9358
CeSiRu,0.0
Mo3WS8,0.8579
ZrTlCdF7,5.1285
LuBr3,2.695
Ba4TlSi,0.0
ZrTe2,0.0
Mg3Sb2,0.2535
ZnCu2SnSe4,0.0
PrGaAu2,0.0
UO3,0.54
Sr2Fe2S2OF2,0.0
NdCd,0.0
Co2P,0.0
SmGaAu2,0.0
Li4Fe2TeWO2,0.0
Ag3SnP7,0.4472
CaCrF5,0.0
Sc2CuOs,0.0
Lu3BC3,0.0
WBr6,0.3401
ZrInPd2,0.0
NdRh,0.0
SrHIO,4.1168
Al3(Co10B3)2,0.0
BaZnP2,0.0
MnBeV2,0.0
Sc2CoRu,0.0
ZnRe2As,0.0
TbCuSn,0.0
PrMgTl2,0.0
Lu2AgOs,0.0
ReRh3,0.0
NaPrS2,1.9997
PrSbPt,0.0
Ho(GePd)2,0.0
TlV5Se8,0.0
Tb(SiRh)2,0.0
YSnAu,0.0
LiNiBO3,0.4427
Ba2SrNi,0.0
NaH2N,2.0595
CuAgO2,0.0
Re2O7,0.0
Ba3Si6N4O9,4.687
NdSiRu,0.0
ScTiRu2,0.0
BaLi2Cl,0.0
Sr(BIr)2,0.0
NdBPt2,0.0
SbCl4F,1.2156
Be2ReSb,0.0
Rb2Li2SiO4,4.3803
ScBeIn,0.0
ZrNi4Sn,0.0
Ni4W,0.0
Li2CaTa2O7,2.1717
LiTaBe,0.0
ErInRh2,0.0
MgCd,0.0
Ti2B,0.0
TaBe2Ni,0.0
KNd3,0.0
Sr4MgCo2(SO3)2,0.0
LuBi3,0.0
Y2Cl3,0.7059
MnTePd,0.0
Ba4HgIr,0.0
TiBeCu,0.0
Ho6FeSb2,0.0
SrAl4,0.0
Y4BeZn,0.0
Sr2CuTeO6,0.2466
SrBeIn2,0.0
Sc2GaTc,0.0
FeCo2Si,0.0
BePW,0.0
LiV6O7F5,0.0
Ba4CrCo,0.0
K3LiP2O7,5.3523
CrCdO4,2.0366
Hf2TcRu,0.0
MnCo3,0.0
SmMgIn,0.0
LiSi3Pd,0.0
Ta4FeP,0.0
Ni2Ge,0.0
DyMgIn,0.0
MgAgAs,0.0
SiSbPt5,0.0
BaNaB9O5,5.5613
DyScSb,0.0
ReAsIr2,0.0
Ba2TbIrO6,0.0
BaCoO2,0.0
TiZnF4,0.0
UAl2Cu,0.0
DyFe2,0.0
Y4Ga2Pd,0.0
P2Ru,0.5142
YbPmAu2,0.0
BeNi3,0.0
Li3Cr(CoO3)2,0.0
FeCu2Sn,0.0
KTbS2,2.369
Ho6WO2,0.4718
K2PaF7,4.3431
RbCoCl3,0.0
NaBiO3,1.0482
Ba2ZnPb,0.0
Be2NbSn2,0.0
Tl5Se2I,0.7734
LiCa2Sn,0.0
SrSbPt,0.0
Nd2SnS5,0.0
NaNdAu2,0.0
NaTcAs,0.0
PmMgZn2,0.0
FeAsS,0.6584
LiBeCd,0.0
LiV2O5,0.1429
Ba4GaSb,0.0
AlCoO3,0.0
Sm(SiNi)2,0.0
CaGe2,0.0
CaGa2,0.0
BeTlCr,0.0
TiBePt2,0.0
Te3Mo2S,0.2656
Li3AuS2,2.1259
AgPbO2,0.2025
YbZn2,0.0
BaCu2Ir,0.0
BaPb2C2(O3F)2,4.2332
K2RbAs,0.8548
Hg(AuF4)2,1.7227
BeCd4Mo,0.0
BeCdOs2,0.0
Ba2TiCl,0.0
Li2CrNi(PO4)2,0.0
BaInCl,0.0
Mg2Si,0.0
HfMgHg2,0.0
YInPt2,0.0
USnAu2,0.0
Mn2BeCl,0.0
TiBe2Sn,0.0
Er2Mo2C3,0.0
Li2VCo3O8,0.3382
SrZrCo,0.0
Nb3N5,0.7465
YBe2Cu,0.0
CsCeS2,0.0
NaBeV2,0.0
Pr2S3,0.8149
Li6PS5Br,2.116
Ce3Zn,0.0
NaAuC2,1.5238
Ba4ZrGa,0.0
TiGePd,0.0
LiBeV2,0.0
N2O5,0.9314
HoNi2,0.0
Tm2CuOs,0.0
BaGa2B2O7,4.2093
BePSe,0.0
NaLi2B(PO4)2,6.2051
YbLuPt2,0.0
Na2Se,2.1726
AcMg5,0.0
MoW(SeS)2,0.644
B2S3,1.3311
ScAl2,0.0
Sr4As2O,1.2211
BeBiPt,0.0
Li2CrCoO4,0.0
AsCl3O,2.3257
BaCa2I6,3.2653
Sc(AlC)3,0.1125
LiTi2Be,0.0
MnH4(CO3)2,1.0613
TiTc2Sb,0.0
GeCl4,3.7439999999999998
Pr3TlC,0.0
MnBe2Cr,0.0
TlAsOs,0.0
Y2Si4Mo3,0.0
Ni3(BiS)2,0.0
MnCo2Sb,0.0
Zr4Al3,0.0
PrSb,0.0
Ba4VMo,0.0
Ba2SnHg,0.0113
ZrFeCl6,0.0
ErCoSi2,0.0
Mn2BeRh,0.0
ScPRu,0.0
BaNa2Mg(PO4)2,5.3139
Rb2BeF4,7.3097
BeV2Se,0.0
Li2V(CO3)2,1.047
Ti2AlFe,0.0
MnAlFe2,0.0
NbPbS2,0.0
Tm3AlC,0.0
SmAs3,0.0
HfZn3,0.0
Mg2AgPt,0.0
K2BaBe,0.0
Li4Mn3Fe2(CuO2)3,0.0
LaBeW2,0.0
Er5NiPb3,0.0
Ba2YZn,0.0
LiAlO2,4.9632
BaSc4Mn,0.0
Yb2ZnGa,0.0
CeSe,0.0
BaH2O3,0.0
Lu2Sn2O7,2.8162
Be2BiRu,0.0
VO2,0.0
Na3YBr6,4.2742
CeCdAg2,0.0
KFeF3,0.0
Zr5Al4,0.0
Ti3Mn2(CoO2)3,0.0
HgNO2,1.7951
Li2BeSiO4,6.0278
ReO2,0.0
K2TeOF4,4.817
ThTe3,0.41700000000000004
YbGa4,0.0
CoF2,0.0
Sb2TeSe2,0.3997
BeTl2Se,0.0
SrCuP,0.0
LiBeO3,0.0
ErInNi4,0.0
TbH3(CO2)3,4.2483
Te8Rh3,0.0
LiCuS,2.0042
EuMoClO4,2.6166
Ga2RuPt,0.0
Be2InCo,0.0
Nd3CoB4,0.0
Be2WBr,0.0
SmDyRh2,0.0
LuIr,0.0
NaSc2Be,0.0
BeMo4W,0.0
Tl4CrI6,0.0
NdRu3,0.0
AgBiSCl2,1.0935
NpSb,0.0
SO3,5.3538
TaCoSn2,0.0
Cd(GaS2)2,2.113
CeCo2,0.0
SmSnPd2,0.0
Be2IrRu,0.0
Ba2TiTe,0.0
Ba4TlTe,0.0
TaVO4,0.0
ThFe2SiC,0.0
SmSiRu,0.0
YI3,2.676
KBaMn,0.0
Be2CdNi,0.0
Er2Ru2O7,0.0
Al5CuSe8,0.7348
LiHfPd2,0.0
BeInCl,0.0
Ni3SnN,0.0
CrReO4,0.0
BaMnBr2,0.0
V2HO4,0.0
Dy(SiNi)2,0.0
BaFeOs,0.0
Ba2PdF6,1.7458
LiNbO2,1.5802
Ti2InFe,0.0
AlTeI7,1.7737
PrTlO3,0.0
BeNbCo4,0.0
Li2BeBi,0.0
SrScBe,0.0
Li2CrS3,0.0
BaNaLi2,0.0
Ba2Hg,0.0
Ca2SbAu,0.4263
MgSiIr2,0.0
BiTe,0.0
LuThRu2,0.0
Ba2MgCd,0.0
YPt3,0.0
BaNaCl,0.6352
Li8PtO6,2.2448
Ba5As3,0.0
Nd(BRh)4,0.0
Be2MoRu,0.0
Be2Mo,0.0
MgVBiO5,2.9858
ZrBRh3,0.0
K2SnTe3,0.8299
Ba2YNi3O7,0.0
Li2CeAs2,0.7062
Al2Sn2O7,1.3204
RuC4(O2F3)2,0.2618
RbTiS2,0.0
ZnNiPd2,0.0
MnAlRh2,0.0
RbAc3,0.0
MnBeCu2,0.0
LiNd2Ir,0.0
BaNdFe2O5,0.0
PuFe2,0.0
Rb2O2,2.177
Mg(NiO2)4,0.0
Ba4CaOs,0.0
Mn4CuO8,0.0
BeFeMo2,0.0
TmGaRh2,0.0
KBaP,1.2182
HfMoAs,0.0
Tb2AgIr,0.0
Zn3Si3(BiO)2,1.956
Sm(SiPt)2,0.0
CeMnNi4,0.0
Li2Co3NiO8,0.0
SrGeO3,3.0204
Cr3Sb(P2O3)2,0.9441
CuBrO2,0.3831
Si3N4,3.5585
KPF6,7.5551
ZnCoO2,0.0
ZrCd2H2(O3F4)2,4.5429
InHg,0.0
Zr2InNi2,0.0
Sr2PrO4,0.0
Lu2CdAg,0.0
AgCNO,3.1803
BePb2Cl,0.0
K4CO4,1.951
Mn(CoO3)2,0.0
NaBeSb,1.1949
Ba4ScMo,0.0
IClOF,1.8459
YNi4Au,0.0
Y2CuAu,0.0
BeInPd,0.0
Ca6Al2NF,0.0
B2(CN2)3,1.4282
U(CuSi)2,0.0
K3MnH5,1.5149
Ni5Sb2,0.0
MgTe(PbO3)2,2.4069
Ba3Ta2CdO9,3.5846
Tl2Au4S3,1.1396
BeCrO4,1.9725
Mn3AgN,0.0
Ba2MgSb,0.0
USO,0.0
SmLuRu2,0.0
ErAu2,0.0
Be2CoPd,0.0
SrLuCuSe3,1.2408
Sc2TiTl,0.0
Be2VCd,0.0
Sn2Rh,0.0
Cr4Cu3O2,0.0
K3Ag3As2,1.186
MgTi,0.0
Nb4CoP,0.0
Nd(GePt)2,0.0
RbMoO3,0.0
PrPd2,0.0
Ba(AlGe)2,0.0
Ba4VW,0.0
YGa2Ni,0.0
SmAs,0.0
CdSnSb2,0.0
CrTe,0.0
Fe3OF5,0.0
LiTl,0.0
Ba3(AlGe)2,0.0
TiFeO3,0.0
NaPrSe2,1.7801
TiBeP4,0.0
Zn3Sn,0.0
Al3Tl,0.0
Li5BiS4,1.5766
CdPd,0.0
Ba2Fe2S2OF2,0.0
RbPS3,1.7006
LiFe(CO3)2,0.6895
Pd3Au,0.0
B2Mo,0.0
Zr6Co23,0.0
K2O,0.3513
Be2InNi,0.0
LiCrO2,0.992
Sn(BiTe2)2,0.4646
Li2Ti(CoO3)2,1.0752
SbO2F,1.4580000000000002
Li4Mn3Sb(P2O3)2,0.0
Ho2Al3Co4,0.0
BaSi2Br,0.0
SmTlTe2,0.6486
Li8IrO6,0.0
Ba2SrWO6,0.593
Ca5Ge3H,0.0
GaP,1.2631
HgPt,0.0
Li4CuNi3(P2O3)2,0.0357
Sr4P2O,1.2212
LaFeAs,0.0
MnAlAu2,0.0
BeCoBr,0.0
LiMnNbO4,0.0
TlBTe2,0.0
SnCl4,3.0066
ZrBeCo4,0.0
BeVCu4,0.0
Li2HgPb,0.0
Be2HgGe,0.0
Zn3B,0.0
SnBi3,0.0
Ca4BeRh,0.0
Ce2C(NO)2,0.1469
Ba2Ru7O8,0.0
Be2NbSe,0.0
CaZn2(PO)2,0.0
Co2MoS4,0.0
Cd2GaAgS4,0.9947
Zn2GeSe4,1.3261
BaZrN2,1.0919
LiNiO2,0.0
Ba4MgSb,0.0
KBaSiHO4,4.2254
Ba2RuO4,0.0
Ti2VS4,0.0
BeMoCl,0.0
CeP5,0.0
BeCd4Se,0.0
ZnCr(SiO3)2,0.0
CaTcN3,0.5872
BaErAgS3,0.9813
Tl3Ge,0.0
CaN,0.0
Sr3InP3,0.8190000000000001
Li2GaAu,0.0
Rb8NO3,0.0
TiZn,0.0
Ba4OsCl,0.0
ScAsRu2,0.0
LiSc2Ir,0.0
Ti2CoRe,0.0
TiCu3,0.0
MnBe2Ni,0.0
YbBiAu,0.0
K2P3,1.0535
Ca2Mn3O8,0.8754
PrPIr,0.0
NdBiO4,0.5907
Ni2AsCl,0.0
GaCuI4,1.5166
K2NiF4,0.4155
VO2,0.0
SnH4(NF)2,3.1384
SrFe2(Se2O)2,0.0
Na2GaPCO7,4.1007
Ba2LiSn,0.0
Pd4Se,0.0
TiCl3,0.0
Ba4RuPb,0.0
K2Bi8Se3,0.9506
ZrPt3,0.0
Ba4NiPt,0.0
Mn3Fe,0.0
LiV2O2,0.0
Ba2YSbO6,3.8636
Li2NdGe,0.0
SmHgAu2,0.0
NClOF4,1.9217
KMn2Be,0.0
KAgO2,1.2329
BeNbRu2,0.0
TbZr,0.0
MgGeN2,2.8538
YMgTl,0.0
BaCo2Cl,0.0
KV(CuS2)2,1.0688
BaYSb,0.0
Ag3PSe4,0.3767
CeGa2,0.0
K2ReBr6,0.7128
Sm2PdRh,0.0
CoReB,0.0
TaAsIr2,0.0
Ca(CrS2)2,1.2131
Ba4PBr,0.0
RbNaSi2O5,4.7965
Rb3NaBe2F8,7.1831
YPt3C,0.0
BeGaO3,0.0
Dy3MnB7,0.0
V3Au,0.0
LiCuPO4,0.0
ThGa3,0.0
VF5,3.1062
Al3Pt5,0.0
TmMoClO4,2.4965
