pretty_comp,encut
CaVO3,800
FeCuO2,850
Ca3FeRhO6,1250
ZrNiSb,600
LiV6O7F5,1250
Sr2BeRh,1000
Sc2CdTc,1050
Np(FeSi)2,800
Pr2O3,1200
TbSiIr,500
K2CrH2F8,1250
NaSe,500
MnPH6NO5,1250
Li2CuSiO4,1250
NiPRh,750
Li4VFe3O8,1250
Rb2Se3,500
Ba4InCo,600
GeS,600
NbS3,750
Ce(AlGe)2,1250
Sr3Co2Cl2O5,1150
Er2CdIn,500
Li2BeIn,800
K2BaCdSb2,500
Ba2YF7,1250
Mg2NiSbO6,1250
Sr2Ta2O7,1250
Na2BeFe,600
BeTcIr,1000
Li5CoO3F,1350
CaHCl,600
HfMo2,500
LiMnOF2,1250
WS,600
Tb3(CuSi)4,950
Tl3AsO4,1200
BiF3,1250
CuAsW2,650
TaBe2Nb,1000
InCuRh2,650
Li6FeO6,1250
Ti3PO7,1250
Mo2WS6,650
Na2Nd2Ti3,1250
CdGeP2,500
Li4Fe3TeO2,1250
TbCuPb,850
NaEr3,500
BaNdO3,800
TmNbRu2,500
AgClO3,1300
CeC2,700
LaCuO2,1600
ScS2,600
Lu2Fe2Si2C,850
CeCoC2,850
TmPt3,800
NbNiAs2,700
InSb2Se4Br,550
Re3Sn,750
Sc2C3,950
BaGaSb2,600
KBa4Mo,500
UCrC2,950
LaBe2V,1850
Li4Mn3Fe2(CuO2)3,1250
Rb2Li2GeO4,1250
AlN,900
NaV2O5,1250
AgCNO,1100
Na2Al2As3,1300
Fe2GeO4,1150
CaTiF6,850
Ti2CoSe4,600
NdCo4B,950
ErCd3,650
BePdBr,900
CO,1200
Ba4LiSb,700
FeP2O7,1250
Ag2O3,850
ErCoSn,600
Y2IrRh,550
PrGeAu,550
Sc3CoC4,900
Sr3LiIrO6,1250
KMnCl3,900
SrBeCl,950
Er(AlGe)2,500
TaBeZn2,600
LiBF4,1250
Ba4TlIr,600
ThSO,800
PuC,800
GaIr,500
Y2(NiB2)3,700
BaAg2GeS4,650
LiNiOF2,1450
Rb2Al2B2O7,1900
TiZnN2,950
Np2InPt2,750
BCl(OF2)2,1250
LiCa2Mg,750
BeZn2Mo,600
TiGaNi2,600
SrCaI4,500
DyTaO4,1200
AcTlAg2,500
Zr2Au,500
CaTi4Cu3O2,1250
AgHO2,850
WSe2,500
SrBeCl,950
Sn2IF3,850
GaSnRu2,500
CdNiP,600
SmAs,500
TlCd(NO2)3,1250
SbS2,600
Hg(SbO3)2,1200
Bi4Te7Pb,500
Er6Te2Ru,500
SnAsRh,500
K3Ir,550
HoErAl2,500
MnCo,500
HfGaAu,550
Dy3Co,550
InS,600
Na5Co2S5,800
TmNiGe,750
Pm2SnPd,500
Mn2SiW,500
PrSmMg2,600
Hf2MgBe,800
Sr7(HCl)2,900
Na5CrO4,1200
SrReN3,1250
MgTiF4,1200
Si2O5,1250
Cr3O4,1200
NbH2,600
Y2SO2,800
DyHg,500
Sr3(AlGe2)2,750
Li2Ti3FeO8,1250
Fe2AsSe,700
MgBiPO6,1250
P2PdO6,1300
DyBi2BrO4,1100
Np3Be,800
HfAsIr,500
NpAs3,700
Ba2HfTe,600
RbYbO2,800
AgBiSe2,550
K2BeNb,950
MgScBe2,1000
Ba4VSn,600
Dy(Ni2P)2,700
Li2UO4,1300
Ni3S2,700
Zn3P2,700
Li9(CoO4)2,1300
Al6Cd4TeO2,1250
Be2Ag,1100
NaCaBe2,1050
LaF3,2000
Tl2CuAsO4,1200
YbSmPd2,500
HfMoP,650
BaSc2Ni,600
KAgBr3,650
AlCu,600
K2NaFeO3,1150
Ba4NaSn,700
BeGeRh,650
NdBrO,800
MnSnRu2,500
HfBeBi,950
Ba2YZn,600
Tm2MgIn,600
HfBe2Fe,1000
Li(MnS2)2,800
AgTe4Au,550
HoSiIr,550
SrZrO3,800
Li4Ti5(FeO2)3,1300
Pm2ZnSi,500
Ba2YSb3O8,1250
Cr2AgBiO8,1100
KAuO2,800
Re2C,850
Be2IrRh,1050
TaGaNi2,600
Sr2SnO4,1250
Li4BeOs,1200
Hg2P3Br,500
RuN,800
CaSbRh2,600
BaScSb2,500
Ba2YCo3O8,1250
NbGaRu2,500
Be2FeCl,1000
Sm(AlZn)2,650
Ba2InNi,600
Ba4RhW,550
ZnRhF6,850
SmBr,500
HfSiRh,650
BaCaSi,750
Be2P2O7,1300
KBeCd,1000
Li5ReN4,1300
RbHSeO4,1300
TbTl,500
CaY2O4,1200
NdI2,500
Li2Ti(BO3)2,1300
BaHf2Cl,600
CaAlAu,650
Li2SiSnS4,800
PdAuO2,800
Sr(Ni2Sn)2,1950
Sc2CdAg,600
Na2MoO4,1250
Nd(MnSi)2,650
Tb(HO)3,1200
Be2InPt,1050
LiBO2,1300
YP,500
LiV2O5,1250
Na2Te4MoO2,1300
NaSrO3,800
Ti2TcIr,800
LiHf2Tc,750
Ca(SbO2)2,1200
LiRuO2,1200
Sm(BRh)4,1200
Li3TiCo3O8,1300
Dy2TeO2,800
Be2ZnCd,1050
LiNbFeO4,1250
Be2Re,1100
BeFe4Ir,750
YCoF5,850
Rb4CO4,1100
TiCdAu2,600
Nb2ReO8,1250
TiPRu,600
BaNi2Br,600
SrSn(BO3)2,1250
CaBeFe2,600
Yb2ZnRh,500
YNi4Au,650
BeGeIr,650
Ba2YCr3O7,1200
HfZrTc2,1050
BaTcCl,800
Si3CCl8,700
KBeGa2,650
Ag2Cl3,900
Ba3NaIr2O9,1300
Ta2BeCr,1000
TbC2,900
BeCo2Pt,800
Ta(BeIr)2,1000
PdS2,850
BaSi2Br,500
Ba4MnOs,700
Nd(BOs)4,800
Sr3CuPtO6,1200
NaHCO3,1300
NdCoP,600
PaNi2Sb,650
Sr2NiTeO6,1100
BaTi2Ga,550
Mg3Hg,1050
Pm2SnHg,500
AgAuF4,1100
Zr6Al6Pt7,1100
U7Te2,600
TiBr4,650
KMn(SeO4)2,1250
LiFeRh2,600
AlPPt5,850
NaCl,600
CaCN2,950
Al2Si4O,1300
LiBe2Bi,900
LiTcO3,600
ZrCu,600
Na3ScF6,1250
Ta2O,800
TbTe,500
MnBe2Tl,1050
NiI2,600
HfBeRe2,650
Be2CoPd,1000
RbAuC2,900
Ba4SbPt,600
RbTl2Bi,500
Co3(SnS)2,650
SnPbF4,1200
K2O2,1100
Li2CeTl,850
HgBr2,700
YWF5,850
BeVIr,1000
K2BeGe,650
YbIn2Au,600
Ce3Tl,1400
BeVOs2,650
InCl,600
NaMgBe,700
NaAsP,500
ErSCl,600
BeNbP2,700
BeTcW,1000
Cu4O3,1000
BeTl2Ga,650
TiBe2Pt,1000
NaSnPd2,500
Be2RuAu,1050
ZrGaNi2,550
Be2MoCl,1000
Ba2YbTaO6,1200
Li2CuNi(PO4)2,1250
DyB2Ru3,550
Ba2CrIn,600
Li3Be,800
BeTcNi,1050
Fe(PO3)3,1300
HgMoO4,1200
Nd2O3,1250
ErTa3O9,1250
CeMg2Cu,850
HfNbP,800
SrLi4N2,1300
Rb2HgTe,500
BaYIn,500
V3(As2O3)2,1300
ZnPd3,500
KCaNi2,600
K2S5,650
Ba2Mg7,1100
YbAu,500
K5V3F4,1300
TiI,500
Ba2CdBi,550
Li5CoO4,1350
Ca2Mo3O8,1250
Na3BN2,1250
Li3Re,500
LiFe(SiO3)2,1250
Y4SiS3,600
Yb(FeO2)2,1050
K2ErF5,1250
TbSb,500
TiAgSe2,500
Sr3Lu,500
VZnF4,1150
HfAlIr2,500
CdBiClO2,800
NaCNO,1050
CaCr2O4,1150
BaNa4O3,1200
Th(CuSn)2,950
Sc2AlCu,600
Sm2Mg,650
LiInAu2,750
LuPaTc2,1000
Be2NbBi,1000
Te2Rh3,650
CaTiO3,850
BaSiO9,1350
Ca(SbO3)2,1250
Cr3S4,1050
Dy(HO)3,1200
TiBe2Pb,1050
LiSbS2,800
Li4Mn2Cr3(CoO2)3,1300
CS4,1050
Li2CoBO4,1300
PrGaO3,800
LaScSi,1900
Ba2TbIrO6,1200
U2FeS5,650
Tb6Br7,650
CaCdSi,500
Rb3Nb2Br9,700
Rb3Sb,500
IrW,500
PrMgCd2,600
KZnF3,800
BeGa4Tc,1000
NaTaO3,1250
Fe9Co7,1000
HfVGe,650
VS,600
Pb2O3,800
BaCO3,1200
TiCl3,850
Li2CrSiO4,1250
Ti5Ga4,750
CaBiF6,850
Ba4TiZn,650
BaNa2V,700
Sr2CaUO6,1250
Dy2PbS4,600
SrCd2,600
Ce(PRh)2,1350
BeTc2Ru,1050
Mn2CrO6,1200
Cr3Rh,550
Er3(In2Co)2,600
MnBeSn2,600
Ba2YMn3O8,1200
Fe(NiSe2)2,600
Dy2IrRu,500
Y3Sc2Al3O2,1300
RbSmO2,800
Zn2CoN2,950
Be2RhCl,1000
MnPd2Au,550
InPH2O5,1250
MgBeSn,650
SmSi2,500
HfC,800
LiNi2Sn,650
GaNiRh2,600
LiVF4,1250
Cu3Sn,950
HoPd2,500
V3Cu,650
Rb2SiAs2,500
Ba4CrMo,550
Mn2Al4Si5O8,1300
Nd(CuSi)2,650
LiBe2Pt,900
Dy6FeTe2,550
SmGa,500
SrAgAs,500
Dy2AgOs,500
RbAu(SO4)2,1250
TbGeAu,550
ZrBe2Pb,1050
K3Bi,550
Sb3O4F,1250
La2MgNi2,1100
V2NiS4,600
BeRe2Pb,650
KCuCO3F,1250
BeSb2Pt,850
PrSb,500
BeAgW,950
ScGa5Co,700
Sm9Ga4,600
Sm(ErS2)3,750
Dy(SiRu)2,500
NbCo3O8,1300
SnBi3,550
Yb(SiAu)2,550
AgC,500
Ag2S,500
HoPb3,500
Co5CuO8,1200
MgAlIr2,700
Ba2DySbO6,1250
H2CSO4,1300
AsIrOs2,600
Cu2PdAu,650
LuAlGe,500
NdCu5,950
CaZnSn,700
BeBiMo,950
Na3VO3,850
LiVFeO4,1250
Be2VRe,1050
Ba2HgS3,650
MgCoPO5,1250
SrMn2Si,650
Li4PbO4,1300
TbO3,800
ZrSi,550
IrC,800
HfCr2,600
Mg2H6Ru,600
Pr2InAg,500
LiGaCl4,1250
Ba3Fe3Se7,1000
NaCdIn2,500
MgPd3,850
Cr(GaS2)2,650
Nb3O7F,1200
YBeZn,950
Tm2CuRu,650
MgSn2O5,1250
MgBe2P,950
Be2GaOs,1000
CBrN,1000
Hf2Hg,500
BaNaTl2,650
Sr(H2N)2,950
SBr,600
AuN,800
Cd(GaTe2)2,500
LiNbIr2,550
GaFeIr2,500
CrNiO4,1150
TiPtPb,500
FePt3,600
Ca(Ti4S3)2,650
YGa,500
CaPdF4,1200
ThB2Ru3,550
Mn(BeCl)2,1050
MnGePd,1050
Li2NbS3,1250
Ba2YbNbO6,1200
Ba4CrRe,600
LiMoO2,700
SrMg3,1000
Ti2InFe,700
YbCo2,550
TaGaCo2,600
Ba3PrRu2O9,1250
LiMnFeO4,1250
Sc2AlHg,500
ScTaTc2,1050
SmBiAu2,550
Be2HgW,1050
SnCl4,850
SbRh,650
BaZn5,750
Li(VS2)2,800
AlTlSe2,500
PrNdO2,750
Rb3Hg,500
SmAl2,500
Cr3Os,600
NbZnRh2,500
LiCaTl2,750
LiCu3,950
MgAs,650
CaZrGeO5,1100
BaNa2Tl,700
Rb3Ga,500
Sr3BPO3,1250
Ba4MgPb,550
Hf4BeIn,1000
ScGa2Ru,500
CrRh3,650
LuMgCd2,650
Cu(HO4)2,1350
Ba2SrIrO6,1150
Ba4SiTe,650
ThSiO4,1200
PrIn,500
Pr2UTe4,550
LiBeTc2,1000
Lu(CrSi)2,600
UCo2,550
K6CdTe4,600
TbPt,850
Tm2CdS4,600
YbIr,500
MgCdAu2,650
KHoS2,600
ZrCrF6,850
Mn(GaSe2)2,650
KNdTe4,500
ZrBe2Sn,1050
TaPt2,850
BaPr2CuO5,1200
Zr3Cd2,650
Hf2ReOs,650
V4S9Br4,1050
TiP3,500
Zn2CuRh,550
SiHg3,550
LuMgHg2,600
LaS,1350
Pr2CuIr,650
Be2NiBr,1050
TbGaPd,900
SmBiRh,650
KSnPCO7,1300
BaAlSi,500
Yb(NdS2)2,600
PbCO3,1350
SrO,700
Ca(Fe2Sb)2,950
K4V2O7,1150
BaCrF5,1250
SrNd2O4,1150
BeSnBi,650
Ba4CoMo,600
K2RbSb,500
LiLa2Os,1500
Nd2Ti2O7,1250
Tc3N,750
ZnCr4O6,1200
Sm2MgTl,650
BaSrNb,500
TiGePt,500
CaGa3Ni2,600
Be2NbW,1000
AlSn,500
RbS,550
ReTe,600
Na2TlBi,700
Ho2OsRu,500
TlCu4S3,950
Ce3Mg,1800
Te4MoW3Se4,800
Li5Nb2V5O2,1250
Yb2Nd2O5,1150
KBe2Tc,1050
LuNiBi,600
HfCo3B2,1000
K3Rb,550
NaC2N3,1300
SmAu,500
Ba4InGe,650
LiNiO2,550
Mg2CuSbO6,1250
TlBSe3,700
Tm3PbC,800
NaGeSbO5,1250
SrMnGe,700
Na3CrBAsO7,1250
Yb(SiRu)2,500
TaRu,500
BeFeNi2,650
HoNiO3,1450
Na3Co2SbO6,1200
Al3Mo,550
TbSnPd2,500
Ca2YBiO5,1200
Yb2Sn,550
BeSiRh2,650
CuCSN,1000
Tb2Tl,500
Sc3SnB,600
SrCdSi,500
Sm3Ho,500
Y3Tm,750
V3Pt,500
Nb3Fe,550
Sr3In,500
BePdPt2,1000
Na2BeRe,600
CaBeIr2,950
HfPd,500
ZrPbO3,750
ThTeAs,500
Be2GeP,1000
Cu2H3ClO3,1200
NaYbAu2,550
TlPd3O4,800
Be2GaW,1000
Er2Te5O3,1300
CrO2,800
LiTiBe2,900
Mg3Nb,750
Li8CoO5F,1300
ScGa,500
MnTe,650
Na5Pb4,950
MgTc2As,800
Ni2SbTe2,700
CaGe2O5,1250
MgBe2Sn,1000
Be2CuIr,1000
ErTaRu2,600
TcN,900
LaPd3S4,1000
K2NaBe,650
NaVS2,600
YRu2,1100
RhSe2,800
Al2FeIr,500
CeAl4,1200
Mn2Au5,550
ZrBe2Fe,1050
Lu2OsPd,500
Ba4ZnBi,650
BeOs2Ru,650
Ba4MnW,650
TcTeAs,750
Ba4ZrV,500
ZnMo2O5,1200
BeZn2Fe,600
Co2Mo3O8,1300
TaCoSb,500
Ho3Hg,500
BeOsPb,650
EuGe2Ir,700
Pr4Ge3,700
Te2Mo3WS6,650
Ta4BeTe,950
CrN,850
Ba4ZrTi,500
Hf2N,850
Pa3Zn,600
Dy5Sn3,600
HfInAu2,550
MnGaPt,500
LuAsO4,1200
BaZnIr2,500
LiTiPt2,750
NdHoIn2,550
Tc2P3,1150
CrSi2,650
Ce(SiPt)2,1300
Zr2Fe,500
Zn(GaS2)2,650
Ba4NiSb,550
Ba2YV3O8,1200
Be2TeP,1000
Li7Cr5O2,1300
K3AlH6,700
RbSmTe2,500
NbN,800
TbBi5O9,1200
RhPb,650
Rb2Hg2PdCl8,850
Ba4CdRh,500
ScHg,500
Ba2YV,500
Al2ZnTe4,500
Al3Cu,600
CaMn2O4,800
Cd2Hg,550
Zr6Al6Os7,1150
BaCdIr2,500
SmGeRu,500
Mg(FeN)2,950
HfBe2Ir,1000
Sb2Au3F8,1300
Li4Al3Ge3IO2,1350
Tm4InRh,650
BaSr2Tl,500
MgSiAs2,650
Tb4CdCo,650
Ba4SbOs,650
CdAsPd5,900
ScCo,500
Ba4TcGe,550
Zr5Sb4,950
MgNiH2,550
LiAg3,850
ZrBeCl,950
LiTiSiO4,1300
P4PtF2,1250
DyAlO3,1150
Al2(BiO3)3,1250
Nd3PbC,600
BaCdTe,500
Hf2FeOs,700
BaSrSc,500
Zn2SeCl2O3,1250
Zr2BeCr,1000
Rb2Se,500
NdNi4B,900
BeSi2Os,650
YCuSn,650
Li3BrO,1200
MnBeCd4,650
ThSnPd2,500
K3Nd(AsS4)2,750
LiAuS,1200
LaBe2Cd,2000
FeN,850
Rb2SnCl6,800
ErAgSe2,850
TiAl2O5,1250
Be2FeNi,1000
BeTl2Ge,650
RbLiSe,800
Ba2CaNi,550
SrPdF4,1150
Pr3SiAgS7,850
Ga3PO7,1200
TbHg,500
MgBeTc2,1050
ZnWF6,850
YbTmHg2,550
B3Ru2,750
SrLi2Tl,750
BeGa2Br,650
Li2NiBO4,1250
PmBiRh2,600
YV(WO4)2,1200
TmRh,500
BeTlTe,700
ScInIr2,500
Sc2MnC,800
YbAg2,500
ZrBeRh2,1050
HfP,600
NdI3,500
Ti2BeMo,650
TaMnAs,500
LiPH2,750
ScBeCr2,1050
SrZrBe2,1050
BaTaHg,500
Ba2TlTe,600
KBe2Cu,1050
K2SnCl6,800
CaSnRh2,600
Ba2LiOsO6,1200
LuOs3,750
YFe2,750
Ba2AlV3O8,1200
ThAu2,550
Pr2Co2I,500
MoF4,850
YNbO4,1200
CuSnAs,550
SrCrRh2,650
Ba2SnCl,600
Nd2IrRu,600
Li2YbPb,800
K2TeO3,1100
DyHO2,1100
TlPPbS4,650
Ba4CaV,550
LaB2Ir2C,1150
BaNaSr2,500
Ni3S4,650
PmCdPd2,850
Ca4Cl6O,850
BePdRu2,1000
Pm2IrPt,500
Pr5NiPb3,700
Th2Al2C3,900
TlCoCl3,800
Y(CuO2)2,1150
Ba4TiPb,600
AsRu2Au,600
Li4Ti3Co3(NiO3)2,1250
CIF7,1300
NiH2SO5,1250
Y2Pt2O7,1250
Hg3Pd,550
BaAsAu,500
Ba4CdTe,550
Te2Mo(WS2)3,650
SbOF,700
AsRhW2,600
Ba(NiO2)4,1100
Ba2CrCd,500
BeP2Rh,700
UTa2O8,1200
Tm2NiAs2,600
LiSc2Tl,750
MoF6,850
ScGeRu,1050
LiAlAu2,750
Ca2Sb3O8,1250
BaNaCd,500
Sc3Tc,1100
Li4Ti2V3Cr3O6,1300
BaYCd,500
ZrBe2Ru,1050
Li2SmIn,750
KH8N3,1200
BTe2As,500
NbSeBr3,700
Sc2CCl2,750
Li2GaPd,800
BeFePd2,950
BaSrCl,600
TmGa,500
P4Se5,1500
ZrFeF6,1150
BeVCd4,1150
LiAuS,1200
Al2HgO4,1200
CdSnO3,800
SrOsO3,850
Li3Co(OF)2,1300
MgF2,750
TbCuAs2,850
Li2InRh,750
AlSbO4,1150
TiBeTl,700
Be2SbPt,1000
Ca(AlGe)2,500
Ta2Sn2O7,1250
BePb2S,700
Sr3AlO4F,1200
Tb(Fe2P)2,950
LaBe2Pd,2000
YbHfIr2,500
Li2CuSnO4,1250
Li2GaAg,800
ScSnPt,500
MgSO4,1250
K2NiF6,750
Be2CdNi,1050
TmGaO3,1250
ErCdAg2,550
Cr3Ru,550
LiGa2Ni,700
Nb3PbS6,800
ScGaO3,1250
Ca2PrO4,1150
Bi2Se3,500
FeCN2,1050
BePdPb2,1000
CaMgSiO4,1300
Er2FeSi2,800
Tm5Sb3,500
Ba4VPt,600
EuAl4,500
InPbCl3,750
K4MnCl6,850
Ba3Ho2Cu2Pt,1250
BaCaCr4,500
VZnF6,750
RbAuCl4,850
Li4Mn(OF)2,1300
AlO3,1150
YbPm3,500
TiCoSn,600
Si3CCl8,700
SrTa2Bi2O9,1250
DySiIr,550
Ba2BiMo,550
K3NaCr2O8,1200
Be2HgP,1000
NaRe2As,600
MgMnBe2,1000
MgNi2Sn,650
GaAgO2,800
FeO,1200
Tm3Si,500
LiCaRh,500
YbSn2Pd,600
Dy(MnGe)2,700
NdY3,550
CaTaTc,800
Nd2MgAl,650
PrBi2BrO4,1100
YbB2Ir3,650
Fe3W3C,1400
Ba4TiIn,600
ReSeCl,900
Ba2PdO3,800
Sr2FeSO3,1200
Rb3TaS4,900
Ba4TlV,600
CoCu2Sn,650
U2AsN2,900
LiYbGe,800
TcMo2As,800
GaS,600
AsCl3,850
YFe4Cu3O2,1450
CaReH4ClO6,1250
BeP4Ru,650
LiAlPt2,750
MgBe2Sb,950
BeSiAs2,1000
CeSiO4,1050
Mn2FeO3,750
Li6MnF8,1250
Zr2BeW,1000
TlInSe2,550
ScC,800
GaNi2,700
NaBe2Bi,1000
CeZn3Cu2,1450
Tl2HgSe,550
ReAsPd2,500
Li3FeOF3,1250
Y(TiS2)2,650
CuP2,950
Tl3VO4,800
Ba2HfBi,550
TiBeBi2,650
Pu3In,800
BeZn2In,600
Rb3Re,500
Np(SiOs)2,750
BaSr2Bi,500
LiMg2Hg,750
Ba4HgPt,500
Ti3Zn2O8,1250
Li2TiVO4,1250
PrAs,500
BeMo4Pt,950
K2BeGa,650
Cr2FeTe4,500
RbIn4,600
Ag3P,550
Al2CuCl8,850
ZrHgO3,800
Mo3Os,650
TaBe2Ru,1000
MnPSe3,650
MgNiSb,650
Ba2BiSb,600
NdRh3,650
TaF3,650
HfCo2Sn,600
ErH2,600
H3F2,800
TmCdHg2,600
NaMnO2,800
Nd(CoP)2,600
NaNbN2,850
BaIrRu,500
RbTlBr3,500
Er2ZnCu,550
NdTeCl,600
Li5Mn2V3,1250
YScAu2,550
Sr(AlCl4)2,850
RbMnSe2,500
ErInAg2,500
Ti4ZnO9,1250
ScBeV2,650
PaO2,1150
Tb2Pb2O7,1250
Ba(MgSb)2,650
Ba4LiHf,750
Ba(AlTe2)2,700
RbIrO3,850
C5N4,1300
TaPbS2,650
Mg4H2O5,1100
Li2Co2SiO6,1300
EuSe,500
BeNiHg,650
CI4,850
TiCo2Ge,700
Ba4TlSb,600
TaBe2Pb,1000
Ba2Sn3O7,1200
ZrFeCl6,850
Ca5As3O2F,1300
LuZnRh2,500
Li2BeCd,800
Ba4YRh,500
Mn8(OF)3,1250
Ba4GeOs,700
SrSiO3,1150
DySb,500
AlPNCl5,1100
GaH5(NF)2,1200
Li2MnFeO4,1200
FeNiGe,800
LiBe,850
Ba4ZnCo,650
Sr2Co(BrO)2,800
RbInO3,750
Li5VCr3O8,1250
ErSi2Rh3,650
BiPbClO2,800
LiAl2Ru,700
Cr4Cu3O2,1450
KScO2,800
Sm2Mn2P7,1300
Fe3Re,800
SmZnRh,750
Dy5Si3B,600
LiYb3,750
Ca2SiO4,1150
NdS3,600
Ta5As4,500
Be2SnTe,1000
NaCdPb2,500
Mg4BePb,750
Re3Tc,550
PrB2ClO4,1250
MnCu2SnS4,600
Er3TaO7,1250
NdSi2Rh3,650
Sm3Al,500
