pretty_comp,max_mode
Ba4ScCd,128.82243
PrSnAu,148.265423
HfCo2,316.69399599999997
MnBeNi,531.478248
KCu4Se3,187.824538
Ca2Sn,216.774407
CuTe2Cl,219.05072400000003
PdSeO4,782.289203
BaNa2Tc,221.639084
NbS,354.922814
MgTlF3,391.647059
Mg(GaO2)2,686.680349
UMnSe3,250.88452400000003
Li4Ca3(SiN3)2,940.9397779999999
TiMn3O8,757.828389
NaAlH4,1775.394832
H4BrN,3148.7208539999997
Mg3ZnO4,607.946047
TaSiAs,393.598477
BaY2F8,451.881441
U(CoGe)2,285.999366
Sn7S2,279.814699
NaLi2N,552.257771
Li2MoO3,692.4303639999997
Na2HfBe,301.120875
Sr2BePd,274.104623
KBaLi2,204.933813
RbBiO2,560.376356
H3ClO,2941.569565
Ti2BeMo,440.470154
UGaNi,219.12127599999997
PCl2OF,1253.7910880000004
FeB,722.374808
CuBiSeO,418.610856
YRh,140.26341100000002
Na2BeBr,291.548186
Li2CeO3,684.4507639999998
SrCu2O3,596.169047
Li2VSiO5,910.013101
DyCuSn,179.77787
Ba4HfBr,135.648563
KCuC2,1989.6871760000001
Rb2MnBr4,125.030728
SmAgO2,630.4081620000002
DyIn5Rh,180.967144
Ti2CrTe4,253.819891
SmGeO3,510.00988099999995
Li2HfO3,725.9033009999997
B2Ru,807.373017
Be2GaOs,562.250941
Sm2PbSe4,177.118333
ScBe2Cl,364.207877
BaTi2Cu,179.573136
NdCuSe2,189.15597
Be2MoP,472.390764
V3Au,231.64593100000002
BaSrYb2,90.524615
SbAsF8,675.857387
HfTeSe4,217.572312
Y2SO2,460.88344400000005
Li2H2Pt,2065.909202
ErH3,1255.6882779999999
MgSO4,1213.623525
KGeCl3,167.201119
KSmTe2,163.219373
MgS,343.536596
Ba4SnBr,151.878351
MnBe2Cd,524.853882
Sc2GaAu,235.438484
MnAl,327.555177
Tm2MgTc,252.50357799999998
Ge3As4,262.479127
CoP,422.509383
CeSiI,378.624531
CaAg,180.455116
Ba2ScIn,122.37603500000002
MgMnF6,683.011218
Sr3AsP,238.304511
V3Cd,260.27049300000004
RbAuSe,225.316725
WSe2,296.5864509999999
LiNd2Ga,280.848661
BeFeBi2,156.939846
Be2TlIr,393.951752
ErGe,193.147232
Nd3TlC,191.419179
ErNi2B2C,1312.09212
Be2TlIr,406.527673
Th2HN3,3211.098991
TiBe2Ru,542.736301
KH3F4,3082.181212
LiRhO2,551.95627
PuN,341.219346
K3W,115.357782
Te2MoW2(SeS)2,421.515589
KScBe2,470.57988
KCoO2,583.491174
TlSiPt5,351.379274
KTiBe2,329.604281
Zn4(B2O)3,1141.023709
Te3WO2,914.047143
RbCaBr3,222.017336
ScNbO4,795.777553
TiAsRh,275.355123
PrI3,157.065131
Sr2TaGaO6,827.324703
MoAsW2,190.422627
OsC4(ClO2)2,2175.987217000001
Ba2MgUO6,735.6798150000003
NdBi2ClO4,517.998939
TiMo2As,247.923917
Yb3U,89.912432
SrHgO2,698.049662
Fe3PtN,610.017965
TmLuCo2,172.861113
Ta3B2,605.241542
Sm(GePd)2,250.52003900000003
TeOF2,744.3524639999997
ThMgZn2,207.335123
CrCuSe2,266.468963
YTiF5,600.1212879999998
BaNbCl,89.01715300000002
Rb2Hg2PdBr8,244.88155899999998
GaNiRh2,252.14511800000002
TbRh5,275.264791
YPd3,182.31981000000002
Li7Br3O2,599.319801
Nd5CuSe8,187.437669
Al2CoO4,726.954932
BeCo2Pt,362.153404
ScBeTl,430.804788
Ba2BiCl,110.31526799999999
LiAuF6,637.522478
Ag3AuS2,372.285594
Ce(CuSi)2,414.762836
Ni(BMo)2,664.306629
NaAlSi,391.47589
Mn2F7,730.5359179999997
RbNa2BO3,1219.014424
SmMgZn2,214.478449
Be2SbW,416.539308
K2PtBr4,220.739219
NaNd2RuO6,645.5685679999998
BaY2O4,563.230999
PbAu2,170.91269599999995
Sc3Sb,240.002137
KYbO2,400.76667599999996
Ni4Mo,261.81823399999996
YbO2,1023.208688
CaP,409.77369
Bi2Pb2Se5,166.31183000000001
Pm3Y,118.476529
U2W2C3,741.352664
Rb2NaTiF6,522.058371
BeFe2Te,327.826873
BaAlGe,330.229917
RbNpO3,397.38622000000004
ZnFe3C,636.897077
ScTl2W,189.94261699999998
TiTc,256.467693
BeZnOs2,321.714659
BeGaBr4,186.791192
Ba2CrIn,103.21891
Co3Ni,259.131686
Ba2NbTe,100.094142
YbAgSb,150.22803000000005
IClO3,226.220975
Ti2NiSe4,297.541935
ZrRh3,206.348139
BeFe2Mo,434.08907
Np(Al2Fe)4,423.897175
PdBr2,255.290215
U(SiNi)2,424.60307300000005
LiGeBO4,989.714293
TiH8(NF3)2,3377.2376590000013
BaYSc2,153.91761
SrIF,288.3665200000001
Ce(AgGe)2,254.364314
Sc2ZnAu,234.64220299999997
LiGaGe,261.71705
YCuO2,709.464733
NiAgO2,579.247609
LiInSe2,248.32915400000002
ScGe2,264.199213
Ag3N,187.545503
LiGaO2,680.113442
Tl3SbSe3,199.07368
ErZnAsO,511.5981
Np3In,141.074005
Nd2Sb,138.100873
BaAl4,333.8233140000001
Y3Mg,184.975062
Li3NdSb2,373.92351
LiAlPHO5,3416.360969
KBaRu2,236.35107200000002
Na3Nd,153.984671
LiVPO4F,1005.3910800000001
SeCl,310.5033180000001
LiAsF6,713.353981
YbO,377.403116
SmLuRu2,168.87252900000001
ScNi,189.027214
TmCu,129.636239
TaAlNi2,304.70942
CePd3,162.927961
Sr3Yb,105.640892
DyRh3C,351.816008
HoCd2,153.438692
SrH2O3,2961.59973
BeVIn,412.675279
FeSbO4,649.393765
PtO,252.905565
NdAlO3,710.207234
Ba4MgTe,139.419718
KNaO3,470.39553600000005
NdCl3,261.543727
Ca4P2O,466.803758
Np(SiOs)2,432.35876900000005
YFeF5,575.0397519999998
MgO,121.55958400000002
AlP,426.59130899999997
Te2Mo2W(SeS)2,424.37702199999995
MgZr3,248.80731600000001
BeCuNi2,359.44016600000015
BeGaRu,426.113092
BaNaGa,129.053921
Ca(ClO2)2,800.9153299999997
Sr2NiTeO6,657.739931
CrInCo2,236.10223100000002
CeCl3,240.95904500000003
Sc4C3,591.437337
K4CO4,858.959042
Bi2Se3,180.621828
Mg(Co3P2)2,436.07745700000004
HoFe5,196.02043500000002
ZrAlNi,321.03790499999997
Th2N3,470.62953899999997
KFeS2,416.549973
BeZn2Co,476.536596
LiC,1917.840875
Hg3C,109.227029
Li2NbS3,368.19386000000003
MoF6,710.70985
ScZn2Ag,242.52685699999998
Ni2SnAs,171.922236
RbGaO2,908.464109
HfSnPd,192.013679
NaBrO3,765.445077
Be2CuBr,118.639086
Cu2H3ClO3,3446.195488000001
Be2RhBr,419.039878
SnSe2,231.635034
CoAs,293.701079
Ba4SrIr,138.18559299999998
NdGeRu,238.652771
Ho3TlC,198.732417
Li2Ni(P2O)2,1247.491517
Ti3Ge,247.938077
Y2ZnRu,194.530624
Y(GeRu)2,287.520542
BeInRh2,465.20631399999996
Rb2MgF4,488.450184
Ca2GeO4,699.368714
Cr(BH)6,2584.756968
BaV2Bi,479.780668
AlO,258.346492
Be2Ni2Ge,578.822219
Li2ZrTeO6,792.815111
AlBMo,736.403245
InPb2I5,117.17574499999999
BePd4Se,328.878454
NaBeIn,275.78231
KBaHf,108.770205
Dy(GeRh)2,273.152025
CeCuGe,221.835503
BaHo2PdO5,698.4576519999997
NdH2ClO2,3662.2899880000004
ErCdPd2,145.397473
Ca6Ge2O,367.163573
Nd(GePt)2,235.53389500000003
Dy(FeGe)2,313.32100299999996
KInP2S7,582.521561
UBN,953.6439630000001
HfSnRh2,172.38373700000002
Yb(SiPt)2,419.58817300000004
BaMo2Br,312.0972220000001
NaNO2,1322.568138
MgNiF5,1454.145204
Mn(BeCl)2,391.024954
Ba4PbCl,149.638163
Lu2MgOs,269.862919
Nb3Ga2,306.007075
KPrTe4,165.835297
CaHClO,3657.700433
NaBO2,1552.641783
Na2H6Ir,1986.7024059999999
MgScCd2,225.84296099999997
Lu2ZnIr,165.240971
NaBeV,430.322102
LiZnN,516.528602
Ba2BiBr,108.355519
BaBeCo2,296.708735
Li2AlPCO7,1625.902036
BeVGa4,351.333886
AlI3,395.117176
Sr4RhO6,531.186066
Ba2SrW,113.610324
TiSnPt,251.84273199999998
BaB2F8,1185.6801560000001
SrMgGe,242.75827
Li3VO4,834.6708719999997
BP,793.0236679999997
KBiO2,557.11888
BaVBr2,139.421949
HfGaRh2,188.427616
YbPd2Pb,118.70429299999999
AgPF6,783.918748
LiCe2HO3,1434.542772
KNbS2,398.927169
K2S5,467.88316799999996
Ba(HO2)2,2399.245864
Ba2ScCr,130.11486599999998
NbSnRh,233.35305099999997
Nd3GaN,241.144711
SiTc2W,294.4614660000001
Mg(InTe2)2,256.376479
Nd(CuGe)2,233.513992
Be2CdOs,493.39978499999995
Fe(HO)2,3573.7880240000004
TcPt3,201.26405
NdPb3,109.79799299999999
NaLu3,184.605842
ScCd,167.39123899999996
Sc3InB,439.237193
NbBr5,1134.162578
Li2SnBi,439.02356100000003
KMnP,353.88234700000015
Si3Sb2O9,1050.410597
SnPt3,162.769036
UGa3,177.035626
Ba(CuSe)2,173.731045
FeClO,540.557822
RhCl3,320.894642
Ta2BeOs,474.496784
GeSe,99.588573
MgBeRu2,402.75192400000003
Au2S,394.361012
PaRh3,191.910347
CdHgPd2,191.988306
DyAgHg2,130.805588
Y2MgS4,345.342377
H3S,2562.856459
MnAlPt,315.830611
TaAgF6,671.445811
DyBiPt,142.044323
Cu(HO)2,3559.028009000001
RbNiCl3,257.23429
K3V3O8,939.9774880000001
K3AlH6,1547.099216
Dy(CuSi)2,443.78905999999995
Rb3InS3,334.82437999999996
BaHf2Ru,152.209648
NdMnSi2,403.662277
KHSeO3,2946.172028
NbBi2Mo,143.575469
Hf2CuOs,173.661647
Ti2CoGe,282.010244
Sb2Au,151.584608
Ba2VTe,100.220725
MgAs4,283.037129
YP,285.126261
Sr(ZnP)2,283.984363
TlPd2Se3,226.56600099999997
Mn3GaN,587.758564
VCoTe,211.309509
RbAs,194.61949199999998
RbBaTaS4,460.17481200000003
Np(OF)2,1013.4452650000001
RbPbIO6,627.141087
Ca3PbN,261.37212
Sm3Ho,95.63665400000001
ErP,289.220595
CoCl2,231.05754
Pr3CuSiS7,533.09562
BAsPb,105.625346
FeAs,313.569839
Mn2BeGa,375.288233
Zr3In,178.502284
CeGa3Pd2,251.50147599999997
CdSe,179.331386
HfC,356.793792
ZnCu2GeTe4,214.477615
Ba2NaGa,138.43624
LuRh2,288.694129
PrCd,99.793444
ZrB2,754.799228
HOF,3227.436121
Sc2BeTc,358.45679
NaScS2,374.56196800000004
BeCdFe,367.953713
MgTiO3,636.158392
BaO2,796.326948
BeCrTc,528.937043
Ti2Co,448.61102400000004
Be3Ir,539.929266
Na3Co,184.258401
CaC2,1899.036284
NpFe2,379.25670499999995
BaYAgTe3,173.404349
NaZr2MnF,609.638595
KSmF4,424.363438
InCoSi2,229.348431
BaLiIn,166.773498
SnBr2,147.453757
Na2ZnSe2,225.86236
CdPd(CN)6,2297.217244
BaSrTa,114.622611
MnTe,103.246789
PuSi2,422.447717
PrC2,1681.4457519999999
MnFeTe,225.57055699999998
TiI4,286.100787
SmCrO4,860.906711
RbMnSe2,228.71067599999998
Mn(AlTe2)2,329.255109
C3NClO4,3137.892417
V2P4S3,592.639946
B4C,1761.595093
Ni3Ge,275.618239
ZnNi2Ge,228.997152
Nd2SeO2,416.434319
LiAuC2,2011.1536670000007
Br2O,465.32236500000016
MgAuO2,663.998295
CaAs3,240.71893500000002
SrCd,102.848109
Mg2BeFe,473.248793
ScBe2Cu,422.30455599999993
CdCuSb,155.557151
ThNi2,230.102592
AlNi,279.1454
Ni3Sb,233.40551800000003
SiTe2Os,149.356921
Li3ClO,550.409404
PrEr3,95.913854
BaSi2Br,197.185437
Hf2BeV,370.87883700000003
CeSe,192.478635
CaAlSiH,1266.903397
BaSi2,374.564308
NbTl3Se4,307.3360990000001
BaNa2P,241.115102
Pu(CrSi)2,452.463308
Ba2LiZn,217.89965800000002
YClO,564.628153
SrSn(BO3)2,1214.315901
TiCoSi,430.45929900000004
YbAg,101.300694
H6PbCNCl3,3310.736834
NaTiO2,647.770185
Ba4CaRh,134.144321
TiBe2Os,464.082455
ErRh,124.61580500000001
BaInSb,117.40824599999999
Ca3TeO6,685.428254
Ti2N,635.931435
LiTm2Al,311.525959
Si3NiP4,495.880834
HfBeRu,465.558713
Mn2AsSe,144.989643
Sc2BeOs,370.86900499999996
NbFeSb,309.823596
Rb2NaSbCl6,286.120305
K2RhF6,567.563376
K2NaMoF6,550.12729
Li2CuSb,355.667871
TbNi2,254.648562
MnCoSi,348.39543399999997
ZnBr2,213.65796600000002
Ti(MoS2)2,406.202897
ScBeGe,586.681
BaYSb2,139.202277
CaH2,1176.874422
Mg2Ni3O8,693.0534849999997
KSO2F,1133.6869960000001
Mg(CN)2,2251.75913
Mg2V2O5,590.619527
Li5ReN4,930.9418949999999
AlVRu2,379.54770099999996
BaNiF6,631.606924
UTl2O4,680.4666179999998
NbIO2,738.969684
Ti4ZnO9,863.671882
CoNiSn,248.69281400000003
Mo3W(SeS3)2,449.51772400000004
Ho2Be2SiO7,1010.352872
PbO2,594.409346
Sc2BeGa,311.856655
Be2TlMo,446.436825
ErTlTe2,153.875302
Eu3As4,189.34303400000002
FeAgS2,432.403991
Dy(HO)3,3701.559511
Be2NiMo,573.825229
LiTiBe2,537.921069
YSe,205.42137
LiNd2Os,307.550054
PtS2,327.522171
PuCdRh2,787.359187
NpRh3,176.618667
BeS,656.576936
CaMgSi,290.1338580000001
NaNb(CuS2)2,457.25071399999996
ZrInNi2,204.732033
K2SmF5,435.88007999999996
Ba2CrCd,102.43701
Sr3GaN3,566.234232
SiNi,394.142716
ScF3,646.930921
Tm2CdHg,125.323474
MoPO5,1043.557683
NaLaTiO4,889.626086
GeSb,118.621175
KAgSe,146.873089
Ce(PRu2)2,465.91647300000005
TlNO2,1274.699405
LiH2IO,3392.75979
Y3Al,181.938242
ZrBeCr,497.046746
KCaBi,189.973546
Nd(MnSi)2,370.78864500000003
CrCuS2,380.535841
Ba4MgSc,126.101202
SmCoSi3,381.511221
Ti3Pt,296.70788799999997
Ta2H,1398.1271
CaVO2,543.4214
KBa2Pd,128.329869
Sm(CoSi)2,379.498419
RbCdAg3(CN)6,2212.712441
RbCaCl3,290.895666
Be2C,962.734415
LaSb,133.37313
Y3InC,320.889295
Cr2CoO4,657.49488
TiBeCd,437.31111500000003
HoHO2,1516.271383
YHSe,1088.3675050000004
Ba(AgSn)2,151.195882
ZnTe,124.35774199999999
InP,314.62051
TbFeSi,367.666451
As3W2,284.434707
CrWO6,940.262034
V2CrFe,356.75007400000015
HoNiSb,177.22248000000005
Li2Pd,466.577066
Li2BeBi,354.072387
Li4MoO5,763.237212
TiCrAs,336.932186
TiGaAs,180.053213
K3V,110.60191699999999
Si2B2O5,1097.248497
TmCuSe2,210.466979
Be2BiIr,346.753378
Sr2BeZn,235.660608
K2O,307.878771
Ca3Sb2,301.567001
SBr,544.83385
Bi2TeSe2,162.697667
TmSbPd,174.927748
RbCuCl3,249.278847
K2Os(Cl2O)2,905.426617
Fe3Si,333.856677
LiEuO2,659.5061019999997
Na4ScBe,293.84673399999997
NaBeBr2,235.581425
HoInAg2,144.718718
Ta3SBr7,407.894753
TiAsP2,134.15412800000001
SnSe,184.418951
CaHg,129.408826
LiZn2Rh,371.87624
Na5InO4,540.264922
SrMnBe,369.848345
LiBeCo,513.476083
Be2FeW,473.014224
YCrO3,663.625541
LiMnF6,691.8430490000003
ScGa2Ni,254.361328
SmGeRu,237.90328300000002
HfTc,178.53171899999995
U3Sb4,150.329883
BH3OF4,3180.390882
Be2NbCo,452.98447300000004
Ca(GeRu)2,276.19759500000004
LiTiNiO4,643.726087
PtS,457.50975700000004
TiNi2Sn,237.52830899999998
Ba2CaTa,134.828278
TiAsW2,244.51975699999997
Ti3AlN,639.018838
SiO2,806.7772719999997
Pr3Ag,122.01946799999999
RbNaO3,425.547513
Sc6NiTe2,237.19123900000002
Ba2CrBi,101.296428
Mn(PtO2)3,698.0014160000003
Co(AsO3)2,666.584975
LiYS2,296.74309
MnSb2F2,1156.376459
BeTc2Ge,328.513079
TlInSe2,220.463979
NaCaAs,240.744952
KBi2F7,445.73845199999994
MnSbPd,196.096654
PrHg,77.629292
Er3GaC,255.70645299999998
HoIn5Co,186.187355
Fe3N,535.550703
GaNi,191.722771
FeH,784.069594
Be2InIr,434.49823
AsCl3O,731.7382349999997
CeBi,98.175926
Ho(CuSi)2,449.823028
DyIn,108.54276000000002
GaTe,271.957206
BeZn2Cr,467.00484900000004
CaTlCl3,288.648498
CaCdSi,227.593312
Rb3Nd,70.006138
ZrAsPt,182.40673700000002
SmBi2ClO4,526.021905
Ca(SbO2)2,502.65643600000004
Ta2Si,423.05053899999996
VSbRu,251.72543
Sr(AsO3)2,713.719223
NaAlSe2,428.84424
MgCoF5,634.056354
MgHg,151.48218400000005
Li2AlPt,444.76551100000006
Mn2BeCo,453.93758899999995
DyFe2,201.034228
RbAuS,316.99025
Ho(SiRu)2,401.032849
Ba2Si,210.357044
TbSF,363.44413399999996
Yb(FeGe)2,293.5816910000001
Al2O3,901.6385460000001
BeCrHg,351.83761200000015
PrNi5,284.879427
TbTl,79.759817
SrHfN2,604.626049
NdAu,84.472202
Si3As4,410.555056
SrAl4,366.960003
Mo2WSe6,340.56752
Fe8N,687.755906
Na4BeW,336.0926350000001
Ce(CuGe)2,242.13869300000002
YTiO3,701.6493519999997
CuI4,168.483081
Ca(SiAu)2,426.447737
LiYMo3O8,770.21457
GeClO2F5,1241.4750179999999
BaPr2ZnS5,386.771356
BeNbPt,483.918234
BaYTe,102.68426600000001
ScSnPt,253.159758
MnB2,840.447735
NaFeO2,456.509705
CaC2,1867.3712829999997
Rb2Si3SnO9,1122.559363
CaCr2,719.20614
GaCuO2,730.677986
Sr2BrN,435.759218
ScIO,556.06204
BaGe,178.61005500000005
Sc2MnC,315.20915
NdBi,122.48713000000001
Ba4CdBi,142.056244
BW,601.1136730000002
NiHg,167.03975400000004
Tm2IrOs,172.245015
Li6TeO6,715.801878
UTeS,270.755558
MnBeSn2,332.504031
BeRu2Rh,326.652197
Nb3Cr,236.604465
Na2Ti2O5,893.721668
MoAs2,285.7727910000001
FeSiRu2,325.191727
TiBe2Te,478.81941500000005
HfNi2,345.47039900000016
ZnO,446.991804
Nb3In,198.367875
NbRh3,208.22820900000002
ZnFeSb,182.0419
TmSi2,391.46735
Mn2BeFe,520.153747
TlHCO2,2882.489275
SmBi2BrO4,519.981859
BeGa4Tc,376.565834
Rb2PdBr6,247.580544
Na2SO3,907.782897
Rb2TeBr6,192.409946
PbICl,177.345393
SmTmMg2,213.16796000000002
KC4N3,2267.6889109999997
BaNd2ZnS5,389.797012
Rb2Ag2GeS4,367.738743
BaLi2Fe,323.195067
Tb2Tl,114.752016
YN,0.036217
Li2PrTl,320.3019950000001
USi3,298.287502
BaCaTi,117.82112099999999
ScAu,141.353445
PrN,337.746011
BeSbCl,319.949919
Sr3UO6,697.072491
NbBO4,1006.4837259999999
MgTiF4,480.484457
TiNi,194.908076
ZnPt,189.18188
KYS2,311.91531499999996
Nb2Tl5S4Cl9,559.546449
Ho(CrSi)2,439.270958
Mg2ZnAs2,302.351538
Er(HO)3,3701.37054
SrH4O3,3686.330097
CuBr,161.71823799999999
U(HO2)2,3212.066313
ScGaCu2,258.024325
ScPdO3,648.547496
DyTlTe2,153.81812
Pr(HO)3,3705.0848969999997
Zn2Sb3O8,568.823471
Tb2In,135.739331
SmAl4,399.863199
TiAlO3,589.664917
NbInPt,218.72843999999998
ScClO,772.4200139999997
Cd(GaTe2)2,212.133388
KCuO,300.618265
Sr2TiBe2,607.40467
Sr3As2,234.389106
Mg2H6Os,2094.291905
K3H5Pt,2063.0097920000007
Co2SbO6,598.4014589999998
LiErO2,521.1841360000002
U(SbO3)2,818.337162
Ti2GaFe,298.830425
PbCO3,1458.641949
HoTaO4,811.778816
ScCu,184.51724099999998
Lu3Ga,136.84901599999998
DyCd,105.48370800000001
RbSnF3,359.889661
Mn(AlS2)2,495.74461900000006
Ti3InN,582.773921
USbRh,155.33641699999995
HoSbPd,175.464327
Nd2In,131.99616
In2AgSe4,199.18251999999998
Cr2S5,589.852107
CePt3,155.35624099999995
TlCdF3,413.66765
FeNi3,267.369919
MnZn,237.518611
YbSi,372.225379
BeSi2Br,199.414775
Tl3VS4,456.620591
LiPrGe,335.520085
Yb(Fe2P)2,415.978537
ThAl,329.273894
Ba(AlTe2)2,353.13698
HfZnCo2,230.964019
Zn2SnSbO6,561.7579099999998
MgNbRh2,310.92645699999997
TeMoS,417.444433
Na2H6PtO6,3409.79935
Nd4Sb3,149.03484
BaV4O8,661.401392
Ce2SeO2,457.74602300000004
Li(CuP)2,493.432867
YbB6,1291.68452
K4CO4,948.9196019999999
BaSe,121.953432
Hf2Hg,150.81608
HgCN2,2102.201231
RhSe,190.11319699999999
Cu2HgGeSe4,252.60886200000002
YZrBe,352.95617599999997
NdAl,191.598778
YTiSi,289.065729
Li8PO3,701.190568
VNiSb,243.82522999999998
Na2Pd3O4,552.469622
TiGa3,270.414905
Ba4CdHg,136.30152900000002
BeTlP4,492.46114900000003
LiMoIO6,937.520748
SmCoSi,341.628538
Li2MgBr4,340.290793
Sm3Zn,130.161508
BaCdW2,197.034707
TmIn5Co,186.959787
Yb2C(NO)2,1908.0191690000001
BaBrF,265.68850299999997
CeVO4,798.920913
AgNO2,1293.4401990000001
RbVF3,457.67701600000004
ZrZnO3,628.1285379999998
Na8N3O,332.4033950000001
BaSO2,854.1077310000003
Sc3BPb,465.87629100000004
InI3,208.879242
BeInFe2,391.77545299999997
SrMnBe2,298.535564
DyMg,213.177052
Na3AlF6,663.376943
Na5LiN2,559.224245
CaS,257.709748
Hf2Zn,163.777501
Rb3Ge,88.012518
NaBeBr,309.16667
LiCrS2,328.6721970000001
TmClO,552.740458
BeTl2Ga,146.037483
WCl6,391.03371
Ho(SiRh)2,447.81561100000016
VN,524.4028139999998
Ba2MgGa,149.552855
K2ZnTe2,182.359978
BeCo4Se,394.634669
U3Se4,181.793859
YBe2Ru,484.286242
Be2GeIr,518.428628
TiInNi2,231.38153799999998
NaHoF4,471.692837
BeNbFe,571.696275
TbAl,210.773266
ZnSe,234.363212
Y(MnSi)2,401.706833
TaIr3,170.84483
CaBe2Cu,425.636064
OF3,1005.4148650000001
SmNi,155.199252
HfPbO3,565.489965
LiCo2Ge,477.679146
NpIO,443.83001900000005
NbIr,201.27795
RbGeCl3,306.205506
VOs,94.335438
LiBO2,1453.24493
LiAgF2,534.53706
BeZnFe4,410.22404700000004
Sc2BeBr,386.189886
CoCO3,1363.623515
BaNi2Br,280.535
KErO2,498.40794500000004
ZrBeZn,389.057728
NpCo2,332.8130000000001
Rb2NaMoF6,531.989607
ZnCu3H6(ClO3)2,3427.780392
NaNO,1330.51268
Mn2P2O7,1053.671035
TbScO3,657.395193
BeGaOs2,343.4158720000001
TaSe2,240.407932
TbAl2Ni,345.08657
YAuO2,669.502111
Ca(MgAs)2,276.163592
BaGaTe,111.585532
TiGaFeCo,319.360108
Ce2O3,496.53758600000003
K3Mo,107.805718
Ge3N4,802.316094
Np(SiNi)2,447.023216
EuMgH4,1517.735616
BeNbPb,385.24296
NpN2,589.204933
ZrBe2Cr,468.237495
SrHCl,970.539523
NaSr2Be,239.479362
ScGe,267.48238100000003
KBi(PS3)2,624.265742
Na4SnO3,568.310195
SbSI,333.668838
Nd3Sm,96.76968199999999
PrVO4,874.848985
HoNbO4,797.8683639999997
RbPdF3,447.63443499999994
YbTiO3,627.548683
Mn2Au,315.398608
Ba2TbNbO6,776.959823
BaSrMo,115.397223
Mg2As2O7,969.6987619999999
TaBe2Ni,451.87743
ScZnRh2,264.61326299999996
Ge2Mo,248.557785
ZrBeCl,432.68967999999995
Ti2GaCo,285.140358
KCN,2123.071813
LaTe,152.549501
Be2FeSi,641.3530360000002
TlCrTe2,173.42246
Be2NiPb,346.521486
Y3Au2,157.069433
BaRu2Pt,165.495235
CrAsPd2,197.137374
NaYS2,318.562066
NaHO,3714.272699
TiBr3,308.425571
