pretty_comp,p_Seebeck
Li5Ti2Co3,47.468894
FePbO3,-9.7010883
TbS,-6.871545967
LiYAu2,-4.6027227
Sr2MgReO6,8.553478
Co5CuO8,8.6145641
CdSbAu,-4.841882467
NaCaAs,523.01181
LiSmSe2,405.6395067
KAgF4,435.2994767
ErTe3,8.740855499999999
VBrO,-8.370535
TbBi2IO4,387.0326067
LiYS2,314.39779
V3Pd,4.5667538
Cr2O5,272.2595967
Li5(FeO2)4,62.80005767
FeP4,281.9508133
NaAuC2,336.7331067
RbCuO3,-2.8193054
CdBiClO2,408.97549
ZnSi2SnO6,390.44465
Sr2Mn3(SbO)2,20.45921913
PHF2,334.0258833000001
LuGa3,18.899519
ZrNiSn,322.62983
Sn2OF5,369.8556267
Ag3BO3,3.482650633
Tl(CuS)2,25.034752
Ca2CuO3,-2.1475799330000003
SO3,364.5248133
TbHg,11.456186
Ba3Nb2O8,436.2600233
ErAlAg2,3.1246999
PrInAu,23.72102833
CdPdF6,420.93113330000006
Ho2CuO4,17.79359976
AgCNO,335.19337
Zr2Al,3.619668333
Y2O3,407.21356
Ti(BiO3)2,47.20345867
V(ZnN)2,26.64821467
MgSbRu2,6.1251623
Li2PmGa,-1.09469
LiMnVO4,319.8163933
K2O,275.15644
Rb2SBrCl6,24.568092
SmNbO4,368.6097667
Sr5As3O2F,413.23305330000005
ZrU3Sb5,55.36867067
BaHCl,408.01661
Mo3O8,-1.994103067
Ba2In2O5,327.9266133
HfNbTc2,37.042245
KTeF5,364.5647067
Sr3(InP2)2,192.0149333
BeGaCo2,8.986875099999997
KI(OF)2,224.1650233
CaCu3(Sn2O)2,376.05076
KHg,15.84162173
NaO3,357.00489
LiCoSbO4,24.4616
Ba(AgSn)2,-1.972479204
TlBiS2,183.74255
Cr3Ni,4.1773718
DyCuSb2,0.938572333
LiMnP3H,253.37342
P3BrCl4,429.9298033
SmYIr2,0.52526573
MgIn,0.14312011300000002
Rb3YF6,392.2024933
GaH3NF3,475.4890533
ZrBe5,20.00095433
LiAg2F4,5.281796733
Ba2CuHgO4,16.32796933
Li2GePbS4,305.2619433000001
CoAs,-0.2495309
Ba2MnMoO6,3.2711165330000003
Ce(AgGe)2,62.32493267
Mg2Rh,3.30961126
NdCrO3,7.722913099999999
MgTl3,4.6051552
ScTlSe2,99.60909333
Zr3In,-3.5433193
AgHgO2,4.612309099999999
P2O3,397.8970767
AlCrRu2,42.677114
Li3Tl,-1.659330267
Li2Mn3WO8,25.51375
UGeAu,9.785762533
RbDyO2,465.8814067
MgCo3C,3.9978639
Mn2N,-9.782925833
Ho2ZnOs,5.8082626
Li2HIO,408.7399033
CuBiPbS3,210.5592367
Ba3BiAs,121.01217
Nb9PO25,322.65788
ZnCoO2,31.34845267
Sr2SO,393.2238
Li2V2F7,-2.752980233
YLuTl2,-0.13709085
K3BAs2,296.2511667
CaRe2Si,4.842717
SiSn,188.13699
K3SbO4,403.21379
CaYRh2,-6.599677400000001
Al2CrCl8,283.2817167
CeGa3Pd2,38.917771
Y3TlC,16.192203
PmTlAu2,-3.0047023
TaTl(CuS2)2,328.3248633
NaSbF6,481.33399
Ba3Ti3(BO)2,418.79809
LiS,16.94085267
SbTeO3,18.643183
MnHg,16.713867
TmZrOs2,7.058965400000001
Ni3SnN,13.157779
CdFeO3,2.443622567
Li8BiO6,46.317381
YbNiH3,3.3032883
FeBO3,-4.734447663
Li2FeSiCO7,114.03786
K5V3,390.0928633
ScAg,14.638839
CoP3,33.432116
CeIn5Ir,37.950048
Na2ThF6,481.96283
Mg2As,5.263443667
ScCo3C,23.654036
U2Ga2O5,5.710379
CdO,87.42696567
MgSc2In,-1.2263349
Lu2TcAg,32.809157
MoAs2O7,288.23797
Lu2MnS4,231.55106
V4ZnO8,23.68842267
TiBeZn,-8.0100533
H4N2O3,60.5323336
BeAu,30.168559
YbCu,-1.07279867
PmF3,540.4168833
Li2CrNiO4,17.50759267
DyAgSb2,4.953476333
ZnP2(HO)4,333.0330533
Na5CrO4,-3.511801667
LuNi2Sn,7.789692967000001
TbH2Br,57.63871833
TiAu4,-2.552826467
YbZn,3.1488625
LuGaPd2,6.258858
MgSbF6,53.15544467
BeSiOs2,8.6360451
TiMn5O2,-0.1177459
K2PtCl4,421.9407633
CaB2(H2O3)2,384.7479233
Na3PS4,303.24433
KErO2,443.1434067
MgC2,351.8427
Tb(FeB)2,-6.154754647000001
Nb2Tl5S4Br9,303.0416067
NiSnF6,11.13501767
KSmPdO3,394.1610733
LiLuHg2,5.584069
Sm2Be2GeO7,521.1499
Ti3Tl,0.9426658
LiSc2Ir,13.441399
Pm2CdSi,-7.9742267999999985
NpC,-1.033170267
CaGaBO4,473.2170567
PrTl3,14.994339000000002
Y2ZnRu,2.219269167
RbCa2Ta3,446.7248067
SmTlTe2,80.18382167
K3TaO8,393.5985333
Co(BW)2,8.528125367000001
KAlTe2,315.74912
YB2C,30.99733333
Sr2YTlFe2O7,9.481524633
K5ThF9,437.54212
Sr2YIrO6,10.25406887
NaMnCl3,395.0105667
H6CNF,466.9598067
NdVO4,446.4623267
NaBiF6,563.9254333
ErNbO4,359.06865330000005
ThCdPt2,-7.3855319
Li4MnCo3(P2O3)2,7.851261667
CdSb,91.52157467
ScGa3,15.837828
VSe2,17.4904503
ScCu,14.60435
Na2SbAu,276.7082667
K3SbSe4,316.27512
LiLu2Ir,10.631563
VRu3,17.01548367
KBaSiHO4,408.68224
UFeS3,12.679562
P6SO24,345.2353833
CsTaN2,312.14799
Ge3N4,460.68114
NdInO3,342.01869
TbAl4Ni,18.824072
Tl6TeO6,349.7271567
V2CrSe4,8.319665132999999
Cd(AgI2)2,295.23285
LiSnPO4,420.3769367
ScBrO,400.6985767
SmZn2Cd,-7.7593546
FeSnRh2,12.20349867
TbAlPd,-3.937363967
Ba6HfO8,398.38455
Pr2MgNi2,-4.581354767
Al5Co2,-6.242584882999999
SrCrW2,-8.868222900000003
MnB,-9.9921229
NbNi3,1.83351731
Sr(CuO)2,363.88141
Re2P,-5.2779984330000005
HfBrN,219.8530267
In3NO3,270.2357767
NaV2O4,22.413135
Li2CdCl4,409.95668
Si3Ru,-7.3911515
InPd,1.1460976
Ho2Hf2O7,381.26124
YbClF,464.93531669999993
Sr3P4,338.92339
Zr2N,5.505035333
FeAgS2,9.368756433
TbSnAu2,-0.51084798
SCl,368.5486033
NbGaFe2,17.367251
Sb3O2F5,363.6604267
ThSb,-8.152477133
SiSnPt5,6.243856667
Na3GaSe3,354.2552467
LiMn2O3F,8.397935767
BaBiClO2,357.8587033
Ca(GeAu)2,-1.538530337
K4Sb2O3,405.6271333
ScBe5,5.4078288
TiCrAs,6.441199233
CeRh,19.25712
AlTlO3,327.4751333
Ho(Mo3S4)2,36.08676867
CuO2,-3.474348333
Na3BN2,370.4251333
KAcTe2,205.68382
Co3Bi,-6.794024833
CeRh3,1.2558251
Sr2Co(ClO)2,39.2695834
BC,4.597651633
ScCuSi,-0.4049426
Mn2CoGe,6.697252400000001
Nd2Te3,125.78615
TmIO,345.08951
LiTm2Pt,9.9980293
TaAlOs2,8.9538153
ReTe3Br5,315.77939
Na2ScPCO7,415.09724
Ta2TiN3,20.9120243
FeCl3,13.45275267
DySnAu2,-0.22800109
Be(HO)2,479.2525
SrHg,-0.39543487
LiTlO2,382.7410167
BaSrSn,159.64334
YB2,-6.304239432999999
UPS,8.068167667
SrTa2Bi2O9,413.2240833
ZnNiF6,438.9828533
TbAu,4.5171545
SbSI,319.7127700000001
Mg2ZnB2Ir5,1.875313333
Si3N4,367.28228
TiV2Cr,368.7544467
SrAgSb,17.55882293
CrP2S7,38.74791233
ThSn3,-8.9649263
YS2,1.562419533
Na2ZrO3,471.68943330000013
RbP(OF)2,420.13492
DyMn2,10.35403567
Sr2In2O5,269.67556
CdSnAs2,225.9518567
Sr3Sc2Cu2S2O5,358.9474833
TmNi2Sn,5.9702993
Li2ZnSiO4,442.3652567
NaTl2InF6,438.58236
AlFe,5.13005
ErSeI,285.3174633
PrZn(FeO3)2,27.94298505
TiGa3,16.725889000000002
SmCo2,25.926556
Hg3AsSe4Br,329.7547433000001
Cu2NiSn,-5.4072113
Cu3N,289.1498
NaLuS2,299.0911200000001
CaSiSnO5,384.9480733
K2TcCl6,337.1194
Lu2Sn2O7,372.2746933
Al2ZnS4,338.22392
GeSe,105.30585
YHoCd2,18.715226
Na3Mn2SbO6,29.6703624
SrAs,151.55703799999995
Rb3Mo2Cl9,298.9424433000001
Li3MnO3,57.03095
LiCrS2,349.02925
Sm3GaC,3.6186682
Yb(Fe2P)2,13.575088
LuTe3,-0.119522193
Ca3PCl3,223.96853
HoPbAu,35.541403
KSbS2,220.3297067
TaN2,-4.8242174
ErB4,-2.360409667
NaHCN2,412.5413867
ErMgHg2,0.96404613
BrO2F,324.72094
Yb3V,-7.2028106670000005
Yb(GePd)2,-2.783615493
TmSnPd2,12.694271
NaCeO2,15.82248967
YbAs,18.476211
Li2P2WO8,13.66320333
NbNiB,8.690540333
K2OsBr6,-9.185920333
NbO2F,413.88246
RbBiO2,312.2794133
Er2CuPt,12.536846
TbBi2ClO4,348.1569767
BeIn3,0.62963915
SmRhC2,-8.527750433
NbCuTe2,6.028340417000001
Na3Mo(OF)3,497.3677
ZrTi2O,1.8200204
MgSeO3,348.9239067
ThS2,255.4672933
YBr3,282.7660133
LiMn2(BO3)2,59.37036479
Li5MnF8,379.36478
Tm2MgIn,-9.4064245
BaBeF4,488.8253467
CaTl2O4,216.3786267
Dy2IrRu,12.528511
Tl2PdCl4,149.01241330000005
Al3Os2,14.3506034
ErCoO3,2.56388
Sr2Pb,138.5153233
TmIr2,7.758927567000001
K2SnCl6,384.22317
Nd2TeO2,317.4718033000001
Co(BW)3,9.662431067
NdHO2,334.6403067
Rb2LiVS4,337.4488433
RbPr3,6.156982932999999
Li3Fe(OF)2,64.91642667
Sm2InAg,48.052138
KCdSb,53.08467967
BaS,373.41128
SmPt3,16.484389999999998
Ba2AgSb,231.89404
Sr2NCl,518.3544967
YGa2Ni,6.0924709
DyAl2,9.2161066
PmZn2Cd,-8.6206977
LiSmO3,5.3611948
BaCa(CoO2)4,24.06782433
CeSi2Mo2C,10.78945467
Sc2CdTc,-6.273466
SrTe3O8,318.0105933000001
Ca2AsAu,158.43907
Sb3Pb,-0.856548667
Li3TiCo3O8,417.2188333
SiPbO3,304.13401
TaS,-7.506568067000001
SrLiBi,151.87729330000005
CaNiN,16.79391733
FeNiMo,-5.5819544
CoCu2SiS4,3.935944267
Mo5As4,-1.60230167
Sn2Rh,-6.178343067
BaCo2P2H2O9,47.89410733
RbPdF3,1.087832
AlBr3,370.2549767
LiAsRh2,-2.0093343
PtS,320.4327467
TaMn2,8.417614432999999
YbCuGe,6.2859625
Pa3Al,15.50403033
KHF2,484.3952033
ErInAu,40.82278271
LaNdZn2,6.986109
Sm3Y,-6.706236
Zr6Al2Ni,-9.931604633
B2CN,9.4619261
KTeOF3,442.00793330000016
RbNdTe2,209.7128167
Li8CeO6,433.7808633
Nb3Co4B7,10.8667554
NaYbAu2,-7.1080505
CeMg2Cu,24.696969
Be4TeO7,424.63469
Tm(AlC)3,140.36108000000002
Lu2ZnGa,-4.7493279
SrMnSn,6.130906532999999
VSnPd,4.558395467
Ga2HgTe4,245.206
LiFeCoO4,9.312180067
ErRu3,-3.871050333
BNF8,506.66084000000006
SrTeO4,400.7019
Al2CuO4,7.966047267
HgBiO3,-6.9981198
NaHS,386.9310967
KPt2S3,337.5469067
K3Tm,19.939955
NdPt2,28.726316
KCuF3,92.82367567
Li5Mn2V3,51.97325733
DyCd,16.342017000000002
Yb2Ni2P7,-8.845728167
HoCoC2,-6.026971333
ThAl,4.022195
Dy2TeO2,300.31795
NaSi,306.5152333000001
PrPbAu,37.745479
Li3MnSi2O7,400.4001067
LiTiIr2,12.681031
NiO,13.293037
RbTa(GeO3)3,353.02815669999984
UTlO3,187.99735
TiP,4.310150433
Pm2IrAu,1.7076285
Y(SiRh)2,14.142878
Sm3NbO7,312.1252
Ba2YBiO6,407.17845
Li2BPd3,-5.9101596
Al2(FeSi)3,192.3168033
TmHfOs2,6.3789696
SrZrS3,250.2037467
BeBr2,388.4452867
Ba(ZnSb)2,77.80719767
BCl3,428.7580233
CuCO3,9.795538533
HoCd2,1.793076067
Ba(AlGe)2,0.027185533
Tb2In,-7.865579767000001
NaAsS2,317.5706833
ZnP2,5.332854673
PrPd3,-3.2246859
K3ReClF6,424.3409667
Rb3PdF5,515.18775
Sn5(S2Cl)2,299.1790867
SmMg2Ag,-1.437629367
Li2PrAl,-0.457999003
Cu3O2,13.54758293
SmNi,-1.180896967
MnF4,22.42732167
Pa3Sb4,20.182228
ZrSbPd,1.535031667
Mg3H4O5,307.2539567
USn,-2.285176177
Na2Ti2Sb2O,3.290973733
RbLiO,480.60489
Ce(SiPt)2,27.78066733
LiGa2Pd,-1.5311768330000002
HoZnRh2,5.9438986
Sr(FeP)2,0.96823248
TbAs,-7.6354343999999985
Zr6CoAs2,-2.3971991000000004
Ta(TeBr3)2,265.11001
Ni4Mo,6.206252367
KPF6,429.0368667
YbP3,3.316266
Li4CuNi3(P2O3)2,77.03926233
Tl2Pt2O7,377.18358
UAl2,1.820384533
Hf3Al3C5,-4.223844157
KBa4Bi3O,300.8274767
HoIr2,8.4428507
Sr2GeS4,231.7893667
K2ReF6,424.9338967
NaCuO2,358.07644
Ba3(BrO)2,368.31473
NaAuO2,401.1544867
Pr2O3,464.44917
Li2MgTl,1.9194212
Ba6In2NF,54.782485
NaAcTe2,218.57547
NbSiRh,2.903759039
BaGe2B,4.0520071
FeO2,-1.234209733
MgGeRh2,-6.0586689000000025
Ca3BiAs,146.06446
PaSnPd2,5.659146132999999
AcInTe2,208.13161
NbCrSi,0.465685
CeNi,43.91963933
Al2CO,307.2995533
KTbGeS4,308.7422466999999
LiMoO2,-3.3971433330000003
UPt2,26.74084033
LiNdHg2,2.452413
Li2MnBPO7,420.41274
LiC,445.75442
Sm2CdIr,4.938846
Ti2Be7,11.07916343
P2PdO6,470.01693
BaTiO3,346.9576233
Ti2CoSi,-4.700493700000001
Sr2BiAu,217.04314
LuB2Ru,5.763562967
TbIr2,6.775262067000001
LiLa2Al,23.665964
LiSO3F,415.3497567
YAlNi,-4.2604612
LiH,347.80742000000015
SrLiH3,320.62491
Ba3NaRuO6,286.7663367
ZrBTe,-7.8973007
OsN,8.882695367
Li2Cr3CoO8,-4.687896667
USi,-1.5099158330000002
GeClO2F5,511.7795467
CeAl4Co,-9.061795967
Mg(AlSe2)2,347.73971
In6Ga2PtO8,480.71863
Rb2TeI6,364.8497967
GaBN2,289.47256
Ti3Al2NiO,21.109397
SmYZn2,4.646356233000001
Er(SiPd)2,-8.4609045
KTb3,496.6183
Na2Mg(CO3)2,466.42678330000007
K2MgF4,478.0269467
LiNi3O3F,0.741533367
Tm2TiO5,293.3111367
Yb3SnO,26.989285
K2PtCl6,409.23414
MnSbRh,-5.036754667
YHg3,7.397572067
Tm2CuOs,-3.0071819
SrSi2,0.34556172
TmScRu2,-2.9921288
Li2Ni3WO8,-3.857594933
CuAu,-9.9884221
Sc2GaIr,18.745141
SbTePd,6.7545329
Li2CeGe,9.810003567
ZrTlCuS3,301.8524133
TaCr2,23.79059467
Pr2TeO2,320.6385667
LiHo2Ga,31.410269
LuSbRu2,41.200605
Pr2CdSe4,320.2288633
CdNi3N,0.57990796
BHC4NClF4,318.8899333
VP2(HO)6,336.89353
Pr4S3NCl3,337.83624669999995
Rb3As,-1.3819702
Rb3TlF6,317.9316567
KSn2Br5,357.7786867
Mn3IrN,-3.1419019
RbFeSe2,9.3282183
ErSCl,350.2202833
TbNi5,-8.956659867
SrRhF6,14.17747157
ReSbO6,415.0921367
NaYF4,394.4553433
Lu2ZnAu,4.0594934999999985
LiHoIn2,-6.4232727
Na2Pd3O4,280.3458967
BaS3,358.47366
ThGeO4,372.7473867
MnNi2Sn,-3.3214902000000004
Zr3Al,-7.503294800000001
Co9S8,-8.673295032999999
NaPr2RuO6,316.13268
CoTe,-3.305632333
Li4Fe3Si3O2,-5.130510333
YSi,-3.550711653
ZrSnTe,20.95847167
Li2NiP2O7,377.60682
RbYTe2,275.8041033
Ba2DyReO6,19.72174133
K4Al3Si3ClO2,407.39092
Na2CrCSO7,319.13403
LiAuF6,427.0971067
NaAlH4,420.0274467
PrClO,421.2531233
MnTePd,23.282856
Ti2AlCr,53.44187
CdIn2O4,92.52662567
PrHoMg2,4.5230552
Y2RuRh,12.3704
SiGe,151.56135669999995
ScNiB4,1.307971167
ErTaRu2,-5.6568317000000015
Ca3ScCoO6,467.7146033
BaGa4S7,369.8541267
Fe2OF3,-3.7170664
KNdTe4,107.7596733
Ba(BS2)2,373.4406767
AgAuO2,10.59614637
YBRh3,30.866683
Tl2TeBr6,356.00199
SrOsO3,27.536395
K4P2PdS8,365.1108067
Rb2Te5,155.8461367
ScSiPt2,1.062445033
Sm2Se2O,268.3180833
LuAl4Ni,23.37212467
Na6P4W,380.0549233
SrCa3O4,403.58718
DyMgRh2,-4.4423206
LiMnBO3,333.3000733
PdS,57.20663733
ScPd,1.1750206
YbIn2Au,4.532908633
Li3Th,-1.8700367
ErTaO4,350.3475
Ga2TeO6,235.24261
UAl3Ni2,24.54641975
K2CeSi6O5,433.42069
KLi6IrO6,22.850586
CuNi3O4,-5.733632492999999
ScU3Sb5,52.763983
Mg2TcO4,21.27649713
AgClO3,445.70923
BaV4ZnO8,-0.995466233
U(GeIr)2,4.4997346
YCoC,-3.69129452
KNaO,464.2167967
NbFeB,5.881661367
Li2CaSi,54.74355500000001
Pb2ClOF,403.2907533
MnCSO7,412.3112
BPd3,-4.183062567
AcMg5,14.09105017
K2S2O5,394.7041867
Na2PtO3,352.64168
Li3Fe(BO3)2,310.5539667
AgNO2,313.35673
ScBiPd2,1.9612926
Be2Fe,-6.556901523
ZrCuSiP,-9.994211632999999
BaEr2CoO5,-1.1868125
TbSn3,4.4347316
SmTl,4.789020099999999
TlCuS2,75.53945867
NaErF4,446.67805
TiZn(GeO3)2,396.34365
VCuO4,68.41332299999999
KSiO3,27.241351
NdSi2Ru,-3.56856879
Mn5SnO2,318.51601
NaYb(PS3)2,355.61823
Sr2CdSn,54.922845
BPd2Br,13.25596
ZrSe3,192.77659330000003
GePd,-4.435880667
TmTl3,13.532321
CaSO4,419.62839
HoAlNi,-3.985032617
K5P2Au,385.3584667
UAl3Pd2,18.22520757
ScCo2Sn,7.5894039000000015
KMnF3,28.64269667
Li2SnTeO6,360.4006433
YMgZn,30.24543013
K3SbSe3,390.54122
NpRu2,22.884998
Pm3Si,2.6930637
V6OF,11.5021659
NdH3,93.441596
CoBW,-3.712453667
K5As4,2.275487
LiBiPd2,-4.6604236
DyAl7Au3,18.16534233
RbLuS2,271.0954867
Ba2TbNbO6,434.6258067
TaCu3S4,281.30942000000005
Sr(AuO2)2,465.2654067
YOsO3,25.849473
CaPd3C,-2.2846054
BeZnO3,8.2739951
InHO2,492.5106067
V2CuO6,2.055577367
DyAgTe2,205.9874167
Bi2Se3,330.24813
P2Pt,214.57358
