pretty_comp,kpoint_length_unit
Ba2Zn2ClF7,45
HfBeOs,85
ReW2Br,100
NaBr,50
BaCaTa2,80
HfBe2Hg,105
Rb2SBrCl6,90
LuTlO2,50
Ba4TlSi,95
Ag3AsSe3,60
Tl2CS3,50
NdSiRu,75
Li4Cr3Sn3(SbO3)2,55
MnCu2GeS4,60
BeTcPt,85
Cd4SF6,60
BAsO4,45
KMgAs,60
EuS,75
LiBe2Ru,60
Rb2MnTe2,50
Na4BeSn,125
Li5AgF8,45
NaClO2,50
TbSnPd2,95
Mn3S,90
YNiC2,60
Ba4NiMo,75
ReSi,70
BeSiHg,85
Ba4TcW,75
NaCN,45
BePtBr2,65
MnSnF6,45
CaTl3,140
BaZr2Pd,95
Fe4O7F,55
ErCo5,95
Ba(MnAs)2,65
Ba2AlNi3O8,105
PrCo5,85
Li3V2P4(HO3)2,45
MoIr3,110
Sc3GaC,60
TbAs,60
BaMgZr2,70
K2ZnH4,55
Sr2Bi,65
Ba2ScTl,75
RbErO2,50
BaSe,60
Ge5(Te4As)2,100
Ba4MgTe,85
YBPt3,90
Li3Fe7O2,45
Pm2AgRu,65
GeP2O7,50
HoPO4,45
LiCaPb,125
ErN,80
LiPaPt2,70
Li2V3SbO8,55
Mg4H2O5,50
MgFe3(PO)4,50
NaBe4SbO7,50
ScSnAu,65
YTiBe,55
Ba4NbMo,75
Be2RhCl,85
SrI2,65
Li2AgF5,45
Ba2TiSe,90
U4As6Ru7,65
NdAu3,110
Li3Pt,75
TlIO3,55
Yb4Mg3H4,50
FeH,85
MoPRu,75
V2Te2O7F2,50
RbH,45
SmSbIr,110
Cu(RhSe2)2,65
K6CoS4,60
Ba3Ti2O7,50
Dy(Al2Fe)4,65
Li2TeO4,55
Li2NbO3,60
ZrIr3,105
InCuTe2,65
FePH5CO4,45
ScBe2Re,120
TiAu2,60
TiFe2,70
LaBe2Co,55
Ba4VOs,65
NbFe3,65
BeCoIr,85
Eu(ZnAs)2,90
CsBeF3,45
OsO2,60
K(CoSe)2,65
Tl9SbTe6,65
Ti2CrTe4,60
Tl3Ga9S3O2,60
PBr,115
HfAg,100
Zn2Cr2O5,65
Ca6MnN5,50
PaCo3,110
Ba4RuSe,75
Li3TiV2O6,65
LuCd,125
KGeBr3,75
Ba(PRu)2,85
BaCaCr4,70
Ba4CaRu,95
Ga3Co,95
BaZnCl2,55
CeCd2,105
Lu2MgIn,70
Er(TiGa2)2,90
Be2MoRh,120
Be2OsPd,110
AcSbAu2,120
NbTlBr4O,50
InS,55
Pr(BOs)2,65
UAu2,65
Ba4CoSb,90
TaSi2,115
Be2VPt,105
NaNi3,90
RbLiBr2,50
Sc2MnC,70
Ti(BiO3)2,80
SrBeSb,65
Li5TiAs3,60
Na3NiO2,70
Ba4BeBr,75
DyInCo4,85
Ta2CuO6,50
DyS2,125
YPd3,105
Ba5Sb4,65
Sc3FeC4,70
NbSeI,55
LaCd2,105
FeO,50
SrCdP2O7,50
Ba4MnRe,80
LuAlPd,115
SmDyRu2,85
TiCu3,65
Tl2TeBr6,60
Na3AlP2,55
TlF,50
PuSb,50
CaTcO3,75
AgClO3,40
BiF3,45
AlTc2,95
ErNiC2,60
HfN,95
HgCl2,55
CoPO4,55
Ba4CaV,60
BeSeBr4,70
Ni2H,60
Mn3O5F,60
Tl4O3,55
Sc2BeV,55
LiZn,85
Y2Th5O3,50
LaH3(CO2)3,45
K3CrO4,45
Sm2InHg,110
MgTiO2,60
NdPb8F9,45
BaSn2Te,90
Be2RuRh,50
Sc2TiO5,50
BaReN3,50
TmCu4Ag,90
Ta4FeP,90
ThBe3,110
Tm2ZnHg,100
Hf2S,90
CaCo2O5,70
Ca2TlPb,95
NaGaHg2,110
UP2,70
Sr3(GeAs2)2,65
BeW2Cl,105
Dy7(TeIr)2,75
HgRhF6,50
VGaRu2,60
ZrBeTe,95
Zn(CoN)2,90
Li2BF5,40
Sr(NiSb)2,80
Bi2O3,85
SrZrCo,90
HoMgHg2,110
YbPmPt2,100
SiNi,80
YbB4Os,80
SrB4O7,50
AuBrF6,45
Li5Si2NiO8,45
Na2(CdSi)3,50
NpSi,85
Pa3H,95
Pa2SbTe,70
TbSi2Rh3,150
Nd(NiAs)2,100
SrGe,120
Ti3In3Rh2,110
BeNb2As,85
Pm2InAg,70
Rb4CdCl6,50
Ca(Ni2Sn)2,80
Ti(MnP)2,55
ThH2,65
BaYPd2,65
UCO5,45
AlCoF5,45
SrCuSF,60
CaCdGe,60
Ti(CrS2)2,60
NaBeBr,45
Zr2BeCl,75
Li7Pb2,90
CaGaSnH,70
Pm3Sc,105
Pt(SCl3)2,55
TaMnRu2,65
WF5,95
K2HgTe,85
Er(GeRh)2,75
NdPPd,70
Ca2ZrBe,55
LiAlB4,115
Ba2NbTl,75
LiScO2,50
FeF2,50
Be2MoBr,100
LiCuO,75
Mg2VBiO6,50
Ba2TiBi,70
SrAg5,140
BeCo2Te,55
Y2MgMn2S2O5,65
Cr2B,65
Ba2AlCu3O7,95
LuAsO4,50
LiCo2O2F3,95
YbMn4Cu3O2,55
KBaSe2,105
BeFe2Ni,75
AgSO4,60
UNiAs2,60
ZrBe2V,50
Ba4SnPt,80
GaRu,80
LiCaBi,70
Ba4MgTc,75
Ti2MoIr,80
Pm2CuRu,70
IrO2,70
LuGaCu2,65
Zn3P2,115
BeCr2Cd,55
Sr3TaAs3O,65
Ba(AgS)2,55
PrMg(NiO3)2,55
Ca3VN3,65
NaMgO3,65
Tm(FeB)2,65
AlBMo,85
LuReTc2,75
BeSnSb,80
Cd2AgAu,125
ErB6,90
Ba2TbIrO6,80
Sb2Au,80
Ba4LiSi,100
YBe2Rh,60
Yb2HgGe,85
CaLa2SnO6,50
BePbSe2,65
Al2BiS4,55
YCo3H2,70
La2ZnIr,105
BeGeRh,85
ScIO,55
BeNi2Pb,85
Li2Mn4O5F3,45
KV3(SeO)2,55
Y2SO2,50
Cu2As,120
SrMg2N2,55
Er5Mg24,95
Na4Ni3O7,55
TmInCu2,75
BeCrIn2,80
ScTe,80
BaCdHg,80
YbDyHg2,110
RbMnO3,75
HfRh,120
VClO,60
YbP5,90
Ca2SbAu,90
Sm2Ge2O7,45
Al2Cu,105
TmTe,95
KReO3,115
Zr6Al6Os7,90
Ni3(BO3)2,50
MnBePb2,100
TaTiRu2,70
TmAg,125
NaSr4(BN2)3,45
Ba4BeHg,90
Zn2CoIrO6,55
TiBe2Bi,55
TaInO4,50
LiGa2Au,90
Sc2BeRu,90
Ca(Ti4S3)2,105
Na3BrO,50
MoF6,45
YSc4Be,60
Ca2BeCu,75
NbIO2,50
HoBi2BrO4,55
Rb2HgSe,65
BaAlF5,75
LuSi3,100
RhN,75
Li2TiNi2O5,55
YbHfO3,55
Li3Nd,90
NaBeTl2,80
Te2Mo2WS4,65
LiAg,80
CoMoH2SeO7,55
NdN,60
Sb2S2O,55
Li4VFe3O8,60
Li2Fe(PS3)2,50
UB4,70
AlWO4,50
LaNdZn2,70
Rb2CrCl4,85
CePd,90
BaCdSe,55
CrInCo2,85
MnAl6,80
PaGaNi2,75
NiSeO3,60
PtSe2,55
InF3,45
BeMo4Pd,105
BaYCuSnO5,90
SrHBr,50
BeGeIr,110
RbSrSiHO4,50
LiClO2,45
Ba4CuIr,80
Sr4Bi3,80
Na3ScF6,45
YbCu,115
ZrGaPd2,90
NbGeIr,70
Li2MgGa,70
Cr3SnN,65
NbI3,105
HfSiS,80
Y2BeBr,65
BaAl2(SiO4)2,45
SrAuO2,55
Ba4SbW,75
HgH2(ClO2)2,45
LiFeCoO4,65
K4CO4,45
BaYFe4O7,85
HfAl3,85
Tm2MgTc,55
PrCoSi,65
Li3V2Fe3,50
InSb2S4Cl,55
Ti2In,80
AlH4(SeO4)2,50
Er2OsPd,90
Pd(Se3Br)2,50
Ba4CaP,85
PrRh3C,80
SrHI,55
Mn3(OF)2,50
ZrHgAu2,80
VCrO4,55
ZrMo2,95
CuSi2As,130
ZrNiP,75
Ta5Si3,95
ZrZnNi4,95
N2O5,50
MnVRu2,75
BaMoBr2,90
Mg2TiO4,50
Er8Ga3Co,70
B6N,50
Lu2AgHg,80
Mg2GeB2Rh5,115
DyPd,100
LiAg2Pb,120
NdInCu2,90
Eu2Ga3Ir,85
BeFeNi2,55
Pr2MgTl,100
Nd3Zr,115
TaBePd2,75
Tl2Pt,110
V3AuN,85
SmSi3Ni,105
TiNi(PO4)2,45
K2PbO3,50
PrMgRh,100
SmSe2,120
Na4SnO3,45
HgCN2,50
NiPtF6,50
YTlS2,50
SmZnAg2,105
Li2Mn2CoO6,45
DyAlZn,115
U8FeS7,60
RbCeS2,50
ZrNi2Sb,65
LiYb2Ir,85
Sr3Co2Cu2S2O5,60
HfGaIr2,65
ZrMoAs,95
HoBiPd,95
CaZrO3,75
BaPr2PdO5,50
PuPd,100
Be2HgMo,90
Dy(CoGe)2,65
Ca(TiN)2,65
Ba4NiSb,85
HfInAu2,105
HoSi,100
Ba2Bi6O,45
GaPt,90
HfBe2Ru,80
Cd(HO)2,55
AgHg3SbO6,60
Li4Co3(OF3)2,45
Sc3SnB,65
TaCuO3,50
MnCo5O2,55
U2Mo,85
PmSnPd2,95
BePd4Se,65
LiCuSi2O5,45
TaAlNi2,60
CaCdHg2,80
LiUO3,45
Mg(MnS2)4,60
SrBPO5,50
BaV4O8,60
Tb(SiOs)2,90
HoB2,70
UPSe,55
Tl2InGaF6,50
BeTeIr,65
SrTa2H2O7,50
GaSi(MoS2)4,60
AsRh2W,100
SrCrRh2,55
Nd2Te3,65
Eu(MgSb)2,85
Ti2MnAl,50
Tm3AlN,70
Co2HgO4,50
HoSI,60
Sm(MnAl2)4,65
Sc2AlIr,60
Cd(CN)2,45
LuRh2,75
Mn(FeO2)2,50
RbTa(CuSe2)2,80
Ba3PN,55
YbIr,130
YAl3,90
BiPbClO2,50
KLi6BiO6,50
DyCoSi2,120
BaWCl,50
HoAu,70
NiB,55
KRb2FeF6,45
Pm2IrRu,115
Nd2MgGe2,80
CaMgBe2,100
ZrBePb4,85
RbBiO3,100
BaPb2IF5,55
NaSr2Mg,90
Rb2NiF6,45
RbCuC2,60
Li5Fe2Cu3,55
Sr(CeS2)2,50
Ba4HgW,105
Li2BeSiO4,45
AgRhO2,50
GeS2,45
Be2CoCl,100
SrU,80
TiMnBe2,45
BeNb2Cu,95
LiVBO4,45
KWO3,110
DySi2Rh3,150
Y(CuSi)2,70
CaMnBe2,100
Cr2HgO4,55
NiMoP8,75
NiP3,80
PuRh3,90
Li2FeCu(PO4)2,50
Na3(GePt)4,90
Sr2FeCuSO3,65
Li2MnCSO7,55
LiMgBe2,90
MnPd3,70
ScBeCd2,70
Li4TiS4,45
BeCu2Tc,75
U2Co3Si5,85
SrCaPb,100
Zn3Os,85
YZn5,115
YbAu3,110
SmMgCd2,95
In5CuS8,65
Li2TlSn,85
BeGa2Br,145
LiAlO2,50
Ba(SiNi)2,100
ZnP2(HO)4,50
Li2AlVO4,45
Sc2AlGa,120
Tl2TeCl6,50
Li2NiBO4,55
Ba2YTlNi2O7,95
Sc3SnC,60
LiAc2Ir,100
InGaS3,55
NaSO2,45
Ba4NbTc,95
Ta3AlC2,70
ZrTiBe2,65
Ba3Te,80
BeMoSe2,60
Pr(CdP)3,70
CeMg2Cu,85
As3Rh,60
MnNbSi,90
Li4TiO4,50
Ca2Fe2O5,65
Sr2CuTeO6,55
Sr(CdAs)2,100
LiBe2Nb,105
Ba2ZnAg2(SeO)2,55
MgTi(GeO3)2,50
Ag2S,85
YbP3,115
Na3Ca3AlAs4,60
Tc2AsRh,65
Th3Mg,100
UTeP,60
Mo3O8,60
CdP2,80
TiCo2Si,55
LiGaSi,70
TbAgTe2,55
Na8SnSb4,75
LiBe2Pt,115
GeBi3,160
UCd2O5,45
LaSi2Ru3,100
NdAlCu,85
HoLuAg2,90
Re2MoAs,110
Cu(HO)2,60
PrPd2,70
ZrSi,100
NaFeS2,60
K2VCuSe4,50
PrMg,110
Ti5NbO2,60
PrGe3,120
CeFeAsO,55
MgTi2S5,60
PH4I,50
CePbAu,95
Ba4PtCl,95
Ca3MnO4,50
SbOF3,40
SrCeI4,55
Ca2Ru2O7,70
BeGa2Fe,75
Zr2Ag,65
Li4Mn2O9,50
BeVSi2,80
TlCu3S2,65
Li4Mn3Co3(SnO3)2,55
Mg2TlPb,115
LuB4,110
LiBeAu2,115
YBePt4,85
HfTiRh2,105
Rb3Sb2Br9,60
KIn9Ni2,135
CoSnRh2,75
Ba3SbN,65
K2NaAs,65
LiBeGa4,145
ZrAlPd2,70
W(OF)2,55
ScBe2Re,50
Mn2VGa,60
Tb2Se3,65
PmInPd2,75
BeCdSi2,160
Ba2Pd2O5,70
SrMg3,95
MnAg2GeTe4,65
Ba4SnCl,70
LaBeOs2,60
BeTcSn2,100
LiPr2IrO6,60
BeSn2Cl,95
Zr2Al3C4,120
HgN,70
Co4NiO8,65
Zn(CuN)2,65
KBeNb2,110
Pa3Si,90
Na2BeCo,90
ErF3,45
HfMnBe2,50
LiTbTl2,120
MnCN2,70
Mg(SbO2)4,85
SrBeBi2,120
MnBeGa,55
Sr3(AlSi)2,100
FeGe,55
Li5P(S2Cl)2,50
Nb(W3Se2)2,75
CuPt,90
Th3U,95
BaCuB2O5,50
Na2BeIr,60
CaHfZn,65
SnGeS3,60
Y(MnSn)6,95
Zn(GaSe2)2,55
ErCu5,115
Ba4CuPd,75
Ba(Si3N4)2,50
Na2SO3,50
TbZn2,75
Ga2PdI8,55
Ba4HfPt,95
BeP2Rh,80
SnH4(NF)2,50
Ca4CN4,55
Li5FeOF5,45
Li5BiO5,45
ZrCo2Sn,85
Hf5Sb3,85
Ba4GaTc,75
YNiO3,115
CuSiBr,70
TiTe3O8,55
PrO2,55
Be2CoPb,75
TbInCu,105
MnNi,90
Be2TlIr,65
BeNbPt2,125
Ca3Zn,105
Fe5B2P,55
Ba4PtW,75
KNaThF6,45
Ca3AlN3,55
TiBr3,50
LuBiO3,50
BeTcPd,80
ZrGaNi2,60
ZrSnRh2,60
Re3P4,100
ThSnPd2,90
Na3PO4,50
RbBaO3,135
Ba3Ge2(BO)6,50
MnAsRh,65
Be2GaP,130
U3O8,55
Pr2IrPd,100
Li4Ti3V3Cr2O6,50
As(IF2)3,50
Ti2MnRu,105
ThRe2,105
Na2SnO2,55
AsI3,75
Li4Fe3CuO8,55
InAgS2,90
Ba4CrW,75
Li2ScPCO7,50
CaGa2,105
Be2NbW,125
BeSn2Os,100
Li2VGeO5,55
K(BH)3,45
SmTlSe2,55
HPbI3,105
HgINO3,50
SrIrO3,95
BeNiPt,115
Sb5IO7,50
Mg2AgAu,110
LiAl3Si9(N2O)2,50
NaP,60
ErB2Rh2C,105
K3Co2F7,65
KrF2,45
YHoCd2,80
RbPbCl3,70
K2PtCl4,50
ScBe2Ge,70
Rb2MgH4,50
Ti6Si2B,60
LiGaSiO4,55
BaZnBi2,120
MoPH3O7,50
SmRh,125
YTlAg2,85
TaGa3,80
NaVO3,50
TbAg2,85
Na6FeO4,50
Re3Sb,80
SbSCl9,60
ThPd3,95
ZnRhF6,45
MgSbF6,50
CoAs3,60
Li4UO5,45
K3Na(FeO4)2,45
Ba2DyNbO6,50
K2LiAlP2,55
CeCdHg2,65
MgCoO2,55
Mn2PtRh,70
ScBeBr2,85
NdTi2CdO6F,55
CeCu5,85
Sr2LiReN4,50
BeSiTe,65
PuOF,45
Dy2AgOs,85
Yb3Tc,65
CaPd,85
YScBe,65
TaBe2Ni,60
Er2Te5O3,50
TbAs3,125
Sm2Ti3(BiO)2,55
Ti3Br,85
MgCdRh2,65
Li4Mn7(OF2)2,45
BeCdGe2,150
CeCd2Ag,80
MgBePb,85
Ti2AlFe,60
Sc2TaBe,105
ScBeGa4,120
ZnSnP2,65
NaCrS2,55
BeV2Tc,65
TmTlTe2,55
NaBe2Mo,120
NpN2,60
BePBr,80
Rb3CrF7,50
CdHClO,50
NaZr2AgF,50
MnGaFe2,65
LiInHg2,80
SmSiAg,95
Ba4TlSe,95
Li3Fe3O8,50
CeMg,100
BaP2Ru,90
Hf2P2O9,45
AgHg2PO4,60
NaHoS2,55
TaNO,80
Ti3Ni,100
LiTm2Tc,90
Na2TbPCO7,50
Ba4YCo,65
CaHClO,50
BaTiOs2,95
UPt4Au,90
YZr5O,50
TaBiO4,55
Cd2BiAsO6,50
ErSnRu2,85
Nd3S4,65
PmTlRh2,65
MoPt3,90
TmBiPd2,65
Ba2Ti3AlO7,100
KBe2Mo,100
BaSrSc,85
Mg2Sn2O5,85
ZnNi2Ge,70
BeRh,95
LiZr2Tc,80
Li2B2S5,55
CaBe2Bi,90
Sr2YTi2TlO7,85
KBe2Pd,90
CrFe(BiO3)2,55
Zr3Au,90
Cu2Te2Cl2O5,55
Rb2ZnF4,45
Dy3AlNiS7,55
Ba4InCl,60
K3Sb2Au3,60
YbAgO2,55
Nd4S3NCl3,55
LuInPt,95
AlBN2,50
Lu2MgTc,90
TlPt,110
TmCuPb,95
VGaFeCo,60
Ga3Te,125
KBePO4,45
CrOF,75
UCo2,65
LiBe2Ga,100
Li4Ti3V3(TeO3)2,50
SiIr3,65
Zr2BIr6,105
AcAgHg2,95
Ba4CaTc,75
BaLiCa,65
AuN,85
Na4GeO4,45
KTiPCO7,50
Ba4TcGe,110
K2NaScF6,45
La3InB,100
BeZnCl,75
MnSn2,100
LiPrSn,65
Te3Pt2,95
YbAgPd2,120
Ca2Mn(PH2)2,40
BaOsBr,55
K4ZnP2,55
LuPaTc2,70
RbYbF3,50
BeSb2Pb,120
Tm5(SiSb)2,85
HfNi,85
YZrBe,60
Sr3ErRhO6,50
Zr2Au,85
MgSbF5,45
Ca2Sb2O7,55
RbV2CrO7,55
Ag2Cl3,55
LaAlO3,50
HoCdPd2,105
Be2CrBr,90
TbAu2,80
Er(Ni2As)2,85
Rb2AuBr,55
ZnBSe2,120
Be2PRu,105
CuClO2,50
Zr(NiP)2,75
Cu2P2O7,55
Zn2Mo3O8,60
BeGaCo,70
K4HgP2,55
ScAl3,90
Rb2CoS2,80
RbTlO2,50
Y(CrSi)2,60
Rb2PbCl6,55
Sc2BeCu,80
Fe3Sn2,80
SmInAg2,95
BaYPb,100
Dy(CuO2)2,50
Ta3N5,60
LiMgSnPt,100
CaHg2,105
Sc2CuTc,90
U(CoB)4,60
Li(Fe3Ge2)2,80
Sr2LiMg,105
KYGeS4,55
CoSnO3,50
PrP5,80
AlCrCu2,65
BeBiRu2,90
NaV3O6,50
CaCrF6,50
YZr,75
BeNi,90
ZrIN,55
AcEr3,80
BeMoBr4,65
ThSi2,105
TbCo5,65
InBF4,45
Sc2AlOs,60
Bi2B2O7,50
NaCaTl2,115
NaErS2,55
KBaCu2,110
H4NClO2,45
AcZnAu2,105
HfTa2Be,100
Hf3(Cu2Si)2,80
BeIr2Se,60
YThRu2,95
K3Sr,80
Ba4LiGe,85
AlWF5,50
AsIr2Rh,65
Ba2CdS3,60
MgO6,50
MgMnO2,55
ZnGeAs2,65
Be2SnP,70
Li2Ce2Ge3,55
PNO,45
DySiRu,80
Ba2YbRuO6,80
NpPd3,60
Al2PdPt,90
MgBeSn,110
Tl2Ge2O7,100
K2AgBi,60
BaLiPd2,70
HgC2(SN)2,45
Yb3DySb3,80
Ba4CdTe,85
BaYSc2,70
TaF5,50
BaAgP,70
TbNi2,75
LiNdTi2O6,55
K2PtSe2,55
YbCu5,95
Ce(WO4)2,50
TaBe2Zn,85
ZnSnAs2,65
TmHfCo2,95
Nd2BiO2,80
LiPm2Ge,70
Sr4Al6TeO2,50
DyMgRh2,65
AlH3,50
Na3HfF7,45
BaNd2CoS5,60
BaCdBi,70
TbTaO4,50
SO2,45
Mg2SiPt,115
KCa2Be,60
Tm2TeO2,55
Pu3Pb,85
Cu2S,65
YBi2IO4,60
Na2Ta4O,45
HfMnBe2,70
Ca2CuSbO6,50
Li2ZnSn,110
LiSnS2,75
CaSn3,125
Pm3Zr,90
Nb3B2,80
UIr2,65
NiAsS,70
NaTaNi,65
RbU2SbS8,75
LiMnVO4,55
Ta2AgF2,45
Ba2S3,75
KBeCo4,70
Sr2CaUO6,50
Na2AlNiF7,55
Ba2Sc2O5,45
Ta2CS2,110
BeTcPt2,115
CeSb,60
RbAuS,50
PmH3,65
FeSnRh2,85
Er5NiPb3,115
NdTlTe2,60
Ti2NiS4,65
BaCaIn,70
K3Mn2F7,45
ErNp3,70
Ba2ZnAg,85
Pm3Ge,110
K3IO,50
Rb3MnF7,50
ScAs,110
Ho2CuRu,75
Ho5Rh3,85
Ba(BiPd)2,95
MgH2SO5,45
ScBe2Bi,70
SmGe3,105
NaCaSiHO4,50
YbO,50
ThCo,100
Sr2MnZn2(AsO)2,65
Li4VF6,55
Tm2CdOs,85
AlAsO4,50
Rb2CrCl4,55
BeZnFe,60
LiBeGe,85
BeTeP4,130
Mn3(OF3)2,50
NaScS2,55
Pr2IrAu,100
Ti4Bi2O,50
Ba2ErRuO6,50
Tm3GaC,80
CaBeCr2,85
NaRe2As,75
K2LiAlF6,45
UB2,80
BeBiF3,60
MgSiO3,50
BeCo2Si,55
LiCaRh,65
V2O3F,80
Ho(AlC)3,65
SmNiB4,75
CaTaTc,70
K2Ca2Be,65
BaCuReO5,120
BaLaMo2,85
MgNiPO5,50
AsPdCl,65
Ba4ZnIr,75
HoCrO4,55
PrZnSn,90
ThP2O7,60
KC2IN2,40
NaGaH8(NF3)2,45
AlCrCo2,60
Be2ReTe,75
YBe2Cr,55
SrAc3,85
Ti3In,65
Tm(SiPt)2,105
Yb(Fe2Ge)2,100
VGaTc2,75
BiN,55
TiBeTe,75
BeGaOs,85
Sr2UO4,70
Nb6Co6Si7,70
Si3Mo,95
BaInMo,60
NdTl3,110
Ba4ErRu3O2,50
LiTlO2,50
CaZrRh2,95
ZrScBe2,95
BaEr2CoO5,70
Mo3Os,125
GaCoRh2,85
TlAgTe,90
VC3,100
Er2Mg,70
Li8NO3,55
BeNbTe,80
Ti(VTe2)2,55
BaTcBi,70
HfH3,70
Zn3Pd,100
Zn2SnO4,55
NaSrHg2,100
Er5Rh3,85
Te2Pd3Pb2,110
Th(TeI)2,50
Ba4TiBr,60
HoInAu2,105
BeRe2Br,100
Ge2O3,50
TiNb3O6,50
BeCd4Se,95
YScZn2,90
CaTbF6,50
In2Si2O7,50
Al2CrCl8,55
PdN2,85
UAlRh,90
Te2MoW3(Se2S)2,50
Na3ClO,50
BaIn2Ir,110
Na3FePCO7,55
Na3SbS4,50
Yb2AgPb,85
B2CN,90
Ca(NiO2)2,65
Be2ZnP,105
Ba4CrTe,75
BeSnIr,85
Ta5B6,110
Ba4YSi,80
YbMoClO4,75
YbBi2BrO4,60
Ag2Se,65
BaZr2Co,70
CdSnRh2,90
Rb2CoF6,45
Ba4GeOs,115
TbAlAg2,70
Li7Si2Ni3O2,55
ErMoClO4,50
Y(MnBe)2,60
Li7BiO6,50
MnSnPt,50
NaHgPO4,55
KYTe2,60
MgTaIr2,65
Ni4N,65
HoTe3,125
YPt3,125
K2NaFeO3,75
SrHo2O4,50
Pr2I5,65
TlInCl3,50
HgSeO3,50
MnBe2Cr,80
Sr3FeN3,60
ThSnAu2,105
DyYCu2,70
Ba(AlGe)2,80
KAlF4,45
TmSi2,75
CoCN2,95
Fe3Re,90
HoMoO4F,50
Re3Tc,100
Li2FeBr4,50
Ba4MnPd,60
CeHfO4,45
PaBr4,50
BH8CN,50
K3SbO4,50
DyTlPd,85
Sr5As3,65
